#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      253.4    44.5   137.8   192.1   204.4   248.4   266.5   275.8   285.1   294.4   309.3   332.0   381.2   510.4  1130.2   3973.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      284.3   553.9   118.1   184.5   203.6   265.2   287.4   299.8   310.4   320.9   338.3   366.5   465.8  1652.0 31800.8   9002.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      285.3    82.0   118.1   177.1   196.1   281.7   310.1   325.1   336.4   348.1   367.3   396.0   466.8   750.6  2691.1  14134.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      297.1    88.1   127.6   173.5   189.7   297.2   329.8   345.6   358.3   371.4   390.5   418.8   486.9   678.9  3144.3  18935.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      302.3    91.6   118.1   169.7   184.5   302.5   340.3   359.7   372.4   389.3   408.8   440.8   530.1   746.7  1820.2  24115.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      317.6   107.9   118.1   171.1   186.1   317.3   360.4   382.9   398.2   417.1   439.5   476.9   583.3  1004.3  2329.8  28965.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      323.9   121.5   118.1   170.8   185.8   321.1   369.7   394.3   411.3   431.2   457.6   499.3   612.4  1617.4  2654.5  33948.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      332.3   121.8   109.4   170.8   186.2   326.3   381.1   407.8   427.5   450.6   480.2   537.4   658.8   943.8  1928.7  39163.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      326.5   170.0   118.1   168.0   182.6   316.0   371.9   400.0   420.3   443.0   471.3   527.4   657.9  1124.7  6621.5  44138.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      329.9   124.9   118.1   166.9   182.2   318.9   377.0   406.5   428.8   454.9   489.3   549.6   677.0   939.4  1425.7  49182.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      408.1   251.3   118.1   176.5   195.7   356.5   428.9   473.3   517.1   578.5   665.8   861.0  1318.3  2050.9  3369.5  54195.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      793.7   439.3   118.1   214.9   274.7   763.1   948.8  1057.3  1111.3  1169.7  1291.6  1609.1  2201.0  2443.0  2769.4  58518.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      831.9   426.9   118.1   234.6   301.9   796.6   962.9  1057.2  1100.0  1167.0  1365.4  1633.1  2174.3  2427.6  4092.4  61957.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      982.3   341.7   137.8   683.8   721.7   852.0   937.0  1071.1  1162.8  1441.2  1573.9  1694.9  2132.6  2378.6  3166.7  64186.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1019.2   339.8   236.1   726.2   760.9   886.4   961.6  1074.0  1176.5  1484.4  1633.7  1735.8  2158.4  2507.8  3102.2  62686.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1012.3   344.5   160.7   705.2   746.1   871.2   969.3  1096.0  1184.3  1486.6  1610.5  1723.1  2170.6  2483.1  4360.5  63130.8
