#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      270.9   266.7   127.6   202.7   216.2   260.5   277.2   287.9   294.6   304.3   316.4   336.7   386.8   857.4 13432.6   3999.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      267.0    74.6   127.6   182.1   202.1   262.9   284.3   295.9   305.9   316.6   331.7   353.8   403.7   806.9  2715.5   9032.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      276.0    84.0   118.1   178.8   194.4   271.8   298.2   313.7   324.1   337.0   352.2   375.0   433.9  1090.7  2719.8  13990.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      303.1   128.7   127.6   175.6   191.6   299.9   333.6   350.6   363.2   376.4   396.2   425.9   497.8  1739.4  5049.6  19021.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      304.3   100.0   118.1   169.8   184.5   304.4   342.1   361.8   374.7   392.3   413.1   445.5   530.1   860.6  2815.3  24007.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      315.0   114.6   118.1   169.9   183.9   313.3   356.9   378.7   394.6   413.0   435.2   472.1   587.3  1634.8  2360.7  29077.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      312.5   107.0   118.1   167.2   180.8   312.0   359.2   382.8   399.1   418.8   441.8   478.4   576.4   835.0  1879.9  33982.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      315.2   216.9   118.1   166.6   180.2   309.7   362.5   388.2   405.1   426.2   452.5   494.7   592.3   740.3  1903.5  38833.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      321.2   121.6   118.1   168.5   182.6   312.0   368.7   396.9   417.0   439.4   468.3   521.3   636.5   878.8  2144.9  44020.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      338.2   127.7   118.1   173.1   189.3   325.2   384.6   415.8   437.5   464.8   502.9   570.7   692.4   901.7  1606.8  49007.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      410.5   479.1   118.1   178.1   198.6   361.8   434.4   480.0   522.0   577.5   655.8   825.0  1237.9  2008.3 10623.1  53756.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      516.8   332.6   118.1   186.3   211.8   414.0   545.6   644.9   727.7   838.8   982.1  1142.2  1800.2  2219.9  2749.4  58951.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1078.7   375.3   118.1   721.0   768.1   987.2  1124.4  1170.8  1216.4  1315.7  1643.5  1883.9  2332.9  2541.1  4880.0  58555.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      978.3   346.4   127.6   672.9   721.1   853.0   941.0  1061.3  1141.8  1432.5  1574.5  1699.8  2132.2  2362.6  3580.3  64150.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1038.8   344.1   148.8   744.7   771.0   901.5   995.8  1120.6  1211.8  1492.3  1650.4  1763.7  2238.7  2552.5  3171.7  61536.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1013.1   335.4   148.8   723.9   757.8   873.0   954.1  1080.9  1173.8  1485.0  1621.4  1724.0  2155.6  2485.9  3215.6  63107.0
