Timestamp start: 1747217234902
Timestamp end: 1747218075204

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      207.0   158.4    74.4   112.9   130.2   190.6   212.1   224.1   232.9   244.6   260.1   291.1   832.6  1616.7  7200.0   8011.5     8195
read      372.6   502.7    74.4   152.5   175.2   289.1   338.1   366.8   388.6   415.0   452.8   532.5  3371.5  5506.0  8035.3 157998.0   158594
read      243.4   199.3    68.9   115.6   129.8   211.1   252.8   277.2   295.6   317.6   346.6   400.4  1086.7  2571.7  4354.3 149909.0   149766
read      206.1   268.4    63.8   109.7   124.2   183.9   205.0   216.7   226.1   236.3   253.3   281.1   596.5  5167.5  8128.6  10437.5    10382
read      414.9   520.3    74.4   165.0   191.2   314.2   362.2   390.2   411.6   439.5   488.6  1071.3  3307.2  6052.1  8054.7 170292.5   170548
read      257.7   192.0    68.9   122.4   139.3   233.1   276.2   300.6   318.0   339.7   368.1   415.9   747.7  2870.5  5428.7 151008.5   150565
read      217.5   148.5    63.8   106.9   118.2   189.9   231.5   257.4   276.0   298.9   328.3   375.0   692.4  1740.0  4457.6 137859.5   137144
read      221.0   152.2    63.8   109.1   120.6   194.0   235.1   260.8   279.0   301.1   330.3   376.8   675.2  2008.4  3933.7 143442.0   143496
read      225.3   162.6    68.9   110.5   122.6   196.4   236.6   261.8   279.9   302.1   331.2   379.6   822.7  2042.7  4445.8 145027.0   144743
read      213.1   125.6    68.9   103.1   113.4   185.2   231.2   260.0   280.3   304.1   334.0   381.9   625.8  1463.4  2827.8 116872.5   116745
read      221.4   148.9    68.9   106.5   117.6   190.9   233.8   260.7   280.0   303.7   334.5   387.7   850.7  1696.2  4334.3 129671.0   129314
read      225.9   160.7    68.9   110.2   122.3   197.2   238.4   263.9   282.3   304.4   333.4   381.4   821.5  2193.2  3386.5 144561.5   144723
read      212.4   117.8    68.9   103.2   113.4   185.3   230.8   259.8   280.4   304.2   334.6   382.6   613.9  1409.3  2415.7 117393.0   117379
read      214.7   130.5    68.9   104.1   114.6   186.3   231.9   260.4   281.1   304.9   335.1   384.9   668.6  1366.4  2356.3 119962.5   119931
read      218.6   135.3    68.9   107.3   118.4   190.6   232.7   259.3   278.7   301.5   331.3   379.8   749.4  1689.0  2150.1 131783.5   132052
read      221.5   151.0    68.9   109.8   121.5   195.0   235.1   260.4   278.4   300.4   329.1   373.7   695.5  1966.3  3441.1 143719.0   143350
read      224.0   170.5    68.9   109.7   121.4   195.7   236.2   261.8   280.0   301.9   330.8   377.7   708.1  2668.5  4415.0 142993.0   143518
read      248.6   136.7    68.9   129.6   146.0   228.8   267.6   289.8   306.4   326.3   353.9   400.0   609.3  1853.6  3368.6 173056.0   172981
read      261.7   285.9    68.9   103.5   114.4   201.2   260.1   296.6   325.6   365.9   424.6   531.5  1316.7  3834.8  7623.8  94022.5    94027
read      271.0   278.6    68.9   128.7   145.5   235.1   277.3   301.6   319.2   341.2   370.5   421.1   959.5  3671.4  7287.6 169499.0   170019
read      262.8   161.5    68.9   136.0   153.9   242.8   282.2   304.7   320.7   341.5   369.2   415.6   589.8  2571.2  4039.3 178937.0   179090
read      249.9   165.9    63.8   102.6   113.7   227.1   276.9   305.5   326.8   353.4   388.6   444.7   862.8  1698.2  6113.3  47267.5    47130
read      234.9   118.8    74.4   109.6   127.7   221.1   257.9   277.8   292.7   310.3   332.9   371.4   669.8  1383.7  1970.9  19368.5    19439
read      373.7   501.9    68.9   120.7   138.5   247.0   301.5   334.8   362.1   400.9   507.3  1402.2  2794.7  5359.9  7930.4 128866.0   128963
read      237.7   115.3    68.9   108.5   124.6   225.7   264.3   285.7   301.1   319.1   342.9   383.0   619.4  1375.3  1997.6  23902.0    23787
read      289.6   269.8    68.9   102.0   113.3   232.9   308.2   352.1   382.3   416.6   462.0   579.5  1452.9  2492.4  7413.1  61618.0    61848
read      318.3   462.0    63.8   107.5   119.9   213.4   271.5   309.6   342.6   396.1   493.6   732.4  2707.7  5349.6  8004.7 101944.0   101968
read      212.4   109.6    68.9   102.5   112.4   186.5   235.3   265.2   285.9   309.3   338.6   386.4   565.0   895.0  2548.5 108640.0   108767
read      292.3   409.2    59.1   105.2   116.8   207.2   266.5   304.0   335.3   378.6   448.0   589.4  2257.1  5404.3  8011.1  97051.5    97139
read      265.5   252.1    68.9   121.0   136.9   224.5   269.4   295.6   315.4   339.4   371.0   429.7  1452.6  3516.3  4993.9 158782.0   158594
read      224.4   163.5    63.8   109.8   121.7   196.0   236.7   262.5   281.1   303.4   332.6   381.1   808.9  1801.1  4639.7 141435.5   141240
read      251.6   155.0    68.9   103.1   114.8   229.9   280.4   308.9   329.5   354.1   387.0   439.8   850.9  1721.1  2737.3  41644.0    41405
read      281.0   226.9    63.8   101.3   112.5   233.1   305.1   345.5   373.8   405.4   449.2   545.2  1273.4  2155.1  5017.9  57926.0    57997
read      360.9   446.4    68.9   119.8   137.4   247.7   301.0   332.4   358.2   394.4   482.3  1400.2  2412.9  4128.5  7714.9 133511.0   133577
read      253.0   162.9    63.8   101.3   112.2   224.7   280.4   313.5   338.4   367.5   403.9   467.5   966.8  1609.4  2406.0  53634.0    53832
read      375.3   452.6    68.9   124.8   144.5   259.7   311.7   343.0   369.3   405.6   507.6  1423.0  2241.1  4363.1  7902.7 139519.0   139832
read      251.9   168.7    74.4   127.6   143.6   228.6   268.6   291.9   309.5   330.7   359.5   406.0   630.3  2709.6  3809.9 170833.0   170515
read      220.0   142.8    68.9   105.6   116.7   189.8   233.7   261.1   280.9   304.4   335.7   389.6   793.0  1645.1  3167.3 128383.5   128494
read      231.6   128.1    68.9   108.7   124.7   217.3   253.4   273.8   288.9   306.4   329.1   366.9   645.3  1478.9  3952.3  20821.0    20789
read      294.0   281.9    68.9   101.5   112.9   230.0   306.2   350.9   383.0   419.1   467.4   600.9  1624.4  2732.0  7484.8  63690.5    63647
read      278.6   228.2    68.9   101.0   112.2   228.5   303.4   345.7   374.9   408.1   452.5   544.1  1309.9  2155.4  4784.3  64536.5    64802
read      268.8   198.2    63.8   101.3   112.4   230.8   298.8   337.6   364.2   393.8   430.7   498.5  1056.0  2081.2  3155.9  55921.5    55719
