Timestamp start: 1747218116063
Timestamp end: 1747218956370

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      202.8   133.9    68.9   109.0   126.7   189.3   210.4   222.3   231.0   242.0   257.0   288.3   773.3  1398.5  7086.6   8055.5     8195
read      412.5   587.9    74.4   162.6   186.0   304.0   354.0   383.8   406.0   435.6   480.3   595.0  3423.5  6384.3  8037.6 157675.0   158594
read      259.7   225.4    68.9   120.2   135.8   226.0   270.0   295.2   314.3   337.6   369.0   427.4  1184.6  2914.3  6977.8 150007.5   149766
read      201.8   176.5    63.8   108.9   124.5   187.2   208.5   220.6   229.6   240.2   254.5   280.0   561.3  2830.3  7238.6  10331.5    10382
read      397.1   449.3    68.9   164.8   189.5   307.1   358.2   389.9   414.4   446.5   496.7   875.4  3039.6  4510.9  7947.9 170163.0   170548
read      250.8   176.8    68.9   119.4   135.4   223.1   265.9   291.4   310.8   334.5   367.0   423.9   833.6  2310.4  4429.4 150431.5   150565
read      222.3   143.9    68.9   107.2   118.7   194.0   236.6   263.3   282.6   305.6   335.7   387.5   764.3  1743.6  2917.7 137073.0   137144
read      225.7   155.9    63.8   109.1   120.9   197.1   239.6   265.6   284.6   307.3   337.2   387.9   718.6  2200.6  2858.9 143219.0   143496
read      225.3   145.7    63.8   109.7   121.6   198.0   240.5   266.6   285.8   308.8   338.6   388.3   680.1  1962.6  2858.0 144720.0   144743
read      216.3   150.1    63.8   102.4   112.5   186.5   234.0   262.5   282.4   305.6   334.9   383.6   647.8  2092.4  3572.6 117148.0   116745
read      219.5   153.5    68.9   104.8   115.7   190.5   234.8   262.3   281.8   305.3   334.8   383.4   661.7  1974.2  3156.0 129101.0   129314
read      225.0   152.8    63.8   109.4   121.1   197.1   239.5   265.6   284.8   307.7   337.6   387.1   689.2  1928.0  3850.1 144785.0   144723
read      216.9   145.3    63.8   102.8   113.0   187.7   234.8   263.0   283.2   306.9   336.6   385.6   651.2  1821.3  3681.4 117217.0   117379
read      219.6   151.7    63.8   103.8   114.2   189.1   235.6   263.7   283.7   307.2   337.2   386.6   716.8  2059.9  2547.8 119919.5   119931
read      217.7   152.3    63.8   105.0   115.9   189.7   233.6   260.2   279.4   302.6   332.1   378.9   639.4  1958.4  4193.7 131896.5   132052
read      226.6   190.2    63.8   109.0   120.6   196.5   239.4   265.9   285.3   308.4   338.1   386.7   637.0  3122.4  5073.1 143838.5   143350
read      226.8   173.6    68.9   109.4   121.2   196.6   239.0   265.4   284.8   307.8   337.9   387.3   733.2  2451.0  4192.4 143652.5   143518
read      293.5   212.7    68.9   135.1   154.4   259.5   314.8   349.5   376.0   407.4   447.3   504.6   692.8  2964.5  6168.1 173170.0   172981
read      280.8   354.1    68.9   104.2   115.5   208.5   267.1   301.5   329.0   367.6   430.4   572.8  1761.8  4678.3  7764.2  93970.5    94027
read      331.2   366.1    68.9   141.6   162.9   280.5   333.2   363.1   385.3   412.2   449.6   514.8  2179.4  4413.2  7928.3 170180.0   170019
read      282.1   162.3    68.9   133.2   152.9   257.7   309.8   339.8   362.2   388.6   422.8   473.4   650.9  2034.8  3760.6 178857.0   179090
read      249.3   167.7    68.9   101.7   112.5   226.8   275.1   302.8   323.9   350.3   385.2   441.5   880.6  1897.9  3403.4  47023.0    47130
read      237.9   123.7    63.8   108.8   126.6   225.6   262.2   281.5   295.3   312.6   334.7   371.2   681.3  1474.6  1969.4  19468.0    19439
read      389.3   543.3    68.9   121.9   141.4   262.0   317.3   350.3   377.7   419.8   514.7  1393.4  3348.8  5319.7  8004.5 128814.5   128963
read      241.3   130.3    63.8   107.1   123.2   227.3   266.3   287.6   303.1   321.1   345.7   389.6   713.5  1480.4  2214.3  23758.0    23787
read      302.1   285.1    68.9   102.9   114.7   242.9   317.5   360.2   390.2   425.4   477.4   603.1  1626.3  2789.6  7350.3  61659.5    61848
read      359.1   476.0    68.9   111.2   125.6   230.4   293.1   335.8   376.3   457.1   643.7  1141.2  2662.0  4984.2  7967.1 102033.5   101968
read      223.3   150.1    68.9   104.5   115.0   194.1   243.3   271.9   292.0   315.2   344.9   396.1   690.3  1915.1  3882.1 108849.0   108767
read      310.4   407.6    68.9   106.8   119.0   216.2   274.3   311.5   342.0   389.8   493.5   754.1  2353.2  4565.8  7877.0  97621.0    97139
read      302.0   312.4    68.9   128.7   147.3   252.4   304.1   336.3   361.9   394.0   437.5   512.3  1541.7  3620.8  7417.4 158845.0   158594
read      236.1   182.3    63.8   111.5   124.5   206.7   251.4   277.8   297.0   320.2   352.3   408.3   693.3  2616.7  5392.8 141446.0   141240
read      259.4   160.6    68.9   103.3   115.7   238.1   288.5   316.8   338.6   365.1   398.8   457.0   894.9  1728.1  3318.1  41690.0    41405
read      290.4   230.1    63.8   101.4   113.0   244.2   316.3   357.0   386.2   419.8   467.8   580.5  1307.7  2344.2  3697.3  58010.5    57997
read      368.3   470.7    68.9   122.1   141.1   258.5   314.4   347.3   374.7   415.4   497.4  1331.2  2720.9  4418.1  7921.5 133462.5   133577
read      265.5   189.3    68.9   101.8   112.7   234.1   292.0   326.1   351.1   381.5   422.3   504.1  1013.1  1912.9  4305.9  54034.0    53832
read      371.2   539.1    68.9   128.3   148.8   267.7   321.0   351.2   373.4   401.9   449.8   774.3  3348.0  6224.9  8025.0 140043.0   139832
read      294.0   197.2    63.8   137.6   157.0   261.7   315.4   349.0   374.8   405.4   445.1   504.6   744.6  2707.3  6172.1 170582.0   170515
read      230.0   163.6    63.8   107.2   118.9   198.1   244.0   271.1   291.0   314.7   345.9   402.2   895.4  2014.8  3513.3 128529.0   128494
read      235.0   122.6    68.9   108.2   124.9   221.9   256.2   276.3   291.8   309.4   331.7   369.8   698.6  1621.1  3081.6  20721.0    20789
read      295.4   260.8    68.9   101.8   113.3   238.3   314.7   358.5   389.9   426.4   481.2   599.4  1516.1  2470.2  7157.6  63912.0    63647
read      298.3   273.2    68.9   102.8   114.6   238.6   316.6   362.3   393.8   429.3   480.9   585.6  1556.6  2719.7  6379.6  64260.5    64802
read      276.9   192.9    63.8   100.7   112.1   241.3   309.5   347.8   375.3   405.9   447.2   534.0  1094.7  1772.0  3223.2  55559.0    55719
read      394.2   389.8    74.4   168.8   193.7   317.1   367.6   397.6   421.6   452.6   500.5   938.2  2090.7  3922.5  7756.3 174230.5   174179
