Timestamp start: 1747216353919
Timestamp end: 1747217194222

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      207.9   132.2    68.9   114.7   131.2   193.1   216.1   228.7   237.2   249.4   265.8   294.5   805.1  1462.0  4890.6   8137.5     8195
read      341.7   525.6    74.4   130.6   149.5   250.2   287.8   309.2   325.2   346.2   381.2   488.7  3328.9  5522.2  8031.6 157902.0   158594
read      219.5   160.2    63.8   109.0   120.1   187.7   224.9   248.0   266.2   288.5   318.3   372.8   969.4  1966.6  2946.0 149523.5   149766
read      207.5   201.2    63.8   112.0   127.0   188.3   211.3   224.5   233.7   246.4   263.2   292.4   705.5  3402.1  7722.9  10357.5    10382
read      376.5   445.2    74.4   160.7   184.7   280.1   318.2   342.2   362.8   391.5   444.3  1260.2  2579.6  4868.5  7953.9 170229.0   170548
read      219.4   126.3    68.9   112.4   125.1   194.8   231.5   254.3   272.1   293.9   322.9   374.1   735.5  1432.5  2255.7 150228.5   150565
read      208.6   139.3    68.9   105.3   115.6   180.8   219.5   244.9   264.9   288.7   319.1   369.2   683.1  1349.2  4866.3 137194.5   137144
read      207.4   117.5    68.9   106.7   117.2   181.6   219.0   243.4   262.3   285.1   314.2   362.9   677.7  1331.1  2180.1 144064.5   143496
read      206.3   113.0    63.8   106.4   117.1   181.2   218.2   242.3   261.3   284.1   314.1   362.9   640.5  1303.1  2011.2 144441.0   144743
read      204.5    99.8    68.9   102.0   111.8   178.8   222.7   250.6   271.1   295.1   325.5   374.1   550.3   883.5  1405.5 116318.5   116745
read      207.7   111.1    68.9   104.6   114.8   180.5   221.1   248.0   268.8   293.3   325.1   377.1   622.3  1116.5  1932.8 129485.0   129314
read      210.4   144.3    68.9   106.6   117.4   183.3   221.6   245.8   264.5   286.8   315.4   362.4   664.1  1921.4  2376.2 144840.0   144723
read      203.9    98.1    68.9   102.6   112.3   178.4   222.4   251.0   271.6   295.2   324.6   370.8   523.2   900.2  1381.7 117632.5   117379
read      203.7    99.1    68.9   102.8   112.5   178.4   221.6   249.1   269.8   293.7   323.1   369.5   531.2   965.5  1471.9 120034.5   119931
read      205.4   109.4    63.8   104.3   114.4   179.3   219.3   245.4   265.3   288.8   318.2   367.3   614.5  1201.2  2223.5 131790.5   132052
read      213.5   168.4    68.9   107.4   118.3   184.2   222.2   246.2   264.9   287.4   316.4   366.3   777.3  1862.0  6131.2 143446.5   143350
read      206.5   112.7    63.8   106.3   117.0   181.8   219.0   242.9   261.7   284.3   313.3   360.6   630.0  1336.5  1926.1 143368.5   143518
read      225.2   147.8    63.8   117.2   130.7   202.2   237.4   259.0   274.5   294.2   320.0   365.7   624.5  2177.9  2968.0 173525.0   172981
read      264.6   326.5    63.8   103.3   113.7   198.3   255.6   292.1   320.0   358.5   412.7   518.3  1551.7  4975.0  7679.1  93937.0    94027
read      257.4   268.6    68.9   119.7   134.5   216.6   256.9   280.5   297.9   319.6   350.1   410.3  1428.2  3436.3  7701.4 169333.0   170019
read      240.1   173.3    68.9   123.3   138.7   215.6   251.9   273.3   290.1   310.2   337.3   385.7   723.3  2167.6  7019.5 179232.5   179090
read      247.9   163.2    63.8   102.9   114.3   224.4   272.1   299.9   320.8   345.8   379.0   434.2   867.9  1770.8  2542.2  46840.0    47130
read      234.1   123.4    68.9   111.0   128.5   221.6   255.8   274.1   287.9   303.7   323.9   363.7   689.8  1519.6  1902.1  19463.0    19439
