#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      393.5   410.5    93.8   161.5   179.3   289.8   359.4   409.9   455.3   519.9   639.4   937.7  2123.1  5000.2  6712.2  30056.7    30000  1746035141352  1746035151502
read      349.6   322.2    93.8   159.7   177.3   281.7   339.0   377.0   410.1   458.6   537.5   715.1  1619.9  4833.4  7410.2  29936.0    30005  1746035153016  1746035163147
read      316.9   384.5    93.8   151.2   165.9   253.9   301.4   331.5   355.6   387.9   437.2   553.2  1647.8  5981.3  9300.9  30120.9    30010  1746035164660  1746035174762
read      315.0   341.6    93.8   152.2   167.6   260.3   309.7   340.3   364.6   395.9   443.6   551.8  1258.3  5567.4  7803.3  30013.0    30015  1746035176275  1746035186380
read      285.9   249.9   101.3   149.1   163.2   248.5   293.4   320.7   342.6   369.4   405.8   481.4   812.5  4699.9  6678.3  30073.8    30020  1746035187891  1746035197996
read      289.6   240.1    93.8   150.3   165.3   251.7   296.1   324.3   345.9   374.1   416.9   500.0   853.0  4470.8  6296.2  30050.6    30025  1746035199509  1746035209611
read      268.3   232.7    93.8   147.5   160.9   235.7   274.2   297.3   315.9   339.0   371.3   433.5   719.6  4096.5  7176.0  29971.5    30030  1746035211123  1746035221225
read      272.9   233.2   101.3   147.7   161.4   239.3   279.5   304.5   322.9   346.2   380.2   443.5   760.8  4220.4  6335.9  30024.5    30035  1746035222736  1746035232848
read      286.7   242.8   101.3   151.1   166.0   251.6   294.1   320.2   341.1   367.5   404.5   481.8   812.8  4196.6  7252.4  29863.6    30040  1746035234361  1746035244469
read      294.3   235.3    93.8   152.7   168.3   257.5   303.3   331.6   353.3   381.3   422.4   504.4   861.3  3991.4  6671.9  29991.8    30045  1746035245982  1746035256089
read      290.8   237.0    93.8   151.4   166.4   252.9   298.0   326.1   347.0   374.5   415.3   498.0   879.5  3956.4  6569.0  30033.9    30050  1746035257599  1746035267703
read      293.5   279.1    93.8   150.1   164.8   249.7   294.9   322.7   344.9   373.1   417.4   508.4   946.5  5064.8  7334.9  30119.7    30055  1746035269215  1746035279319
read      304.6   297.6    93.8   152.6   167.8   255.9   303.8   334.0   358.0   389.8   436.8   543.5  1023.5  5120.2  8059.9  30023.7    30060  1746035280832  1746035290934
read      269.6   235.3    86.8   147.0   160.5   237.4   277.9   302.7   321.1   344.5   377.2   440.8   696.3  4387.6  6825.4  29922.4    30065  1746035292447  1746035302555
read      262.8   249.6    93.8   143.8   156.5   228.8   266.5   289.4   307.1   329.2   360.9   421.8   699.7  4442.3  6657.7  30111.7    30070  1746035304067  1746035314168
read      286.6   279.6    93.8   150.5   164.6   246.1   289.6   316.0   336.8   363.2   401.3   483.4   873.4  4880.0  7532.1  30029.7    30075  1746035315680  1746035325783
read      279.9   240.5    93.8   147.6   161.7   243.6   288.0   314.3   334.6   360.3   397.1   471.0   787.5  4410.5  6536.7  30076.3    30080  1746035327294  1746035337399
read      287.7   276.5    93.8   148.4   162.1   245.3   290.9   317.9   339.0   365.7   403.1   483.2   921.2  4536.9  7041.3  29980.1    30085  1746035338913  1746035349017
read      264.9   216.5    93.8   144.9   158.1   233.4   273.4   296.9   315.4   338.4   370.3   433.4   725.0  4024.3  6604.9  30159.2    30090  1746035350529  1746035360633
read      257.0   195.5    93.8   145.7   158.5   230.2   268.5   290.9   307.7   328.0   356.6   405.3   618.1  3267.6  6275.6  30098.5    30095  1746035362144  1746035372247
read      275.4   255.8    86.8   146.6   160.1   235.9   278.1   303.2   321.8   346.7   383.6   459.9   863.0  4504.9  6977.3  30014.4    30100  1746035373759  1746035383863
read      277.5   261.2    93.8   148.9   162.0   238.7   280.6   305.2   323.3   347.0   382.1   455.1   844.1  4681.2  7097.4  30081.9    30105  1746035385374  1746035395479
read      389.2   487.9    93.8   162.3   180.1   290.1   345.3   380.1   408.9   453.1   532.1   795.5  2798.0  6202.1  7422.0  28914.1    30110  1746035396990  1746035407094
read     1503.8  1351.5   109.4   322.3   364.3   970.7  1709.2  2079.6  2363.4  2741.2  3305.8  4393.1  6290.0  7736.0 10606.7  18393.3    30115  1746035408605  1746035418709
read     1652.9  1488.5   118.1   325.1   371.8  1066.1  1939.2  2363.1  2685.6  3118.3  3752.6  4860.3  6374.8  8337.4 12825.9  16973.0    30120  1746035420222  1746035430325
read     1662.5  1505.7   118.1   312.2   353.9  1059.9  2015.0  2374.8  2682.2  3138.9  3764.5  4953.5  6369.9  8019.6 11969.7  16888.9    30125  1746035431837  1746035441941
read     1605.5  1375.5   109.4   333.1   380.6  1145.8  1920.1  2254.0  2510.1  2866.1  3390.6  4430.5  6327.0  7814.6 10947.7  17459.0    30130  1746035443453  1746035453555
read      557.4   614.9    93.8   170.3   193.7   352.0   463.3   583.0   694.9   866.0  1207.0  1737.1  2844.5  6319.5  9048.4  30164.4    30135  1746035455066  1746035465171
read      284.0   141.8    93.8   155.5   172.4   261.2   305.2   330.6   349.2   372.8   406.0   468.3   693.8  1574.0  4723.1  30110.0    30140  1746035466683  1746035476787
read      287.6   166.9    93.8   152.0   168.5   259.2   305.0   331.6   351.3   375.7   413.1   486.6   806.2  2141.7  5019.1  30052.5    30145  1746035478298  1746035488401
