#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      217.4    70.7    93.8   152.2   165.8   213.7   230.0   239.0   246.7   254.5   268.0   288.9   338.7   695.8  3233.3   3991.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      230.5    55.6    86.8   141.3   163.7   228.9   248.9   260.9   269.7   280.2   293.9   316.4   367.3   451.6  1272.0   8972.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      243.2    64.7    80.4   134.2   154.7   242.7   267.7   281.6   291.8   304.0   318.8   344.4   399.3   550.1  1269.6  14045.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      257.5   105.3    86.8   130.2   147.5   258.8   288.8   305.1   316.4   330.8   347.8   375.3   437.0   583.3  3834.8  19141.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      259.0    95.7    86.8   128.8   143.8   261.0   294.1   311.7   323.8   339.8   359.9   389.5   450.6   583.1  4170.2  23944.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      267.6   112.4    86.8   128.5   143.3   268.5   306.2   325.4   339.8   356.5   375.8   407.1   486.8  1027.1  2761.7  29097.3
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      281.1   309.9    86.8   129.7   144.8   275.6   319.1   342.3   359.1   377.5   400.9   437.9   540.3   964.1 20141.5  34067.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      283.1   127.6    80.4   127.5   143.4   281.1   328.0   352.8   370.1   390.8   416.2   456.1   550.6  1163.6  3382.0  38938.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      287.6   124.3    74.4   128.4   144.7   282.0   331.9   359.0   377.7   399.8   428.2   471.7   583.6  1388.3  2545.5  43923.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      291.8   115.8    80.4   130.1   147.3   284.6   337.3   366.2   386.8   410.5   441.1   491.8   596.3   775.0  1736.7  49185.9
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      297.6   124.4    80.4   132.0   149.6   287.0   341.7   371.9   394.3   421.0   456.1   510.2   627.2   793.3  1619.9  53907.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      410.3   294.9    80.4   138.6   162.0   325.7   403.1   460.6   517.0   631.9   851.6   987.3  1684.4  2034.0  3189.3  59017.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1059.2   326.9    93.8   755.6   812.2   983.5  1042.8  1077.5  1099.1  1164.0  1638.7  1895.7  2121.3  2358.0  5688.2  59968.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1068.9   324.1   101.3   773.7   822.7   988.6  1047.5  1079.8  1100.0  1163.6  1652.6  1903.5  2130.4  2352.4  6859.9  59772.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1062.4   321.0   109.4   769.6   820.1   984.0  1038.1  1070.7  1091.2  1145.8  1650.4  1903.8  2111.0  2335.6  5681.8  60142.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1076.4   316.4   118.1   782.6   831.6   998.9  1056.8  1085.8  1110.8  1165.3  1637.6  1924.0  2144.0  2353.9  3731.1  59393.4
