#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      287.6   115.5   118.1   201.9   220.1   272.9   294.8   308.5   317.6   331.2   348.0   381.6   692.9  1602.6  2547.1   3966.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      327.4   169.1   101.3   185.1   218.9   306.9   341.5   362.3   376.4   395.2   420.4   468.8   948.9  2522.7  3629.9   9024.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      355.7   268.6   101.3   171.9   201.7   323.8   368.7   393.8   412.2   434.0   467.2   530.8  1328.2  4018.0  5741.6  13962.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      387.8   512.8   101.3   161.6   185.7   323.6   379.2   410.4   434.4   469.6   516.2   611.3  2209.0  6458.9 15906.4  19018.5
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      389.8   392.2    93.8   158.7   182.6   340.6   403.2   439.5   469.1   502.6   550.5   632.0  1546.5  5696.1  9750.5  23939.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      396.8   308.9    93.8   156.7   181.9   350.7   423.8   472.4   506.2   544.6   593.2   680.5  1354.2  4600.0  6252.6  29068.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      436.5   398.1    86.8   156.8   184.2   366.2   454.4   510.3   550.1   596.2   660.7   823.7  1869.2  5655.8  7697.5  33978.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      517.8   422.6    93.8   175.2   220.3   433.0   539.3   597.7   641.9   707.1   828.4  1126.1  1932.9  6237.4  8440.8  39027.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      570.4   461.3    93.8   179.1   225.8   465.3   597.8   678.7   753.7   870.7  1009.7  1182.9  2171.5  6054.4  7415.5  43844.5
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1261.5   368.0   101.3   885.4  1001.6  1206.9  1263.5  1297.7  1333.9  1370.0  1478.2  2206.1  2551.3  3577.5  6954.9  48447.1
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1323.7   387.0   297.4  1056.1  1107.0  1234.7  1277.1  1315.0  1344.0  1373.0  1473.7  2325.7  2662.6  4914.2  8071.8  48242.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1385.6   403.0   148.8  1119.3  1157.5  1294.8  1347.7  1372.6  1392.9  1445.2  1499.9  2429.3  2764.6  5483.2  7522.0  46138.9
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1371.4   353.6   297.4  1114.7  1148.4  1282.2  1338.7  1365.5  1382.2  1436.3  1525.1  2407.7  2721.0  3765.8  5750.9  46635.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1311.6   378.8   437.0  1050.4  1101.1  1220.7  1265.5  1291.9  1327.6  1363.2  1466.2  2310.4  2618.2  4776.9  6799.8  48760.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1319.6   400.0   297.4  1048.4  1101.4  1226.9  1272.2  1307.8  1340.3  1372.8  1488.1  2325.1  2655.6  5200.4  7494.3  48470.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1340.2   337.0   173.5  1092.1  1122.9  1258.5  1314.3  1347.2  1367.7  1394.7  1482.5  2345.4  2653.8  3171.0  5801.5  47720.2
