#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      258.3   254.1    93.8   143.8   154.9   203.0   223.7   234.9   246.0   259.6   283.1   601.8  1385.0  2333.0  2373.5   3989.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      305.2   320.4    80.4   136.3   155.1   227.3   253.6   270.5   285.1   306.7   357.9  1198.3  1986.8  2360.8  2554.9   9036.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      334.9   336.6    86.8   130.2   150.4   246.5   278.1   298.2   317.1   347.9   430.6  1266.7  1984.1  2363.5  2532.3  13970.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      339.3   312.8    80.4   127.8   146.4   258.6   294.1   317.0   339.3   377.1   512.9  1226.3  1533.9  2362.7  4111.5  19019.1
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      390.9   368.7    80.4   126.5   144.6   278.5   325.2   360.1   394.0   464.4   970.9  1340.3  1907.1  2331.6  2631.5  24078.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      446.8   432.9    80.4   129.5   148.3   296.3   360.9   415.4   488.6   650.9  1298.1  1387.7  1955.3  2767.7  4371.5  29008.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      502.2   461.8    80.4   132.9   156.9   327.6   415.0   501.5   594.5  1214.7  1344.6  1458.7  2013.4  2530.4  4939.8  33977.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      688.8   637.7    80.4   152.1   192.4   434.8   592.3   732.1  1285.5  1382.2  1552.6  2291.6  2723.7  3415.4  4836.9  38917.1
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1651.0  1087.7    86.8   579.4   631.1   911.7  2609.8  2686.2  2733.9  2814.5  3044.5  3398.6  4446.8  5424.6  5928.8  38541.3
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1648.7  1012.5   118.1   586.6   638.8  1181.3  2511.8  2642.2  2702.1  2762.1  2948.4  3289.9  3650.4  5078.8  5735.5  38725.5
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1655.5  1010.1    93.8   587.1   639.4  1198.7  2528.4  2648.0  2707.9  2767.8  2950.8  3292.7  3623.8  4927.4  5480.6  38607.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1667.2  1009.7   101.3   594.4   644.4  1256.1  2519.8  2645.3  2705.3  2765.4  2939.7  3286.8  3657.2  5080.0  6933.6  38343.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1680.4  1018.2   101.3   596.7   650.2  1258.0  2535.8  2653.0  2714.7  2785.9  2955.8  3315.6  3689.4  5035.5  8990.1  38042.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1688.9  1015.3   127.6   598.6   651.5  1276.5  2535.5  2656.3  2720.9  2806.2  2963.9  3314.3  3684.5  5126.1  5544.6  37859.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1678.1  1015.9   137.8   600.2   652.9  1277.1  2491.5  2636.6  2703.7  2770.7  2945.9  3289.0  3692.1  5203.9 10087.2  38112.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1680.6  1010.4   160.7   602.3   654.3  1275.7  2532.0  2651.6  2713.6  2783.3  2952.5  3307.8  3671.8  5094.7  6114.8  38053.2
