#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      247.8   500.8    68.9   102.3   110.2   161.1   186.3   201.3   213.7   230.0   259.6   543.8  2227.4  6258.6 18283.6  29974.5    30000  1745605046293  1745605056464
read      279.7   815.9    68.9    99.8   107.3   156.7   181.2   196.0   207.7   223.7   254.1  1051.5  2545.0 11692.3 29317.5  30010.8    30005  1745605057976  1745605068104
read      280.2   779.6    68.9    99.9   107.3   156.5   181.9   197.5   210.1   227.4   263.5  1112.6  2448.6  6438.0 30411.4  30063.3    30010  1745605069616  1745605079715
read      283.2   760.7    74.4   101.4   108.9   159.4   185.4   201.2   214.2   231.2   266.0  1132.4  2425.8  6449.3 28350.7  30053.9    30015  1745605081226  1745605091325
read      274.6   663.1    68.9   101.0   108.4   157.8   182.8   197.5   209.2   225.5   258.5  1112.5  2442.1  6999.4 25064.7  30097.4    30020  1745605092837  1745605102938
read      278.3   967.1    68.9   100.4   107.4   152.8   175.6   189.1   199.8   215.3   247.6  1066.3  2433.0 11098.1 43450.2  29974.7    30025  1745605104449  1745605114550
read      277.3   648.3    68.9   100.4   108.0   157.4   182.1   197.2   209.7   227.0   263.7  1112.3  2521.8  6449.6 25035.5  30047.8    30030  1745605116060  1745605126160
read      279.2   842.4    68.9   101.0   108.4   157.6   182.1   196.4   207.7   223.0   253.1  1085.8  2512.3  6452.8 45122.2  30013.1    30035  1745605127671  1745605137771
read      275.6   544.2    74.4   101.2   109.0   159.6   184.7   199.6   212.1   229.0   265.7  1102.5  2505.9  6324.0 13698.3  30067.1    30040  1745605139283  1745605149383
read      285.1   803.4    68.9   101.9   109.5   158.4   182.7   197.2   208.9   225.0   257.5  1099.4  2486.3  7209.6 31075.4  30055.7    30045  1745605150894  1745605160993
read      268.7   568.1    74.4   100.8   108.2   157.0   180.9   195.1   206.2   222.0   254.0  1061.6  2453.8  6348.6 18417.7  30142.0    30050  1745605162504  1745605172603
read      255.1   602.4    68.9    99.5   106.4   153.3   176.9   190.7   201.2   216.4   244.6   964.2  2430.8  6225.6 30344.2  29953.7    30055  1745605174114  1745605184217
read      161.0    79.1    68.9   102.3   109.7   154.7   175.1   185.8   194.0   202.6   215.2   233.7   288.1   469.6  3156.4  30114.9    30060  1745605185728  1745605195830
read      163.7    80.3    63.8   101.5   109.1   156.1   177.7   189.0   197.5   207.4   219.7   242.0   315.6   763.4  2880.0  30100.8    30065  1745605197341  1745605207440
read      160.4    75.5    63.8   100.5   107.9   153.7   174.5   185.6   193.8   202.4   215.1   234.5   296.1   620.0  2721.0  29975.0    30070  1745605208951  1745605219051
read      163.1    74.0    68.9    99.4   106.9   156.6   179.5   191.3   199.6   209.8   222.4   243.3   305.4   504.6  2859.1  30015.3    30075  1745605220561  1745605230662
read      164.6    74.8    68.9   100.3   108.0   157.5   181.3   193.8   202.1   212.7   225.7   246.4   300.4   537.2  2829.3  30112.1    30080  1745605232173  1745605242273
read      163.5    75.9    68.9   100.1   107.9   156.4   179.1   191.3   199.8   210.5   223.8   245.3   301.1   522.1  3183.1  30076.8    30085  1745605243783  1745605253882
read      163.3    66.6    74.4   102.3   109.9   156.7   179.1   191.0   199.3   209.4   221.6   240.9   291.5   459.6  2915.9  30118.0    30090  1745605255393  1745605265494
read      167.9    84.9    68.9   102.2   110.2   160.1   183.7   196.2   204.9   215.3   229.0   251.1   318.4   641.1  3399.0  30065.0    30095  1745605267004  1745605277103
read      166.7    75.6    68.9   102.2   110.4   160.2   183.1   195.4   203.7   214.3   227.7   249.1   307.8   481.8  2369.5  30176.5    30100  1745605278615  1745605288716
read      165.8    65.2    74.4   104.0   111.7   159.2   181.3   193.3   201.4   212.0   224.9   245.6   298.0   460.6  2448.8  30076.8    30105  1745605290227  1745605300328
read      165.0    72.3    68.9   101.2   109.1   158.1   181.2   193.6   202.0   212.6   225.5   245.7   298.0   525.8  2991.8  30042.1    30110  1745605301840  1745605311940
read      162.9    72.1    63.8   101.5   109.3   156.2   178.2   189.7   198.0   207.8   219.7   238.6   291.8   588.0  2895.1  30082.9    30115  1745605313451  1745605323550
read      159.9    59.5    68.9    98.7   106.0   153.2   175.7   187.4   196.2   206.1   218.4   238.8   294.4   482.2  2112.0  30077.7    30120  1745605325060  1745605335159
read      161.6    62.0    68.9   101.4   108.9   155.3   177.2   188.7   197.2   206.9   218.8   238.7   292.8   477.4  2579.4  30137.0    30125  1745605336670  1745605346770
read      162.9    72.9    63.8    98.8   106.8   156.7   179.5   191.5   199.9   210.2   222.7   243.0   297.5   484.7  2869.0  30142.6    30130  1745605348281  1745605358393
read      163.8    68.3    68.9   102.1   109.8   156.5   178.9   190.4   198.7   208.7   221.1   242.4   313.6   620.4  2656.2  30158.0    30135  1745605359903  1745605370004
read      161.8    64.1    74.4   102.2   109.7   155.8   176.8   187.7   196.1   205.3   217.4   236.3   298.5   470.9  2163.4  30121.0    30140  1745605371515  1745605381615
read      162.4    65.3    74.4   102.3   109.9   156.6   177.7   188.8   197.1   206.6   218.3   237.3   294.9   453.9  2446.7  30134.4    30145  1745605383126  1745605393226
read      164.3    66.5    68.9   102.5   110.4   157.8   180.2   192.2   200.5   210.7   223.1   242.6   293.4   444.5  2347.3  30132.1    30150  1745605394736  1745605404835
read      161.9    68.9    68.9   101.1   108.4   155.7   177.8   189.3   197.7   207.5   219.3   238.3   289.4   461.4  3008.0  30107.6    30155  1745605406344  1745605416446
read      164.2    75.2    68.9   102.0   110.0   157.7   179.9   191.8   200.1   210.4   223.0   243.2   295.4   468.2  2716.8  30172.3    30160  1745605417956  1745605428057
read      162.5    62.3    68.9   101.4   109.2   156.9   178.3   189.5   197.7   207.4   218.9   237.9   291.0   465.9  2514.1  30087.9    30165  1745605429566  1745605439663
read      163.7    72.4    68.9   101.0   108.8   157.1   179.6   191.5   199.8   210.0   222.4   242.5   297.1   515.5  3005.3  30160.2    30170  1745605441174  1745605451277
