#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      265.7   422.5    80.4   114.2   122.7   179.3   209.5   227.8   242.8   265.1   309.2   672.9  2177.1  5126.7 10986.7  30003.3    30000  1745600302334  1745600312508
read      340.9   819.1    80.4   116.1   124.8   182.6   215.8   237.2   256.0   284.7   400.6  1392.9  2808.1  7631.6 30684.7  29925.6    30005  1745600314022  1745600324148
read      327.9   548.3    80.4   115.2   123.7   182.0   215.9   237.1   256.5   288.3   455.3  1428.3  2694.1  6207.8 11530.1  29937.2    30010  1745600325661  1745600335762
read      323.2   631.4    80.4   112.8   121.0   181.6   217.2   239.2   258.9   290.1   385.3  1302.6  2646.5  6358.3 23912.9  29962.2    30015  1745600337274  1745600347378
read      342.7   626.6    80.4   116.0   125.4   192.0   227.3   250.8   273.2   311.6   457.0  1432.8  2639.5  6273.0 18700.2  29986.7    30020  1745600348890  1745600358991
read      335.1   645.9    74.4   116.6   126.1   192.3   226.1   248.4   269.5   302.9   409.9  1392.9  2550.7  6289.0 26284.8  30097.3    30025  1745600360503  1745600370608
read      334.7   728.5    80.4   115.7   125.1   191.4   224.5   245.6   265.2   295.4   398.5  1376.3  2546.3  7090.9 25814.6  30087.5    30030  1745600372122  1745600382225
read      336.6   667.8    80.4   117.0   127.0   194.9   229.0   251.1   271.6   304.2   402.5  1394.5  2582.8  6357.6 22940.0  30002.4    30035  1745600383736  1745600393841
read      353.0   950.2    80.4   114.9   124.8   193.9   228.5   252.1   273.6   309.3   421.1  1390.6  2679.8 10352.0 38223.8  30010.2    30040  1745600395353  1745600405457
read      323.7   622.8    80.4   113.8   122.5   185.5   218.3   238.6   258.2   289.8   400.8  1371.9  2535.2  6250.2 28082.0  29936.2    30045  1745600406969  1745600417081
read      329.6   661.7    74.4   114.8   123.8   189.1   222.2   242.7   262.1   292.7   389.3  1360.5  2561.9  6600.1 18719.9  30016.6    30050  1745600418593  1745600428691
read      344.2   754.5    80.4   118.3   128.3   199.5   237.0   262.9   284.9   318.5   421.4  1386.7  2612.8  6410.0 32311.5  30031.2    30055  1745600430202  1745600440309
read      331.2   670.3    80.4   113.5   122.4   186.0   218.3   238.4   258.2   290.5   408.7  1391.4  2541.5  6446.1 24127.6  29958.3    30060  1745600441821  1745600451944
read      349.5   828.5    80.4   120.0   129.9   200.0   235.0   260.3   283.0   318.3   430.3  1396.6  2588.0  6416.8 44179.4  30084.8    30065  1745600453456  1745600463557
read      350.7   815.6    80.4   118.5   128.8   199.8   235.0   259.2   280.2   313.5   407.3  1371.4  2780.8  8509.2 31000.8  30088.0    30070  1745600465070  1745600475173
read      246.5   635.2    74.4   110.8   119.6   185.5   215.0   230.5   242.3   257.4   283.0   349.7  2091.2  6115.9 36537.7  29995.4    30075  1745600476685  1745600486789
read      181.2    72.1    80.4   111.7   120.8   176.8   200.5   212.4   220.3   229.7   241.3   260.5   309.2   523.9  2860.2  29977.0    30080  1745600488301  1745600498412
read      182.9    82.4    80.4   114.1   122.9   176.8   201.3   213.6   222.0   231.4   244.2   264.8   316.3   549.4  3378.4  30169.2    30085  1745600499924  1745600510025
read      178.3    67.6    80.4   111.4   120.4   173.5   196.7   208.6   216.5   226.2   236.7   255.5   305.3   484.5  2842.1  30114.6    30090  1745600511537  1745600521644
read      172.0    82.1    80.4   110.0   117.6   165.9   187.8   199.6   207.8   216.6   228.3   246.1   293.8   551.1  3230.7  30084.0    30095  1745600523157  1745600533262
read      172.6    71.7    80.4   111.8   119.8   167.0   188.8   199.8   207.9   216.6   228.2   245.9   291.5   450.0  2874.2  30139.9    30100  1745600534775  1745600544874
read      175.9    71.7    74.4   112.9   121.7   170.2   192.3   203.7   212.0   221.0   232.3   250.9   300.4   495.5  2926.7  30085.8    30105  1745600546386  1745600556487
read      174.2    78.8    74.4   110.5   118.5   167.7   190.6   202.7   211.5   220.8   232.7   251.6   302.2   498.6  3184.1  30019.1    30110  1745600557999  1745600568106
read      175.7    77.4    80.4   112.4   120.2   168.9   192.3   204.5   213.3   223.0   234.2   253.0   300.3   541.5  3097.3  30015.0    30115  1745600569619  1745600579722
read      173.8    84.1    80.4   111.4   119.6   167.8   189.2   200.3   208.3   216.9   228.8   247.2   299.2   590.5  3488.4  30027.6    30120  1745600581234  1745600591336
read      178.6    76.3    80.4   112.4   121.0   171.7   195.8   208.5   217.0   227.2   238.9   258.8   310.0   563.0  3100.9  30192.7    30125  1745600592849  1745600602949
read      173.6    70.5    80.4   111.0   119.5   167.9   190.1   201.4   209.6   218.1   229.8   247.2   294.1   533.6  2739.3  30169.9    30130  1745600604461  1745600614561
read      174.8    60.4    80.4   113.1   121.6   169.2   191.5   203.5   211.8   220.7   231.8   249.1   290.7   428.8  2470.2  30024.9    30135  1745600616074  1745600626174
read      178.5    89.8    74.4   113.0   121.8   171.2   195.1   207.8   216.3   226.4   237.8   256.5   299.9   577.0  3544.7  30033.6    30140  1745600627684  1745600637785
read      171.8    67.9    74.4   109.6   117.4   167.1   189.1   200.4   208.5   217.1   228.7   245.7   285.4   449.2  2504.7  30213.7    30145  1745600639296  1745600649398
read      175.0    74.1    80.4   112.1   120.6   169.4   191.6   203.2   211.5   220.2   231.5   248.9   290.7   498.2  3389.4  30095.0    30150  1745600650910  1745600661011
read      176.2    71.0    74.4   112.7   121.5   170.2   192.8   204.8   213.5   223.3   234.6   252.9   293.6   431.4  2690.2  30120.1    30155  1745600662522  1745600672625
read      178.3    66.4    80.4   115.8   124.4   172.0   195.1   207.3   215.6   225.3   235.9   254.0   294.7   436.4  2701.4  30092.1    30160  1745600674137  1745600684236
read      176.6    81.5    80.4   112.8   121.1   170.5   194.1   206.0   214.1   223.2   233.7   251.1   292.6   522.9  3117.6  30221.3    30165  1745600685747  1745600695848
read      172.3    73.9    74.4   111.1   119.4   167.5   187.9   198.8   206.5   215.2   226.6   243.5   283.9   496.6  3089.4  30175.1    30170  1745600697360  1745600707458
