#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      199.6   212.8    74.4   107.6   115.5   169.3   197.4   214.6   227.2   242.6   264.9   312.3   820.8  3048.1  6341.4  30019.6    30000  1745700345509  1745700355670
read      182.5   111.7    74.4   108.4   116.0   167.9   194.2   209.7   220.6   233.3   250.6   278.4   407.0  1694.3  3660.3  30106.6    30005  1745700357182  1745700367311
read      178.5   121.2    74.4   107.4   114.6   162.8   187.3   202.3   213.8   226.9   243.7   270.7   381.4  1974.6  3867.7  30055.7    30010  1745700368823  1745700378924
read      176.7   100.6    74.4   106.9   114.4   164.9   190.2   205.1   216.1   228.7   244.5   269.2   341.5  1523.5  4141.3  30073.7    30015  1745700380436  1745700390538
read      179.7   108.1    74.4   108.1   115.3   166.2   192.8   208.4   219.3   232.1   248.6   273.2   353.1  1862.9  3226.8  29944.8    30020  1745700392052  1745700402152
read      178.9   119.3    74.4   107.2   114.5   164.6   190.5   206.0   217.1   229.9   246.3   271.7   358.0  2010.1  4391.5  30072.1    30025  1745700403665  1745700413769
read      195.0   185.2    74.4   107.8   115.3   168.8   196.6   212.6   224.3   237.5   257.1   294.7   772.3  2768.4  5025.1  30114.8    30030  1745700415284  1745700425386
read      180.4   111.8    74.4   106.9   114.3   166.0   192.7   208.4   219.6   232.5   249.6   276.4   387.1  1748.5  4790.1  30029.6    30035  1745700426900  1745700437000
read      176.9    88.6    74.4   107.5   114.7   165.1   190.2   204.9   216.0   228.9   245.7   271.9   359.5  1288.1  2804.7  30179.5    30040  1745700438514  1745700448616
read      176.4    96.6    74.4   108.1   115.5   165.4   189.1   202.3   213.1   225.4   241.2   268.1   350.5  1313.8  3288.5  30039.0    30045  1745700450129  1745700460233
read      180.9   130.6    74.4   107.3   114.7   164.6   188.3   201.3   211.9   224.6   241.8   273.0   469.6  2119.9  4286.9  30051.5    30050  1745700461745  1745700471846
read      186.0   129.9    74.4   110.2   118.0   171.7   197.7   211.6   221.6   233.7   251.3   281.1   425.3  1864.2  4261.8  30079.6    30055  1745700473359  1745700483461
read      176.8   110.6    74.4   108.8   116.0   164.8   188.5   201.7   211.5   222.7   236.9   265.0   355.9  1739.2  4068.6  30039.3    30060  1745700484974  1745700495078
read      176.5   104.4    80.4   109.6   117.0   165.3   188.2   201.0   210.6   221.2   234.9   261.2   350.9  1582.6  3922.7  29987.1    30065  1745700496592  1745700506696
read      177.5    77.6    68.9   106.1   114.9   168.1   192.9   206.7   216.6   228.6   244.5   272.4   359.2   698.4  2874.5  30001.3    30070  1745700508209  1745700518312
read      178.2    89.3    74.4   108.4   116.9   168.3   192.1   205.3   214.9   226.2   240.6   267.5   365.4  1030.4  2899.2  30063.3    30075  1745700519825  1745700529925
read      175.4    88.9    74.4   108.2   116.3   166.3   189.0   201.7   211.5   222.5   235.9   262.5   344.6   795.6  3837.2  30109.2    30080  1745700531439  1745700541543
read      177.9    89.1    74.4   109.8   118.3   167.7   189.6   202.0   211.8   222.9   236.8   264.6   383.4  1099.6  3081.1  30048.9    30085  1745700543058  1745700553162
read      177.4    92.5    74.4   107.6   116.0   167.0   189.4   201.8   211.8   223.0   237.0   265.5   382.3  1203.2  3626.0  30125.5    30090  1745700554676  1745700564781
read      175.7    84.2    74.4   109.9   118.0   167.1   188.8   201.2   210.9   221.9   235.7   261.5   341.1   781.8  2945.8  30119.8    30095  1745700566298  1745700576407
read      173.9    78.4    68.9   106.7   114.9   165.0   187.1   199.9   209.4   220.1   234.7   261.2   350.8   877.4  3015.2  30030.7    30100  1745700577920  1745700588027
read      169.8    85.6    74.4   105.2   113.0   161.2   183.5   196.0   204.9   215.8   230.3   254.0   323.7   670.0  3209.9  30023.5    30105  1745700589540  1745700599641
read      179.6    98.9    74.4   109.5   118.1   168.7   191.2   203.9   213.8   225.5   240.6   268.5   388.4  1227.4  4224.5  30121.9    30110  1745700601154  1745700611258
read      175.6    84.6    74.4   109.6   117.7   166.9   189.2   201.7   211.6   222.7   236.0   262.0   333.2   800.0  3311.2  30166.0    30115  1745700612773  1745700622878
read      174.5    83.5    74.4   107.6   116.2   166.4   189.2   201.7   211.5   222.2   235.4   259.4   327.1   650.7  3130.0  30133.0    30120  1745700624391  1745700634491
