#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      201.8   193.4    68.9   109.6   120.6   175.8   202.5   218.5   230.3   244.5   264.4   305.1   729.7  2725.0  6263.4  30005.4    30000  1745924844598  1745924854763
read      183.2   106.6    74.4   107.8   118.5   170.3   194.3   208.3   218.3   230.6   247.0   274.6   404.9  1617.8  3363.2  29960.1    30005  1745924856274  1745924866402
read      192.5   136.6    74.4   109.9   120.6   175.2   201.9   217.6   228.8   241.8   258.8   290.6   463.8  2263.8  4727.7  29914.0    30010  1745924867916  1745924878015
read      186.2   119.3    74.4   111.1   120.9   172.3   196.9   211.1   221.3   233.2   250.1   280.3   412.5  1730.6  5624.2  30085.0    30015  1745924879527  1745924889628
read      182.8   105.1    68.9   107.0   118.2   171.7   196.8   211.2   221.4   233.0   248.6   272.6   358.5  1645.0  3437.1  30037.6    30020  1745924891139  1745924901245
read      180.0    85.2    74.4   108.5   119.0   170.1   194.4   208.1   217.7   229.3   243.7   267.4   349.3  1247.7  2530.0  29883.4    30025  1745924902758  1745924912857
read      182.7    95.9    74.4   109.4   118.9   170.3   196.7   212.0   222.8   234.7   250.8   274.6   366.9  1465.8  3210.9  30048.2    30030  1745924914369  1745924924468
read      180.9    99.5    74.4   108.5   118.8   169.5   193.8   207.6   217.4   229.3   244.3   269.2   362.5  1583.9  3140.8  30105.2    30035  1745924925981  1745924936079
read      183.4   104.3    74.4   109.2   119.1   171.2   196.5   211.1   221.5   233.6   250.0   275.0   375.7  1627.2  3824.7  30006.3    30040  1745924937591  1745924947688
read      183.4   107.8    74.4   109.5   119.3   171.2   197.3   212.1   222.4   233.9   249.2   272.6   358.3  1719.4  3424.6  30023.9    30045  1745924949201  1745924959302
read      179.8    98.9    74.4   111.3   120.6   169.4   192.5   205.4   215.0   226.4   240.6   264.4   339.7  1661.4  3825.5  30080.4    30050  1745924960815  1745924970915
read      177.8    91.9    74.4   108.6   118.2   167.5   191.2   204.5   214.3   225.8   240.0   264.0   339.1  1306.0  3377.0  30080.4    30055  1745924972427  1745924982530
read      181.2   103.0    74.4   107.7   118.7   170.4   194.5   208.5   218.4   230.5   245.7   270.0   347.5  1602.3  3914.2  30043.8    30060  1745924984043  1745924994141
read      180.0    98.9    68.9   106.4   117.1   169.1   193.3   207.2   217.1   229.4   245.6   272.6   370.6  1168.2  4394.2  30076.3    30065  1745924995654  1745925005752
read      180.9    89.4    68.9   108.9   119.4   171.9   196.0   209.5   218.9   230.6   245.7   270.6   352.6   686.0  3210.1  30108.0    30070  1745925007265  1745925017364
read      175.8    74.5    68.9   109.6   119.4   168.9   190.9   202.6   211.7   221.6   234.2   255.4   320.6   565.9  2875.8  30110.0    30075  1745925018876  1745925028975
read      174.1    74.4    74.4   105.0   115.7   167.0   189.8   202.2   211.9   222.6   235.6   258.6   319.4   551.1  3018.6  30027.8    30080  1745925030487  1745925040584
read      178.2    84.1    74.4   110.6   120.1   170.9   193.8   206.0   214.9   225.6   238.3   261.2   326.8   566.9  3186.1  30078.6    30085  1745925042096  1745925052195
read      179.1    84.3    68.9   103.8   114.8   170.0   196.2   210.2   219.7   231.2   246.5   271.5   359.2   648.3  3599.8  30046.7    30090  1745925053707  1745925063805
read      180.3    83.5    74.4   108.3   119.4   173.0   196.5   209.2   217.9   228.9   242.7   266.5   341.0   701.4  3182.3  29998.6    30095  1745925065316  1745925075415
read      173.0    71.8    68.9   102.3   113.9   167.5   190.6   202.3   211.3   221.1   233.5   253.4   309.9   521.4  2639.5  29922.3    30100  1745925076927  1745925087028
read      180.1    82.1    68.9   105.6   116.7   172.7   197.5   211.0   220.3   231.3   245.9   268.9   337.6   665.1  3032.7  30166.2    30105  1745925088540  1745925098639
read      174.7    77.3    68.9   103.8   114.7   167.6   192.0   204.8   214.0   224.6   237.1   258.9   314.5   615.8  2917.1  30121.5    30110  1745925100149  1745925110248
read      178.4    67.2    74.4   110.3   119.6   170.6   195.4   209.0   218.3   229.7   243.9   266.2   321.6   505.3  2373.4  30121.7    30115  1745925111761  1745925121881
read      180.3    80.1    68.9   105.3   116.8   173.8   198.3   211.6   220.7   231.4   245.6   268.3   337.5   593.8  3109.6  30121.3    30120  1745925123393  1745925133492
read      174.8    73.3    68.9   102.9   113.8   168.1   192.6   205.4   214.7   225.4   238.1   260.6   325.1   539.1  2768.1  30099.9    30125  1745925135003  1745925145102
read      174.4    77.2    68.9   103.9   115.0   168.2   191.8   203.9   212.9   223.2   235.5   257.0   315.5   498.1  2939.6  30199.1    30130  1745925146615  1745925156715
read      175.4    76.0    68.9   107.0   116.9   168.3   192.3   204.9   214.1   224.7   237.1   258.7   316.5   547.6  3038.8  30074.8    30135  1745925158227  1745925168326
