Timestamp start: 1747179599810
Timestamp end: 1747180440059

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      208.1   217.0    74.4   111.1   123.1   187.6   210.7   223.6   232.6   245.2   262.8   295.7   727.4  3548.7  7833.3   8117.0     8195
read      298.5   377.7    68.9   123.5   140.7   239.9   292.9   324.1   347.0   375.3   413.9   484.6  2085.6  5166.9  8302.9 158211.0   158594
read      220.3   142.8    63.8   109.9   121.4   193.9   234.2   259.7   278.3   300.9   330.7   377.5   640.8  1840.6  3074.4 149680.0   149766
read      199.1    85.7    68.9   107.8   120.9   192.5   216.2   229.5   238.7   250.6   266.5   293.0   448.5  1200.3  2281.1  10451.0    10382
read      316.7   308.5    63.8   139.5   159.1   263.7   312.3   341.6   365.2   394.9   436.9   527.6  1625.0  3474.2  7778.8 169996.2   170548
read      218.1   135.1    63.8   109.3   120.7   192.5   232.4   257.1   275.3   297.9   327.7   374.5   664.6  1684.0  2990.1 150557.0   150565
read      211.3   123.4    63.8   104.8   115.4   184.6   226.6   253.0   272.9   296.4   326.8   373.2   636.9  1373.4  2786.6 137061.2   137144
read      216.6   147.6    63.8   107.8   119.0   189.8   231.2   256.7   275.5   298.7   329.0   375.5   648.1  1603.8  3851.7 143498.0   143496
read      215.4   141.7    63.8   106.4   117.6   188.3   229.5   254.8   273.7   296.4   325.9   372.8   633.4  1827.8  3423.7 144953.8   144743
read      209.9   119.8    63.8   100.7   110.6   182.2   228.9   258.6   280.1   305.2   336.6   385.9   584.9  1136.2  3789.7 116695.2   116745
read      211.8   122.1    63.8   103.0   113.4   184.0   228.4   256.1   276.4   301.1   332.2   380.7   658.3  1331.9  2892.8 128930.4   129314
read      216.9   133.7    63.8   107.6   118.9   191.0   232.2   257.7   276.3   299.0   329.1   376.0   641.4  1626.0  2650.5 144640.0   144723
read      206.0   105.3    59.1    99.8   109.9   180.2   225.7   254.3   275.3   300.1   331.2   378.9   567.4   954.8  1357.1 117275.8   117379
read      210.2   117.4    63.8   101.0   111.0   181.9   227.7   256.8   278.4   304.0   335.8   386.2   635.6  1184.7  2016.5 120067.4   119931
read      209.7   125.4    63.8   102.7   113.1   182.6   225.2   252.0   271.9   295.7   326.5   373.4   636.0  1431.0  2366.0 132189.6   132052
read      213.1   137.0    63.8   105.7   116.8   186.7   227.7   252.9   271.7   294.3   323.4   370.9   646.5  1662.4  2666.6 143161.6   143350
read      219.5   148.8    63.8   107.4   118.7   190.9   232.5   258.5   277.5   300.8   331.3   380.3   729.3  1783.5  3465.3 143377.0   143518
read      267.5   177.3    68.9   128.4   145.1   239.4   286.9   315.0   336.9   364.2   400.0   459.7   647.1  2575.8  4184.8 172976.6   172981
read      347.1   446.4    63.8   106.8   120.5   228.1   300.8   356.0   407.5   488.0   606.3  1023.0  2278.1  4737.3  8921.3  93764.6    94027
read      281.1   241.1    68.9   130.3   148.2   246.1   294.6   323.2   345.1   372.2   408.4   469.6   807.0  3386.2  6135.1 170174.4   170019
read      286.0   179.0    63.8   137.1   155.9   257.5   309.2   340.3   364.2   392.9   430.4   491.7   677.8  2558.3  4950.0 179220.2   179090
read      253.8   161.6    63.8    99.3   110.6   231.0   287.3   318.0   340.9   367.2   399.5   458.3   861.1  1536.3  3752.2  47064.2    47130
read      223.6   104.0    68.9   103.9   117.3   214.7   249.4   268.3   282.0   297.8   318.4   354.3   549.0  1289.8  1968.9  19400.4    19439
read      277.6   338.3    63.8   106.5   118.8   207.6   261.6   294.0   317.4   345.6   385.9   500.0  1679.2  3834.0  7752.3 128642.4   128963
read      235.1   115.6    63.8   104.3   117.6   223.6   263.6   284.7   299.6   317.6   340.9   381.5   645.4  1369.7  1909.2  23845.0    23787
read      283.1   269.8    63.8   100.5   111.7   234.3   306.2   345.6   373.7   405.9   451.9   535.8  1352.8  2920.6  7991.0  62042.4    61848
read      295.0   346.6    63.8   104.3   116.2   209.9   267.3   302.1   328.8   365.7   433.4   818.4  1659.4  3696.8  7650.8 101959.6   101968
read      218.3   193.8    63.8   100.4   110.5   185.4   233.8   263.6   284.4   308.5   339.1   388.4   688.3  2764.5  7127.9 108778.0   108767
read      364.7   505.3    63.8   109.6   123.8   230.9   301.1   352.7   402.6   490.9   629.1  1118.8  2749.8  5927.7  8025.0  97173.2    97139
read      233.8   168.2    63.8   117.1   131.1   210.7   251.4   275.1   293.1   314.6   342.8   390.4   539.1  2434.7  5337.5 158791.6   158594
read      220.4   154.1    63.8   107.9   119.3   192.3   234.4   261.2   280.9   304.6   335.1   382.7   586.8  2187.5  3707.2 141344.0   141240
read      248.9   214.7    63.8   101.1   112.6   225.4   271.9   297.3   317.1   341.0   371.9   425.0   888.4  2543.9  6438.1  41460.4    41405
read      277.7   230.0    63.8    99.9   111.4   236.5   305.3   343.7   370.9   401.2   442.1   518.6  1252.3  2271.5  7194.9  57896.8    57997
read      341.2   513.3    63.8   115.0   131.3   238.8   295.8   327.0   349.5   377.9   421.1   611.8  3290.7  6118.8  8064.5 133565.8   133577
read      261.0   179.4    63.8    99.8   111.0   233.2   293.8   327.4   351.4   379.5   414.5   472.6   973.8  1920.6  3816.1  53722.0    53832
read      253.1   260.5    63.8   109.8   122.1   205.3   254.3   283.8   305.1   330.4   364.8   427.0  1479.8  3362.3  7180.7 139843.2   139832
read      261.9   171.5    68.9   128.4   144.7   235.2   280.7   308.0   328.7   354.6   389.5   446.3   633.1  2115.7  4757.6 170350.0   170515
read      213.8   140.8    63.8   102.6   113.1   184.8   229.3   257.1   277.8   302.6   333.7   381.4   611.6  1751.6  3525.3 128331.0   128494
read      230.8   100.2    68.9   109.4   123.4   223.8   260.2   279.4   293.4   309.9   330.5   364.1   510.7  1221.7  1925.8  20830.8    20789
read      276.8   219.5    63.8    99.9   111.2   234.2   306.6   347.3   375.8   408.0   450.3   524.3  1233.7  2233.6  4274.2  63611.4    63647
read      277.2   221.4    63.8   100.9   112.2   234.9   308.3   349.0   377.4   409.0   450.8   523.8  1182.5  2433.0  5773.5  64830.4    64802
read      270.8   246.3    59.1   100.3   111.8   239.4   306.7   343.1   368.6   396.4   430.6   490.4   972.3  2208.4 11299.9  55719.4    55719
read      309.3   226.1    68.9   143.0   163.8   273.7   329.6   363.3   388.2   417.9   456.4   517.4  1105.2  3372.5  5514.5 174268.4   174179
read      215.8   143.6    63.8   100.8   110.8   186.1   234.8   265.0   286.6   311.7   342.5   390.0   568.3  1854.5  3350.0 106286.6   106356
read      296.7   161.2    68.9   144.7   165.1   270.2   323.9   356.2   379.3   406.0   440.9   496.1   698.4  2011.4  3294.7 178798.6   178750
read      214.8   134.8    59.1   100.6   110.7   185.8   234.5   264.8   286.4   311.4   342.0   389.0   588.9  1616.4  3071.1 105596.8   105831
