Timestamp start: 1747180480246
Timestamp end: 1747181320512

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      215.4   250.2    80.4   113.0   125.5   191.0   213.3   226.0   234.8   247.8   265.6   299.7   850.9  3763.7  7964.6   8108.6     8195
read      372.0   419.5    68.9   140.4   163.4   291.9   356.1   401.7   445.7   510.1   598.1   717.0  2618.6  5234.1  8571.8 158425.4   158594
read      283.9   206.5    68.9   114.6   129.6   239.0   304.5   344.5   377.8   422.6   482.4   573.0   854.7  2626.8  5570.6 149775.2   149766
read      202.9   105.1    74.4   111.2   124.2   194.7   218.4   232.0   242.3   254.1   271.0   299.6   488.3  1101.5  2753.1  10351.0    10382
read      387.4   393.0    74.4   168.1   194.5   310.3   366.2   407.2   450.0   521.8   620.9   739.9  1867.0  4075.6  7917.4 170157.0   170548
read      319.7   238.9    63.8   122.7   141.0   265.4   337.5   388.4   430.9   487.2   561.2   668.8   913.8  3104.8  6171.9 150504.0   150565
read      241.2   160.2    59.1   109.2   121.5   209.8   260.8   289.9   311.2   337.2   372.5   439.3   811.9  1807.2  3788.8 137255.0   137144
read      260.9   176.8    63.8   112.1   125.9   224.5   280.8   313.6   338.7   371.0   419.0   503.3   856.3  2093.4  3159.3 143477.0   143496
read      278.5   204.8    63.8   114.1   128.9   235.3   296.1   333.0   362.6   401.6   458.9   551.3  1025.7  2347.1  4353.7 144961.2   144743
read      216.9   116.8    63.8   102.2   112.9   191.4   240.0   268.7   289.0   312.5   342.6   393.3   615.0  1095.3  2748.8 116560.2   116745
read      225.8   133.1    68.9   105.7   117.2   197.8   246.6   274.5   294.6   318.3   349.4   403.2   725.9  1475.3  2444.0 129227.0   129314
read      265.6   181.0    63.8   112.7   126.9   227.7   285.6   319.1   345.6   380.7   431.9   525.1   865.6  1909.0  4478.9 144720.4   144723
read      216.6   115.5    63.8   102.9   113.5   191.6   240.6   269.4   289.4   312.8   342.4   390.3   582.4  1076.7  2624.9 117613.0   117379
read      221.7   128.0    63.8   103.5   114.3   193.9   243.4   272.5   293.3   317.4   348.6   401.1   649.8  1484.1  2845.3 119990.2   119931
read      230.9   161.5    63.8   107.1   118.6   200.8   250.4   279.0   299.6   323.9   357.6   415.9   760.6  1530.5  5130.7 131927.4   132052
read      257.8   167.7    63.8   111.9   125.4   222.0   278.0   311.0   335.9   367.7   414.0   501.1   843.2  1844.0  3376.4 143221.6   143350
read      266.4   200.1    68.9   112.2   126.2   227.0   284.5   317.8   343.9   378.1   429.5   520.6   847.2  2535.8  4580.6 143362.2   143518
read      343.7   269.9    68.9   138.5   160.9   292.5   352.7   394.4   433.3   502.0   602.6   705.5   896.9  4253.9  7450.1 173123.6   172981
read      490.6   641.8    63.8   120.9   143.5   274.7   355.0   421.0   487.7   732.7  1346.7  1678.1  3274.1  7061.7  8088.2  94034.4    94027
read      371.4   294.0    68.9   152.8   178.5   305.2   366.1   411.8   457.8   533.8   633.3   743.9  1587.5  3444.2  7455.7 169807.8   170019
