Timestamp start: 1747181360810
Timestamp end: 1747182201057

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      210.3   234.2    74.4   112.1   123.8   186.7   208.3   220.2   229.4   240.6   257.9   295.4   904.2  3543.4  7935.1   8060.8     8195
read      277.9   398.7    63.8   115.1   129.8   218.5   266.3   293.9   314.9   340.3   374.6   442.8  2167.5  5280.1  8768.8 158479.8   158594
read      210.4   154.9    63.8   105.5   116.4   184.2   223.3   247.6   266.1   288.4   317.0   363.9   672.8  1564.1  3636.1 149753.2   149766
read      195.5    99.5    68.9   109.1   121.0   187.9   211.2   224.1   233.3   246.0   262.8   291.9   471.8  1016.3  2163.6  10444.2    10382
read      280.4   294.2    63.8   122.6   139.6   233.1   277.6   304.3   324.2   350.1   387.4   458.7  1535.4  3478.9  7822.7 170314.0   170548
read      212.9   131.6    68.9   107.1   118.3   186.8   225.8   249.9   268.4   290.6   318.7   365.4   690.7  1696.9  2365.3 150521.4   150565
read      207.5   123.5    63.8   102.9   113.3   180.5   221.3   246.9   266.7   290.1   319.4   367.6   676.2  1422.2  2357.2 137157.4   137144
read      212.5   203.8    63.8   105.1   116.0   184.8   225.5   250.3   269.4   292.2   320.7   367.6   619.5  1561.4 11582.7 143432.0   143496
read      216.5   171.6    63.8   106.3   117.4   187.2   228.0   253.0   272.2   295.3   324.7   372.9   712.8  2246.4  5317.2 144829.0   144743
read      202.5    97.8    59.1    98.9   108.5   177.4   223.0   251.4   272.3   296.4   326.3   372.7   520.8   897.5  1360.0 116810.2   116745
read      206.7   146.3    63.8   100.8   110.8   178.7   221.9   248.9   269.2   293.1   323.4   372.0   621.5  1441.2  3167.0 129430.4   129314
read      213.0   141.5    63.8   104.4   115.3   184.8   225.6   251.0   270.4   293.5   322.8   371.5   719.3  1779.6  3268.2 144657.0   144723
read      204.1   106.2    63.8    99.2   109.0   177.7   223.3   251.9   273.2   298.1   329.2   376.0   552.3   952.5  1861.7 117645.6   117379
read      203.4   119.8    63.8    99.2   109.1   177.2   221.5   249.5   270.6   295.2   326.2   372.8   539.7  1053.2  2492.3 120061.6   119931
read      208.2   128.3    63.8   102.0   112.1   180.6   222.8   249.5   269.7   293.7   324.3   372.7   639.0  1522.8  3472.6 132239.8   132052
read      210.6   129.2    63.8   104.4   115.1   183.5   223.8   248.7   267.8   290.8   319.9   368.7   709.4  1568.9  2272.9 143264.6   143350
read      212.8   149.1    63.8   103.8   114.6   183.8   224.2   249.2   268.5   291.4   320.7   370.5   768.1  1738.7  3470.3 143465.4   143518
read      240.4   174.0    68.9   117.8   132.2   214.0   255.3   280.2   298.6   320.9   352.1   403.5   696.8  2264.5  4839.8 172544.6   172981
read      325.7   430.9    63.8   104.2   116.9   220.6   291.3   343.2   389.9   454.1   548.0   799.0  2126.8  4490.2 11524.7  94053.4    94027
read      252.9   226.9    63.8   118.4   133.3   221.4   267.3   294.0   314.2   338.6   370.6   423.9   617.9  3329.2  7678.4 170069.0   170019
read      265.9   184.9    63.8   123.6   140.0   237.1   291.5   322.4   344.8   371.7   404.9   460.0   614.6  2338.8  6097.6 179265.4   179090
read      252.5   151.4    63.8    98.6   109.8   231.4   286.4   317.1   339.4   365.0   396.6   451.6   855.1  1508.8  2034.3  47049.4    47130
read      222.2   107.7    68.9   104.6   117.4   214.5   247.1   265.0   277.3   292.9   313.2   346.1   587.7  1303.2  1899.3  19467.8    19439
read      277.0   352.2    63.8   104.3   116.2   203.3   256.9   288.4   311.2   338.9   378.2   497.0  1764.2  3496.3  7747.3 128789.4   128963
read      238.7   242.7    68.9   106.5   119.5   223.2   261.3   282.1   296.6   314.4   337.5   375.4   607.7  1854.5 11254.7  23854.2    23787
read      287.9   296.5    63.8   100.7   111.9   233.4   300.6   338.3   365.8   397.4   439.8   535.1  1665.3  3326.7  7659.5  61738.8    61848
read      267.3   363.2    63.8    99.8   110.5   195.6   249.5   280.8   303.6   332.2   372.9   512.7  1803.1  4448.0  7955.0 102085.4   101968
read      208.0   131.1    63.8    98.7   108.5   179.8   228.1   257.8   279.3   303.5   333.3   379.5   580.6  1280.0  2549.0 108708.6   108767
read      266.9   325.7    63.8   100.8   111.7   199.7   257.3   292.0   318.0   352.3   408.8   568.9  1531.4  4451.0  7653.7  97015.4    97139
read      257.4   241.8    68.9   115.5   129.9   214.7   260.5   288.5   309.5   335.2   370.4   436.1  1433.9  3287.2  5038.2 158519.0   158594
read      213.9   194.4    63.8   104.5   115.4   185.8   227.3   252.9   272.4   295.4   324.8   370.8   611.9  1781.6  7122.6 141410.2   141240
read      222.9   127.9    63.8   101.7   113.0   214.6   253.3   273.7   289.1   307.1   330.5   370.2   503.5  1229.3  5745.9  41475.6    41405
read      243.5   181.0    63.8    98.8   109.5   218.0   270.6   299.4   320.9   347.9   384.9   445.9   818.9  2231.1  5129.9  57991.6    57997
read      251.5   330.0    63.8   104.9   116.4   196.5   245.7   274.9   296.0   320.3   352.6   407.6  1590.8  3557.8  8065.4 133458.8   133577
read      262.1   228.4    63.8    99.1   109.9   228.4   285.7   317.9   342.3   371.2   408.1   474.4  1084.1  3100.4  6359.0  53707.6    53832
read      252.0   277.2    63.8   107.0   118.9   200.4   249.0   277.7   299.1   324.8   360.4   427.4  1530.8  3246.6  7833.8 139481.8   139832
read      244.8   177.1    63.8   119.7   134.6   218.8   262.9   288.8   308.2   331.9   363.6   415.7   605.7  1968.8  5197.0 170369.6   170515
read      207.6   133.7    63.8   101.2   111.2   180.2   223.8   251.1   271.4   294.9   324.2   368.8   523.5  1652.6  3174.7 128476.0   128494
read      223.0   100.1    68.9   105.3   117.8   215.9   250.2   268.8   282.2   297.1   318.3   355.2   504.1  1267.6  1985.2  20841.0    20789
read      270.8   223.2    63.8    99.0   110.0   232.9   302.7   341.3   368.8   399.8   439.5   509.5  1115.9  2025.4  7996.0  63699.2    63647
read      271.4   205.7    63.8    98.5   109.6   231.8   303.4   342.9   371.0   402.2   442.7   511.9  1168.2  2145.4  3613.2  64736.0    64802
read      269.2   196.2    63.8    99.0   110.1   236.8   302.4   338.3   364.0   392.6   428.1   495.6  1080.7  2088.9  4127.0  55575.4    55719
read      271.2   226.6    63.8   126.2   142.6   237.9   285.2   312.4   333.0   358.5   393.0   453.3  1143.6  3298.5  7080.2 174144.0   174179
read      208.6   123.4    63.8    98.4   108.1   180.6   229.4   259.0   280.3   305.0   335.2   381.8   528.3  1503.7  2722.2 106194.4   106356
read      263.0   163.7    68.9   126.4   142.7   236.2   285.7   314.2   335.6   361.1   394.3   448.1   637.7  2007.8  4996.0 178504.4   178750
read      210.9   123.3    63.8    98.7   108.5   183.2   231.7   261.1   282.5   307.5   338.3   386.8   546.8  1546.7  2453.3 105680.4   105831
read      208.1   128.7    63.8    98.6   108.4   179.7   227.2   256.7   278.3   302.8   333.2   378.4   531.0  1638.7  2907.9 110741.0   110667
read      200.9   297.5    74.4   110.4   121.6   184.6   208.6   220.9   230.2   241.4   256.5   285.6   475.0  3833.5 11176.7   8831.6     8803
read      260.5   167.8    68.9   100.4   112.3   236.8   295.8   328.0   350.1   375.0   406.3   461.5   890.5  1690.5  3135.1  45622.4    45662
read      246.0   121.4    68.9   104.3   117.3   234.8   282.1   306.4   322.8   342.8   368.3   407.9   611.3  1364.8  2141.3  30869.2    30867
read      263.8   167.0    63.8   100.6   112.6   239.6   299.5   331.8   354.2   379.7   410.8   466.7   935.1  1770.6  2574.7  45565.8    45656
read      266.4   315.5    63.8   101.0   111.7   199.1   254.6   288.0   312.9   343.9   392.1   581.1  1535.5  3910.1  7969.9 100880.0   100938
read      213.6   142.2    63.8   102.9   113.3   183.9   227.2   254.4   275.0   299.6   331.0   379.3   660.3  1761.7  2872.8 132296.4   132360
read      259.9   183.3    63.8    98.6   109.5   225.9   291.8   328.2   354.7   385.1   423.2   491.1  1028.6  1957.7  3109.4  67389.6    67591
read      243.0   148.7    68.9   102.0   114.7   230.4   277.0   301.5   317.9   337.6   362.5   401.1   625.7  1471.1  4733.9  34073.6    33910
read      268.1   204.2    63.8   101.2   112.5   218.5   295.5   341.5   372.4   405.9   450.8   527.6  1152.6  2188.3  3357.8  85652.2    85729
read      199.8    88.8    68.9   107.4   120.7   194.7   220.1   233.3   243.6   254.8   271.1   296.8   396.7  1045.1  3018.4  12930.4    12884
read      248.0   136.3    63.8    99.4   111.0   231.3   287.3   316.9   337.1   359.7   387.5   429.7   671.1  1468.3  2278.5  45681.2    45621
read      241.9   121.8    68.9   102.3   114.7   230.1   280.1   305.6   322.7   342.3   367.1   404.2   570.0  1381.7  1817.7  36885.8    36938
read      258.0   160.9    63.8    99.9   111.2   233.5   295.3   329.2   352.6   379.2   411.4   463.5   873.2  1674.0  2820.5  56869.6    56902
read      234.1   206.3    63.8    99.1   109.4   190.2   243.0   275.7   300.2   330.2   371.4   459.1   991.2  2524.6  6565.2 102347.0   102243
read      203.7    88.8    68.9   107.9   121.0   199.1   225.1   238.7   249.4   262.1   278.2   307.0   412.3  1065.4  1879.7  14089.4    14085
read      295.9   302.4    63.8   103.9   116.2   220.5   298.7   352.0   389.8   432.3   493.0   614.7  1662.8  3249.1  7588.0  93931.0    94103
read      257.1   167.1    63.8    99.1   110.3   231.6   294.4   328.1   351.5   377.6   409.3   462.4   895.0  1757.5  3173.8  58438.6    58175
read      255.8   264.5    63.8   110.6   123.3   206.4   253.7   281.1   301.0   324.9   358.5   425.6  1502.6  3355.8  6476.9 151205.6   151312
read      257.5   208.0    63.8    99.7   110.5   212.7   283.7   324.7   353.8   387.3   428.5   497.4  1039.8  2358.8  5666.8  83048.8    83333
read      254.7   278.4    63.8   118.5   133.0   216.0   259.5   284.8   303.3   324.9   354.6   403.2  1057.3  3477.1  7649.9 165309.6   165153
read      204.8   117.2    63.8   100.1   110.0   178.0   222.1   249.6   270.2   293.9   322.9   368.2   553.5  1438.2  2011.9 124072.0   123975
read      232.7   112.1    63.8   104.0   116.9   224.3   265.3   287.0   302.2   319.3   342.2   377.6   516.0  1201.0  2354.3  28486.8    28449
read      205.1    73.0    74.4   107.9   121.1   201.8   229.3   243.7   253.9   267.1   283.8   312.3   397.0   761.6  1336.1  14975.6    14903
read      235.6   108.7    68.9   103.7   116.6   227.8   271.5   294.2   310.0   327.5   349.0   386.0   510.7  1170.4  2185.0  31090.4    31189
read      245.5   133.4    68.9   100.3   112.5   231.0   283.5   310.7   329.3   350.4   376.7   419.8   647.8  1466.9  2501.6  40804.4    40636
read      276.1   253.9    63.8   100.6   111.9   222.3   296.3   338.8   368.5   401.4   444.3   524.4  1433.0  2745.9  7324.3  80425.6    80574
read      252.3   215.0    68.9   121.3   136.6   221.4   263.1   287.2   304.9   326.0   355.3   404.0  1185.3  3277.1  5492.3 169108.4   168820
read      221.2   156.2    59.1   112.8   125.6   197.5   235.2   258.8   275.7   296.4   323.4   367.8   518.0  2334.9  4781.1 162631.6   162621
read      207.7   108.5    63.8    98.4   108.0   182.3   232.2   261.9   283.1   307.4   336.8   379.3   490.8  1210.6  1962.6 101614.8   101621
read      257.4   165.2    63.8    99.2   110.4   231.1   294.0   328.1   351.9   378.8   411.5   465.9   897.1  1766.7  2678.1  58678.2    58592
read      250.2   246.1    68.9   111.3   124.2   205.5   251.8   279.2   299.2   323.1   356.1   416.7  1460.6  3202.4  7165.4 153201.8   153042
read      206.4   121.6    63.8    98.9   108.6   179.6   227.2   255.8   276.4   301.0   331.0   374.3   502.9  1356.5  3641.2 112456.4   112238
read      219.3   149.3    63.8   111.9   124.2   195.2   233.3   257.1   274.5   295.8   323.1   367.2   518.8  2339.4  3448.4 160477.0   160265
read      251.3   150.3    63.8    98.9   110.0   228.9   288.7   320.9   343.7   370.0   402.0   454.5   806.9  1594.0  2491.4  57129.4    57109
read      271.1   207.0    63.8   102.2   113.7   218.7   296.9   346.0   378.6   413.9   460.4   539.6  1154.4  2146.8  2916.4  88534.6    88551
read      182.9    71.3    74.4   107.4   118.5   175.6   199.0   211.1   219.1   229.9   243.9   268.8   362.1   846.7  1876.0   8428.6     8385
read      240.2   113.1    63.8   103.5   116.3   230.1   277.0   302.0   318.5   337.7   361.6   398.3   558.7  1211.0  1726.7  33920.0    34088
read      261.1   308.8    63.8   101.1   111.9   195.0   246.9   276.3   297.8   324.5   364.2   487.7  1643.0  3388.0  7518.7 114017.8   113600
read      208.7   138.0    63.8   103.1   113.5   181.5   223.9   250.7   270.7   294.4   323.9   369.1   542.3  1659.2  2880.7 132237.2   131842
read      205.6   117.0    59.1    99.0   108.7   178.8   226.3   255.2   276.0   300.2   330.1   373.4   505.2  1311.5  2724.8 112182.4   112066
read      261.5   207.8    63.8    99.0   110.0   223.0   291.0   328.6   354.9   384.9   421.8   483.4  1125.4  2366.6  3428.7  72553.2    72585
read      248.2   272.0    63.8   105.7   117.1   195.6   244.0   273.0   294.1   318.9   353.1   423.6  1489.3  3424.1  7155.0 133414.4   133669
read      199.3    84.1    68.9   109.2   122.4   193.4   218.3   231.1   240.4   252.0   268.0   294.3   406.5  1143.7  2214.2  11835.4    11820
read      215.3   490.2    74.4   110.1   123.0   196.5   221.4   233.9   244.2   255.7   272.6   300.9   435.4  3338.2 21246.7  12672.0    12639
read      234.2   235.4    63.8   100.2   110.6   186.4   234.5   263.6   284.7   309.9   343.1   409.2  1377.1  2779.7  6251.2 118386.8   118548
read      216.2   122.6    63.8   112.4   125.0   195.6   232.4   254.9   272.0   292.7   318.9   362.1   499.3  1541.6  3003.5 165671.8   165754
read      256.6   195.7    63.8    99.8   110.9   210.8   280.0   322.4   352.7   387.0   429.4   504.2  1052.8  2182.5  3553.3  86832.2    86823
read      213.4    78.3    68.9   108.8   122.6   211.0   238.9   254.5   266.1   279.0   295.7   322.4   409.4   861.8  1465.5  16851.6    16898
read      250.3   267.6    63.8   103.5   114.7   195.3   244.3   272.6   293.6   318.6   353.7   433.0  1520.0  3069.7  7372.3 122792.6   123124
read      251.4   165.5    63.8    98.1   108.8   221.5   287.8   323.4   348.7   377.5   413.4   469.4   820.7  1731.6  3503.8  72316.6    72278
read      248.0   144.4    63.8    99.3   111.0   231.3   286.6   316.2   336.9   360.2   388.5   431.4   675.7  1556.7  3036.7  47753.6    47757
read      252.7   156.1    68.9    98.5   109.4   229.9   291.4   325.1   348.8   375.2   406.7   457.6   791.1  1646.0  3297.4  60419.8    60510
read      227.5   101.2    68.9   104.5   117.5   224.0   259.8   278.5   292.3   308.5   328.7   362.3   466.3  1060.2  3102.5  25249.2    25237
read      280.8   260.5    63.8   103.7   115.8   215.0   287.1   339.8   378.5   421.1   478.5   584.7  1371.3  2938.6  6984.9  97484.6    97783
read      215.9   183.6    63.8   100.0   110.1   181.6   228.3   256.6   276.9   300.9   331.5   380.1   730.5  2773.7  3805.6 119048.2   118966
read      211.5    85.4    68.9   108.2   121.9   208.8   236.2   251.4   262.7   275.2   292.9   320.0   411.4  1005.7  1382.4  16597.4    16631
read      205.4   302.0    68.9   108.3   121.4   193.6   218.3   231.2   240.6   252.0   268.1   293.7   392.7  1988.7 15087.7  11774.2    11743
read      247.8   266.0    63.8   101.6   112.2   191.7   241.4   270.9   292.5   318.0   354.3   434.3  1539.4  2813.7  7147.1 114854.4   115026
read      205.7   115.4    59.1   100.5   110.4   179.2   224.2   252.1   273.0   296.9   326.2   369.4   507.1  1449.9  2181.3 122358.2   122371
read      181.5   122.1    68.9   108.2   118.8   172.9   195.0   207.3   215.6   226.1   238.9   262.2   338.5   893.5  7703.3   7228.6     7198
read      226.7    95.2    68.9   105.0   118.0   222.5   259.1   277.3   291.0   307.1   327.4   361.3   467.1  1171.1  1626.6  24951.2    25022
read      245.0   236.9    59.1   112.6   126.2   205.9   248.9   274.1   293.1   316.0   346.3   403.6  1340.3  3258.9  6910.3 157310.6   157513
read      227.2   129.7    63.8   118.7   132.7   207.7   245.6   268.2   284.9   304.9   331.4   373.1   500.7  1732.0  3201.7 172120.0   171975
read      212.7   135.4    68.9   108.7   120.0   189.2   227.8   251.3   269.1   290.3   317.3   360.1   500.4  1829.7  3258.9 155100.4   154918
read      207.9   131.5    63.8   103.5   114.0   182.0   223.3   248.8   268.0   290.7   318.6   363.0   531.1  1681.9  2897.3 139443.8   139185
read      211.2   125.9    63.8   107.7   119.0   187.6   227.0   250.9   269.0   290.8   318.1   361.6   500.2  1661.3  3013.2 152632.4   152724
read      223.2   111.1    68.9   107.8   121.3   218.9   250.2   267.4   279.5   293.9   313.4   344.0   457.7  1446.7  2827.8  20928.8    20845
read      242.7   269.6    63.8   107.0   118.6   195.8   241.8   268.7   288.3   311.4   341.7   398.3  1448.4  3470.8  7192.4 140188.8   140348
read      261.9   215.8    63.8   101.3   112.5   213.3   282.3   325.4   356.2   391.0   434.0   510.3  1113.1  2450.5  4898.2  88740.4    88725
