Timestamp start: 1747054748637
Timestamp end: 1747055588954

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      229.2   215.2    80.4   131.2   149.8   202.3   222.1   233.0   242.3   253.6   273.4   335.2   937.5  3163.9  7866.5   8141.8     8195
read      273.7   365.8    68.9   113.5   127.6   218.9   262.6   286.3   303.8   325.3   357.9   433.2  1876.3  4496.0  8336.6 158723.4   158594
read      212.6   143.8    68.9   105.4   115.7   183.5   225.4   251.2   270.4   293.0   320.7   369.0   728.7  1719.0  3300.2 149689.2   149766
read      212.4    89.9    80.4   123.5   143.6   204.3   224.8   235.4   244.8   254.4   270.3   297.2   505.4  1096.0  2451.0  10415.8    10382
read      274.2   322.5    68.9   118.3   133.4   225.5   265.1   286.5   302.3   321.9   353.1   430.3  1598.3  3760.9  7919.5 170735.8   170548
read      208.1   129.8    63.8   104.6   114.6   180.6   221.4   247.3   266.8   289.5   317.4   363.4   655.7  1508.3  3371.6 150489.8   150565
read      205.7   117.7    68.9   102.1   111.4   177.6   221.4   249.3   269.6   292.8   320.6   367.4   646.1  1259.4  2430.9 137099.2   137144
read      206.9   118.1    68.9   103.5   113.2   179.5   221.5   248.3   268.1   291.0   318.9   365.3   672.2  1382.3  1927.7 143452.0   143496
read      212.5   142.3    68.9   104.4   114.3   182.4   225.2   251.9   271.5   294.6   323.6   373.0   721.4  1770.3  3390.0 144782.4   144743
read      206.8   116.3    63.8   100.3   109.4   179.2   229.9   260.1   280.7   303.4   331.6   376.4   562.5   904.5  2577.2 116894.2   116745
read      214.1   142.8    68.9   102.8   112.4   182.4   230.4   260.2   281.3   305.5   336.1   390.3   687.1  1369.1  5033.7 129026.4   129314
read      211.4   122.7    68.9   105.2   115.3   183.5   226.4   253.3   273.2   296.2   325.1   372.5   670.9  1437.9  2325.1 144480.8   144723
read      211.0   156.2    68.9   100.6   109.8   180.5   231.1   261.1   281.6   304.6   333.2   380.6   619.9  1322.2  5768.8 117572.2   117379
read      206.0   115.7    68.9   100.7   109.8   178.2   227.8   257.5   278.2   301.1   328.8   372.7   568.4   978.6  1885.7 120060.4   119931
read      210.2   127.3    68.9   102.6   112.1   180.7   226.9   255.2   275.5   299.1   328.0   375.4   682.8  1329.5  2351.4 132155.4   132052
read      212.1   127.4    68.9   105.3   115.5   184.0   226.9   253.5   273.3   295.9   324.4   370.6   687.7  1529.6  2701.7 143641.2   143350
read      220.3   156.0    68.9   106.3   116.8   188.4   232.6   260.2   280.4   304.3   335.5   392.1   783.6  1660.6  4580.2 143682.2   143518
read      231.2   147.7    68.9   117.6   131.2   206.3   244.4   267.3   284.3   305.2   333.9   386.3   723.2  2009.9  3339.4 173122.6   172981
read      292.7   315.2    68.9   105.5   116.8   221.2   289.0   334.0   369.7   414.0   473.9   597.6  1720.5  3562.6  7612.6  94096.6    94027
read      244.4   232.1    63.8   117.4   131.3   211.0   251.8   275.3   293.0   314.4   343.2   398.4   931.5  3418.1  7321.7 170141.0   170019
read      244.5   176.3    68.9   122.7   138.2   218.4   256.8   279.1   295.6   316.5   344.7   399.3   795.4  2418.3  4694.1 179077.8   179090
read      253.2   152.2    74.4   105.0   116.0   234.9   285.1   312.9   332.8   355.7   385.6   436.7   828.0  1581.4  2935.5  47100.4    47130
read      235.4   119.5    74.4   113.2   128.5   225.7   256.8   273.6   286.2   300.4   320.7   366.5   623.2  1337.8  3653.9  19326.0    19439
read      256.9   369.1    68.9   104.2   114.7   195.6   243.8   269.7   288.4   310.6   340.7   406.8  2401.5  4334.2  7923.4 128620.0   128963
read      239.1   201.1    74.4   111.8   125.0   221.8   253.6   271.7   285.0   300.0   320.5   359.6   771.6  3070.9  7127.0  23865.0    23787
read      271.1   233.3    68.9   103.8   114.1   230.6   289.0   322.7   347.9   377.6   419.0   506.2  1272.1  2542.9  7168.0  61792.6    61848
read      240.0   265.0    68.9   102.0   111.5   192.0   246.3   275.3   295.5   319.3   354.3   437.8  1260.8  4073.8  7536.3 101994.6   101968
read      210.2   111.9    68.9   100.6   109.6   181.4   234.8   265.0   285.4   307.9   335.7   383.8   589.8  1101.2  1719.6 108719.4   108767
read      270.8   311.9    68.9   103.6   113.9   206.8   267.4   303.0   332.0   371.1   431.3   538.0  1522.0  3805.9  7805.7  96973.4    97139
read      226.9   171.4    68.9   110.9   122.4   195.8   236.8   262.6   281.1   303.2   332.6   385.6   863.1  2169.3  4000.2 158686.6   158594
read      213.1   148.6    68.9   104.8   114.9   183.7   227.4   254.4   274.5   297.3   325.6   371.1   671.6  1786.4  4762.1 141606.6   141240
read      219.2   118.1    68.9   105.8   115.9   215.5   247.5   263.6   274.4   289.5   309.9   346.7   509.0  1347.7  4793.1  41450.4    41405
read      232.1   156.9    68.9   102.6   112.1   217.3   262.2   284.7   300.8   320.3   349.4   403.8   658.1  1763.5  5668.7  57829.6    57997
read      246.0   264.6    68.9   103.5   113.9   192.4   242.2   269.3   288.2   310.6   341.4   417.6  1487.3  3077.8  7229.7 133455.0   133577
read      246.9   184.9    74.4   102.6   112.5   223.5   271.0   297.3   317.1   341.9   374.1   435.8   944.6  2242.6  5395.3  53618.4    53832
read      239.2   255.9    68.9   105.0   115.5   191.9   240.2   267.6   286.6   308.7   337.6   394.2  1441.4  3334.1  7402.1 140014.0   139832
read      227.5   170.6    68.9   114.2   127.4   201.5   241.1   264.8   281.9   302.2   329.0   373.3   649.3  2266.2  4697.5 170754.4   170515
read      206.2   121.6    68.9   101.6   110.9   178.4   225.4   253.9   274.2   296.5   323.2   365.6   552.6  1478.2  2371.2 128384.2   128494
read      226.2   105.6    74.4   112.2   125.7   219.5   249.9   266.8   278.5   292.5   311.4   342.6   522.7  1280.3  2676.3  20768.6    20789
read      259.4   205.6    68.9   102.3   112.1   226.2   284.1   316.4   340.9   370.3   408.6   478.4  1094.1  2378.0  4527.7  63552.2    63647
read      268.9   236.5    68.9   102.6   112.8   230.6   292.7   328.0   353.1   382.2   420.9   493.2  1231.7  2612.3  7349.2  64690.6    64802
read      259.0   181.6    68.9   103.1   113.4   233.5   290.0   321.5   344.0   369.5   401.9   462.6   923.9  2010.9  4753.6  55789.6    55719
