Timestamp start: 1747053867526
Timestamp end: 1747054707852

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      211.6   200.9    80.4   127.8   141.7   185.6   203.4   214.7   223.1   233.3   250.2   291.9   904.2  2798.4  7525.6   8153.0     8195
read      270.9   452.5    68.9   111.7   124.5   209.4   250.9   272.8   289.3   309.3   337.6   398.5  2651.2  6466.0 12024.4 158265.2   158594
read      206.4   128.6    68.9   104.5   114.4   178.5   216.9   241.5   260.8   283.7   313.3   364.6   685.7  1508.6  2705.4 149594.4   149766
read      198.9    86.7    80.4   123.1   138.6   186.8   206.5   217.9   227.2   237.2   253.9   290.4   512.6  1062.7  2005.0  10421.4    10382
read      263.2   296.9    68.9   116.6   130.7   215.1   255.4   277.9   294.8   316.3   347.7   429.2  1498.9  3571.0  7823.9 170435.0   170548
read      206.7   124.9    68.9   105.1   115.2   179.2   217.5   241.8   260.7   283.1   312.6   364.0   687.1  1478.1  2224.7 150644.2   150565
read      208.1   131.6    68.9   103.1   112.7   177.8   218.7   245.5   265.7   289.5   319.9   378.8   702.8  1376.7  2751.5 137168.4   137144
read      206.8   130.6    68.9   104.4   114.3   178.5   218.1   243.5   263.3   286.5   316.5   370.2   671.9  1347.9  3177.9 143237.8   143496
read      214.0   141.4    63.8   106.0   116.2   182.6   222.9   248.9   268.8   292.7   324.6   387.4   767.6  1559.2  3077.4 144536.4   144743
read      200.5   101.6    68.9   100.8   109.6   174.3   219.5   247.8   267.7   289.9   317.3   364.2   541.9   879.8  2274.0 116680.2   116745
read      202.4   119.1    63.8   102.0   111.2   175.1   217.0   244.0   264.1   286.8   314.9   362.6   594.1  1302.7  3270.2 128947.0   129314
read      203.9   117.8    63.8   104.3   114.0   177.4   216.0   240.7   259.8   282.2   311.2   359.6   651.1  1320.3  2505.2 144845.2   144723
read      202.2   109.0    68.9   100.4   109.5   175.3   220.6   248.9   268.8   291.4   318.9   366.5   569.0  1068.1  1931.9 117293.8   117379
read      198.3   105.9    63.8   100.2   109.1   172.3   216.1   243.7   263.7   285.9   312.8   356.0   542.7   923.3  3530.4 120012.4   119931
read      203.0   129.7    68.9   102.1   111.3   175.2   216.6   243.2   263.1   286.0   314.6   363.2   614.3  1329.6  3444.8 132132.4   132052
read      201.1   116.8    63.8   103.1   112.4   174.4   213.3   238.0   257.8   280.3   308.8   355.2   631.1  1320.3  2623.5 143572.6   143350
read      203.1   130.2    63.8   102.9   112.4   175.0   213.8   238.3   257.6   279.9   308.6   355.6   691.4  1573.3  2877.2 143634.0   143518
read      215.2   166.5    68.9   111.2   122.7   189.9   226.1   247.8   264.2   283.7   309.8   352.7   585.6  2337.5  4644.0 172781.0   172981
read      272.3   324.1    68.9   102.6   112.5   199.9   262.5   304.4   338.4   380.5   434.1   531.1  1835.6  3711.8  7827.2  94297.8    94027
read      224.7   191.7    68.9   110.8   122.3   192.6   231.1   254.1   271.2   291.5   318.1   367.1  1119.4  2695.2  4525.5 170138.4   170019
read      222.6   178.2    68.9   114.4   127.3   197.0   232.4   253.6   269.7   289.1   314.9   360.3   624.8  2766.6  4290.1 179071.4   179090
read      236.9   143.9    74.4   103.7   113.9   216.8   263.5   290.1   309.1   330.7   358.9   408.9   778.1  1519.8  2134.8  47189.2    47130
read      215.8   109.9    68.9   111.4   125.9   204.6   233.9   249.9   261.0   273.0   290.9   320.5   604.5  1280.8  2389.6  19415.8    19439
read      249.2   322.4    68.9   102.5   112.4   186.3   233.3   260.4   279.2   302.1   335.0   431.0  1560.7  3972.4  7753.2 128658.4   128963
read      222.6   173.2    74.4   110.5   123.3   208.2   240.8   258.5   270.4   284.8   303.1   337.1   630.2  1402.3  7169.8  23878.4    23787
read      256.1   203.8    74.4   103.2   113.0   218.1   275.9   310.1   333.9   361.4   398.6   470.0  1141.2  2281.8  5992.5  61874.4    61848
read      228.7   214.7    68.9   101.3   110.4   184.6   235.8   265.9   287.0   312.8   350.0   436.5  1049.0  2924.3  5737.2 101964.2   101968
read      212.6   125.9    68.9   101.4   110.6   181.1   230.5   260.2   280.9   305.3   338.8   409.1   629.1  1324.2  2320.0 108669.8   108767
read      252.0   306.7    68.9   102.3   111.9   191.9   246.5   278.6   302.9   335.0   387.0   489.5  1414.1  4215.3  7852.1  97143.4    97139
read      229.8   218.6    63.8   108.6   119.5   190.2   231.0   255.3   272.9   294.1   321.6   376.1  1338.8  3026.2  4569.0 158582.0   158594
read      211.1   143.0    68.9   104.6   114.6   181.5   222.6   248.1   267.4   290.1   319.0   371.7   725.4  1703.6  3251.3 141112.6   141240
read      213.2   146.4    68.9   105.1   115.3   204.8   235.8   252.0   263.8   276.6   295.8   333.2   499.4  1587.9  5390.4  41424.6    41405
read      237.2   196.0    68.9   102.9   112.4   210.5   257.7   283.7   303.4   328.2   362.6   424.6   844.5  2223.0  7537.6  57872.2    57997
