Timestamp start: 1747055629297
Timestamp end: 1747056469646

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      229.8   253.2    86.8   130.6   145.1   192.8   216.8   231.8   243.6   258.6   285.0   371.4  1003.9  3681.3  8012.8   8190.6     8195
read      271.0   362.9    68.9   113.5   127.3   212.9   254.1   278.6   297.6   323.2   363.9   468.0  1891.8  4535.7  8103.1 158472.2   158594
read      215.6   143.8    68.9   105.4   115.7   182.8   226.0   253.6   274.4   300.4   335.0   399.9   743.0  1425.3  2936.0 149728.6   149766
read      206.8   106.4    80.4   124.5   139.8   190.0   214.4   228.9   239.5   253.1   273.3   318.9   538.8  1150.7  3213.9  10456.8    10382
read      279.2   301.0    68.9   119.8   135.4   225.9   267.5   292.5   312.8   339.9   385.0   519.4  1528.5  3645.9  7715.4 170014.2   170548
read      221.7   154.1    68.9   107.1   117.8   188.5   233.5   262.2   283.6   309.8   344.1   409.5   742.7  1578.7  2700.1 150372.4   150565
read      210.8   152.8    68.9   102.7   112.2   177.5   222.3   251.4   272.9   298.0   330.5   386.3   677.5  1483.4  6090.3 137179.0   137144
read      209.4   135.4    63.8   103.6   113.6   178.6   221.5   249.6   270.6   295.6   327.9   382.1   674.9  1318.7  3884.5 143373.2   143496
read      212.9   132.8    68.9   104.4   114.5   181.4   225.4   253.7   274.6   300.2   333.4   390.7   694.4  1433.3  2676.8 144628.2   144743
read      204.5   110.7    68.9   100.1   109.1   175.0   224.8   256.6   278.2   302.7   332.6   379.9   534.2   980.0  2013.2 116703.8   116745
read      210.2   116.7    68.9   102.5   112.0   178.4   225.9   256.9   279.3   305.8   339.2   397.5   631.6  1048.5  2111.3 129303.4   129314
read      213.4   137.2    68.9   104.6   114.6   180.7   224.7   253.1   274.2   300.3   334.1   395.7   721.7  1360.3  2962.6 144626.6   144723
read      209.1   123.8    68.9   101.3   110.4   177.5   227.6   259.4   281.4   306.4   337.5   390.9   595.1  1097.1  2822.8 117463.0   117379
read      204.3   110.4    68.9   100.6   109.7   174.4   223.0   254.4   275.7   300.6   330.8   377.9   551.2  1126.3  1853.6 119872.8   119931
read      212.6   129.4    68.9   102.9   112.6   179.7   226.6   256.6   278.4   304.7   338.4   397.5   671.6  1384.4  2782.9 132181.0   132052
read      211.0   131.1    68.9   103.8   113.8   179.9   223.9   252.0   272.8   297.6   329.8   382.8   668.7  1512.9  2827.9 143185.8   143350
read      213.3   148.8    68.9   104.1   114.0   180.1   223.9   251.9   272.7   297.7   330.2   384.9   740.3  1758.5  3892.4 143451.4   143518
read      222.7   148.1    68.9   112.4   124.5   195.3   234.7   259.6   277.7   300.3   331.0   385.0   661.0  1864.3  3255.2 173005.2   172981
read      296.0   371.3    68.9   104.9   115.9   212.3   280.5   325.8   361.3   403.8   465.2   611.3  1964.8  4625.0  7846.2  93758.8    94027
read      241.2   206.8    68.9   114.0   127.2   205.1   247.5   272.4   291.6   315.0   347.1   413.8  1151.2  2706.2  6310.5 170181.8   170019
read      239.7   154.8    68.9   118.7   132.7   210.6   251.0   275.4   294.9   318.9   355.0   425.0   791.2  1855.6  3778.6 178630.0   179090
read      260.5   182.1    68.9   106.1   117.4   229.6   286.8   317.9   339.6   364.8   398.7   482.2   989.0  1841.3  4012.3  47145.2    47130
read      233.1   129.0    74.4   114.7   130.1   216.8   253.4   271.7   285.8   302.8   327.1   377.3   697.2  1374.0  3394.4  19448.4    19439
read      263.2   391.6    68.9   105.7   116.3   195.1   244.7   271.4   291.1   315.4   350.2   435.8  2538.2  5013.9  7956.5 128939.6   128963
read      241.3   205.1    74.4   113.2   127.2   217.8   257.8   277.3   292.1   309.9   334.4   388.4   815.6  3019.2  7330.7  23890.4    23787
read      275.2   221.5    63.8   104.8   115.3   230.3   299.3   336.9   362.4   392.1   433.2   542.8  1232.8  2228.1  6007.7  61684.8    61848
read      238.6   223.7    68.9   102.9   112.7   190.3   248.9   281.8   305.7   334.7   376.3   465.9  1002.7  2777.7  7207.6 101904.4   101968
read      219.5   147.7    68.9   102.0   111.3   181.7   235.3   268.2   291.0   317.2   352.5   423.3   717.1  1659.2  3557.5 108998.8   108767
read      276.1   288.0    68.9   106.3   117.3   210.0   277.1   320.1   354.2   395.9   451.3   548.5  1492.2  3770.8  7402.9  97078.8    97139
read      242.9   229.3    68.9   112.8   125.4   202.4   246.3   271.6   290.7   314.2   345.9   414.1  1271.0  3198.5  6407.9 158891.0   158594
read      219.4   170.7    68.9   106.3   116.5   184.6   229.5   257.7   278.0   302.9   334.9   388.9   767.2  2378.4  5250.1 141511.0   141240
read      216.7   112.6    68.9   106.5   117.0   206.8   245.5   263.9   276.0   291.8   313.1   349.5   493.1  1150.4  4809.6  41451.0    41405
read      243.7   162.9    68.9   102.8   112.7   215.9   271.4   300.9   322.3   348.4   383.0   439.6   898.2  1798.0  2860.4  57936.4    57997
read      242.2   257.4    68.9   105.1   115.4   189.6   238.8   267.0   287.2   311.6   344.8   422.3  1448.8  3236.8  7003.4 133637.4   133577
read      253.2   202.5    68.9   104.0   114.3   221.1   276.5   307.7   330.3   356.8   391.3   454.2  1011.1  2292.2  5709.2  53869.0    53832
read      245.2   253.3    68.9   107.7   118.6   195.4   243.6   271.2   291.7   316.7   351.7   431.6  1421.7  3241.2  7217.5 139984.6   139832
read      228.9   166.9    68.9   114.8   127.7   200.5   240.8   265.1   282.9   304.8   334.3   386.8   706.1  2199.5  3647.8 170642.2   170515
read      211.6   146.6    68.9   103.1   112.6   180.0   226.6   256.5   277.6   302.2   332.4   379.3   614.8  1692.7  4364.5 128458.2   128494
read      234.4   130.9    74.4   114.4   129.5   217.6   256.7   275.5   290.1   307.3   330.5   374.2   689.4  1554.8  3313.2  20745.8    20789
read      265.0   185.0    68.9   104.2   114.5   227.9   295.3   332.5   358.6   388.5   427.9   507.7  1039.1  1800.7  4259.1  63582.6    63647
read      273.0   217.9    68.9   104.4   115.0   231.1   301.0   339.5   365.9   395.4   434.2   518.6  1142.9  2403.6  5765.6  64895.8    64802
read      267.9   180.2    68.9   105.5   116.5   235.1   300.2   334.7   358.3   385.7   423.2   501.5  1010.0  1823.5  3197.8  55722.4    55719
read      270.1   267.4    68.9   123.7   139.5   229.7   272.0   295.8   314.3   337.7   371.6   448.5  1360.7  3510.5  7413.0 173690.2   174179
read      216.5   141.2    68.9   102.2   111.5   183.1   236.5   268.7   290.2   314.3   344.0   395.0   637.2  1644.1  3471.3 106111.0   106356
read      250.2   180.3    68.9   126.5   141.6   222.8   262.6   286.2   304.1   326.2   358.5   420.2   750.9  2386.4  5258.2 179113.0   178750
read      219.5   138.8    68.9   102.8   112.4   185.3   239.5   271.4   293.0   317.2   347.2   400.6   703.3  1580.5  2194.2 105695.2   105831
read      211.8   130.5    68.9   102.2   111.4   179.9   230.4   262.5   284.2   308.7   338.2   385.8   600.3  1512.4  2693.0 110546.6   110667
read      212.2   121.8    80.4   131.4   145.3   193.3   216.9   231.9   243.6   257.8   279.0   322.4   601.0  1361.1  3987.6   8784.0     8803
read      254.2   163.3    74.4   106.6   117.9   228.4   282.9   312.5   333.4   357.5   388.5   447.7   904.4  1748.0  3107.1  45675.2    45662
read      246.6   210.6    68.9   110.1   123.2   229.5   276.2   299.2   314.8   332.8   355.6   396.1   668.3  1591.8  9223.4  30899.6    30867
read      257.4   180.4    68.9   105.6   116.8   229.1   287.1   317.7   338.3   361.8   392.5   455.7   964.4  1848.0  5062.2  45760.4    45656
read      229.8   192.0    68.9   102.2   111.6   186.6   243.8   276.1   298.7   325.7   362.7   437.6   860.7  2617.3  4029.5 100683.8   100938
read      209.6   135.8    68.9   103.3   112.9   178.6   223.2   252.7   273.8   298.3   328.8   375.0   617.0  1658.6  2948.7 132287.6   132360
read      248.6   184.1    68.9   101.2   111.0   213.3   275.6   308.9   332.5   359.8   394.7   458.4   991.9  2059.3  3352.5  67348.2    67591
read      232.5   135.8    74.4   106.9   118.6   216.8   265.0   286.7   301.0   317.2   338.5   372.4   635.1  1495.3  4338.8  33798.4    33910
read      258.0   214.9    63.8   102.5   112.4   209.0   283.1   325.3   353.4   383.7   421.6   489.9  1088.6  2489.5  5767.9  85312.0    85729
