#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      193.3    95.0    74.4   117.1   127.3   182.2   209.7   225.2   235.9   249.8   267.1   293.2   359.0  1110.0  3665.9  29965.9    30000  1745576777163  1745576787339
read      198.3    94.3    74.4   115.3   126.1   187.4   217.7   233.3   245.0   258.2   274.6   302.6   380.1  1149.7  3212.2  30090.3    30005  1745576788850  1745576798983
read      196.8    87.0    74.4   116.3   127.4   188.0   215.3   230.1   240.9   254.0   271.8   300.0   367.3   740.5  3438.9  30003.3    30010  1745576800496  1745576810599
read      196.8    89.5    74.4   115.0   125.9   187.4   215.9   231.0   242.0   254.9   273.1   303.9   375.5   757.6  2631.7  30036.9    30015  1745576812110  1745576822213
read      200.8    93.3    80.4   119.8   130.7   190.9   218.7   233.5   244.7   257.3   274.1   303.6   380.7  1138.1  3151.2  30029.8    30020  1745576823725  1745576833832
read      195.0    80.0    74.4   115.9   127.1   186.9   213.3   227.4   236.8   249.5   265.9   292.7   369.0   738.7  2810.9  30022.0    30025  1745576835344  1745576845448
read      197.4    86.2    74.4   117.5   128.2   189.3   216.6   231.1   241.6   253.8   270.3   295.5   363.7   840.1  2724.2  29967.0    30030  1745576846959  1745576857059
read      198.9    89.9    74.4   116.8   128.7   190.8   217.6   231.5   241.7   253.5   269.9   296.0   375.1  1061.2  3087.6  30037.3    30035  1745576858571  1745576868673
