#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      186.2    78.8    68.9   113.7   124.0   178.6   203.0   217.1   227.2   238.0   252.4   273.6   324.8   754.7  2675.8  29960.5    30000  1745575593081  1745575603273
read      188.9    72.1    74.4   115.3   126.1   182.5   207.6   221.0   230.6   241.8   255.4   276.3   326.6   555.4  2691.2  29945.8    30005  1745575604786  1745575614913
read      192.9    90.9    80.4   117.4   128.5   184.5   209.9   224.2   234.1   246.8   262.4   286.7   344.8   873.9  3981.6  29985.1    30010  1745575616426  1745575626529
read      190.4    83.6    80.4   115.9   126.7   181.8   207.7   222.3   232.3   244.6   259.9   283.6   341.6   742.1  3524.8  30046.3    30015  1745575628041  1745575638143
read      193.1    85.3    74.4   114.9   126.3   185.1   211.0   225.1   234.5   246.8   262.0   285.9   349.3  1183.9  2769.7  30108.9    30020  1745575639655  1745575649760
read      186.7    68.2    74.4   114.9   125.5   180.1   204.3   217.9   227.6   238.0   252.3   273.5   329.1   568.9  2293.9  30045.0    30025  1745575651273  1745575661374
read      187.5    92.9    80.4   114.2   124.5   179.9   204.8   218.6   228.5   239.2   253.3   274.3   327.1   814.6  3101.3  30014.9    30030  1745575662884  1745575672986
read      190.5    96.1    74.4   114.8   125.6   182.4   208.2   222.1   231.5   242.8   256.5   278.2   338.3  1051.5  4033.9  30000.4    30035  1745575674498  1745575684603
read      188.4    76.0    74.4   114.1   124.4   182.0   207.6   221.2   230.5   241.5   254.8   275.4   331.5   590.9  3261.2  29989.2    30040  1745575686116  1745575696216
