#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      226.4   311.5    63.8   101.9   111.6   181.0   216.3   236.2   253.1   273.6   303.7   367.0  1353.8  4689.8  6394.1  30134.3    30185  1745790240198  1745790250300
read      188.2   147.9    63.8   100.4   109.5   170.1   201.8   220.1   233.0   248.9   269.2   301.0   404.7  2353.1  5125.2  30181.8    30190  1745790251811  1745790261910
read      202.1   200.1    63.8   101.7   111.5   178.5   211.7   230.9   245.7   264.1   288.8   330.3   500.9  3367.8  6357.8  30164.6    30195  1745790263420  1745790273522
read      198.5   186.1    63.8   101.5   111.1   175.5   209.1   228.2   242.5   260.4   284.1   321.5   468.3  3211.3  6262.8  30237.1    30200  1745790275032  1745790285135
read      200.6   179.0    63.8   101.9   111.7   179.2   213.0   231.8   246.6   264.9   288.8   328.0   467.9  3117.7  6302.9  30211.7    30205  1745790286647  1745790296751
read      206.1   192.2    63.8   101.9   112.1   182.5   216.8   235.9   251.7   270.8   296.0   339.7   528.3  3272.8  6186.8  30203.9    30210  1745790298262  1745790308365
read      204.0   206.3    63.8   101.8   111.7   179.4   214.0   233.3   248.3   266.4   290.5   332.0   511.3  3417.4  6343.1  30199.8    30215  1745790309875  1745790319975
read      198.2   184.2    63.8   101.8   111.2   176.1   209.8   228.9   243.0   260.6   284.1   320.8   465.7  2725.8  6444.1  30244.1    30220  1745790321486  1745790331587
read      196.9   183.2    63.8   101.3   111.0   178.0   211.3   229.9   244.0   261.7   285.0   321.4   436.5  2356.4  5887.2  30226.7    30225  1745790333102  1745790343203
read      197.6   153.4    63.8   101.5   111.1   178.5   211.6   230.3   244.6   262.6   286.7   325.0   445.9  2566.2  4964.7  30189.7    30230  1745790344715  1745790354817
read      201.4   185.0    63.8   102.5   112.2   178.2   211.7   230.9   245.8   264.4   288.9   330.4   498.3  2721.7  6429.5  30315.8    30235  1745790356329  1745790366443
read      215.6   219.4    63.8   104.0   115.0   186.5   221.3   241.4   256.7   275.6   304.3   358.7   695.5  3428.4  6292.0  30260.5    30240  1745790367955  1745790378059
read      193.6    89.0    59.1   101.9   114.0   183.6   215.5   232.4   245.2   260.3   279.8   312.2   391.9   782.1  3049.5  30262.5    30245  1745790379572  1745790389672
Terminated
