#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      190.2   238.9    54.7    88.4    96.9   152.2   184.0   201.8   216.1   234.5   263.9   321.0  1094.4  2974.6  6274.0  29987.8    30000  1746028570802  1746028580933
read      161.8   110.5    59.1    89.0    96.7   143.9   171.6   187.3   199.8   215.4   235.2   270.2   390.5  1523.9  3886.2  29917.8    30005  1746028582443  1746028592556
read      164.4   132.9    54.7    88.5    96.4   144.6   172.1   189.9   203.0   218.3   236.5   269.8   406.0  2224.5  4522.0  29936.5    30010  1746028594066  1746028604165
read      163.5   107.1    54.7    88.0    96.2   145.5   176.7   196.4   209.6   223.6   240.1   269.2   368.8  1731.7  3277.6  29946.7    30015  1746028605675  1746028615772
read      167.4   103.5    59.1    88.9    97.1   147.7   181.9   202.7   216.4   230.9   249.3   280.1   390.0  1491.4  3315.5  29940.5    30020  1746028617281  1746028627376
read      162.3   109.4    59.1    88.2    96.1   143.7   174.7   194.2   207.1   221.1   237.4   268.4   366.3  1733.0  3167.5  30133.4    30025  1746028628887  1746028638985
read      162.7   116.8    54.7    87.7    95.7   144.8   175.1   194.2   207.2   221.4   238.3   269.4   364.3  1768.2  4893.8  29953.7    30030  1746028640494  1746028650592
read      160.9   101.9    54.7    87.5    95.7   144.8   174.3   192.1   204.1   217.4   233.4   260.4   357.9  1471.8  3250.9  30060.6    30035  1746028652102  1746028662201
read      161.2   109.1    59.1    87.9    95.6   142.9   174.7   193.9   206.3   219.9   235.5   264.9   358.8  1590.3  3544.8  30032.7    30040  1746028663712  1746028673808
read      160.8    92.8    59.1    87.9    95.6   143.8   175.6   195.0   207.8   221.6   238.1   267.5   353.5  1250.5  3145.4  30087.3    30045  1746028675318  1746028685413
read      164.3    97.5    54.7    88.4    97.1   146.9   179.2   199.2   212.5   226.7   243.8   272.0   359.0  1299.9  3061.5  29988.8    30050  1746028686923  1746028697021
read      160.8    99.7    54.7    86.2    94.2   144.0   174.9   193.1   205.4   219.0   235.3   266.5   373.7  1434.0  3043.6  30028.3    30055  1746028698531  1746028708627
read      169.5   120.2    54.7    89.3    97.5   150.0   184.8   204.5   217.6   231.8   250.0   280.5   383.9  1921.3  4253.8  30052.1    30060  1746028710138  1746028720234
read      170.3   102.6    59.1    90.2    98.7   152.2   185.4   205.3   219.0   234.1   253.6   288.2   392.6  1337.2  2973.2  29971.9    30065  1746028721745  1746028731844
read      181.8   104.2    54.7    89.6    99.4   167.7   206.5   225.8   238.3   253.1   272.0   304.1   396.4   987.6  3361.2  30003.4    30070  1746028733356  1746028743456
read      190.2    82.5    54.7    92.0   103.5   181.9   219.7   237.3   249.9   264.1   281.6   310.2   377.5   731.1  2131.1  30106.8    30075  1746028744967  1746028755066
read      190.8    89.1    54.7    93.3   104.7   183.1   219.6   236.6   248.7   262.4   279.2   308.4   375.6   713.3  3026.3  30159.8    30080  1746028756576  1746028766673
read      190.4   101.3    54.7    90.1   101.7   180.6   219.2   237.1   250.0   264.4   282.2   311.1   381.0   882.6  3337.7  30063.6    30085  1746028768185  1746028778281
read      190.0    90.7    54.7    91.2   102.8   181.2   218.7   236.3   249.1   263.5   281.3   310.2   383.2   707.1  3155.6  30199.0    30090  1746028779791  1746028789885
read      190.7    98.7    54.7    88.1    99.9   180.1   219.3   237.7   250.8   265.7   284.5   315.4   411.9   965.7  2918.0  30022.2    30095  1746028791395  1746028801493
read      190.0    89.4    54.7    92.1   103.7   181.4   218.5   236.0   248.7   262.9   280.4   309.8   382.8   738.9  2859.5  30206.7    30100  1746028803004  1746028813100
read      195.8    87.6    59.1    95.2   106.7   186.1   224.1   242.7   255.5   270.9   291.0   320.9   402.7   759.9  2796.9  30068.8    30105  1746028814610  1746028824706
read      191.4    90.1    59.1    92.7   103.9   182.6   219.3   237.2   249.9   264.3   282.4   312.5   396.0   736.5  3100.7  30137.7    30110  1746028826217  1746028836316
read      192.8    87.5    59.1    93.6   104.7   183.9   221.8   240.1   252.7   267.7   286.8   315.6   391.3   687.2  3061.6  30094.0    30115  1746028837826  1746028847923
read      190.0    86.9    54.7    93.0   104.2   181.4   216.9   233.9   246.3   260.3   277.3   308.3   395.9   848.5  2348.9  29979.8    30120  1746028849435  1746028859534
