Timestamp start: 1747052047877
Timestamp end: 1747052888182

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      201.7   112.5    68.9   100.2   109.0   175.8   221.9   248.9   268.0   289.7   316.9   366.3   526.7  1182.1  2770.0 106180.2   106356
read      224.3   143.7    63.8   114.4   127.6   199.7   237.2   261.0   278.6   301.0   332.4   387.8   585.5  1951.5  4285.2 178640.8   178750
read      200.6   113.8    68.9   100.3   109.0   175.1   220.8   247.7   266.7   287.9   314.7   360.7   508.4  1205.0  2737.5 105878.2   105831
read      197.2   104.4    68.9    99.5   108.1   172.2   216.6   243.4   262.6   284.0   310.6   353.6   498.5  1186.7  2273.2 110558.2   110667
read      187.6    76.6    80.4   124.8   138.4   178.5   195.0   204.7   212.7   222.0   234.4   259.3   398.1   997.6  2339.0   8835.5     8803
read      227.4   148.6    68.9   101.8   112.1   210.8   253.4   277.4   294.2   313.6   338.3   381.2   651.3  1709.4  4179.2  45678.2    45662
read      217.2   117.3    68.9   104.2   115.7   208.0   242.6   261.0   273.2   288.3   307.4   339.4   520.5  1357.8  3537.5  30818.7    30867
read      229.4   141.0    63.8   101.4   112.0   213.2   258.6   283.4   300.0   318.5   342.8   386.6   629.7  1499.5  5136.7  45701.5    45656
read      205.9   127.5    68.9    99.6   108.5   179.1   227.4   254.7   273.6   295.5   323.7   376.2   534.8  1326.5  3109.4 100767.2   100938
read      201.3   114.4    68.9   101.9   111.2   175.4   215.8   241.1   260.4   282.9   311.9   361.3   573.1  1275.1  2585.8 132392.1   132360
read      238.7   161.6    63.8    99.2   108.9   211.6   266.4   297.4   319.7   345.7   381.4   435.4   816.4  1770.3  2986.1  67655.8    67591
read      221.8   111.1    68.9   103.8   115.2   211.1   249.2   269.1   283.1   298.7   319.5   358.6   548.3  1261.6  2859.9  33990.7    33910
read      252.0   226.5    68.9   100.4   110.3   204.0   266.7   304.6   332.3   365.3   406.8   479.4  1182.3  2708.3  6726.5  85652.9    85729
read      197.8    89.4    68.9   116.7   134.0   189.1   210.0   221.8   230.3   240.8   255.5   286.6   425.2  1069.0  2172.7  12831.7    12884
read      229.0   139.7    68.9   101.8   112.2   212.7   257.2   281.5   298.1   317.2   341.6   386.3   634.1  1589.8  3991.9  45610.0    45621
