Timestamp start: 1747052929668
Timestamp end: 1747053769969

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      218.0   218.0    80.4   130.0   144.2   190.5   208.8   219.5   228.7   239.4   256.5   309.3   944.5  3072.6  7659.1   8166.4     8195
read      235.5   264.3    68.9   109.6   120.9   193.8   234.3   259.8   278.5   302.0   335.0   398.0  1015.4  3465.9  7719.3 158406.0   158594
read      212.7   141.1    68.9   106.2   116.5   183.1   221.8   246.6   265.8   289.3   320.5   381.7   744.5  1571.9  3458.9 149872.7   149766
read      202.4    92.3    80.4   123.1   140.2   192.2   212.5   224.3   232.7   243.9   258.3   287.1   479.6  1212.9  3035.5  10464.4    10382
read      237.1   221.1    68.9   112.7   125.6   201.5   241.1   265.7   284.4   307.7   340.0   398.5  1106.8  3200.4  6479.8 170385.0   170548
read      210.4   157.1    68.9   104.9   115.1   181.4   220.6   245.2   263.9   286.2   315.5   366.7   639.4  2084.2  3738.2 150690.7   150565
read      207.0   145.3    68.9   102.5   111.9   177.0   217.9   243.6   263.2   286.3   316.0   368.6   674.9  1871.5  3362.7 137218.4   137144
read      213.0   155.3    68.9   104.6   114.7   182.0   222.8   248.6   268.1   291.4   321.2   376.0   715.0  1989.7  3559.0 143403.6   143496
read      211.9   154.4    68.9   104.6   114.8   182.1   222.3   247.5   266.6   289.4   319.3   372.8   694.1  1962.5  3487.4 144834.4   144743
read      204.3   122.9    68.9   100.1   109.0   174.9   221.0   249.8   270.5   294.5   326.2   382.5   564.2  1284.3  2641.6 116503.0   116745
read      207.2   124.7    68.9   102.5   111.7   177.7   221.0   248.5   269.1   293.3   326.0   387.2   623.6  1343.9  2444.0 129353.7   129314
read      216.5   145.6    63.8   105.9   116.2   184.8   226.3   252.4   272.3   296.3   329.8   392.9   767.8  1741.6  2880.3 144562.6   144723
read      210.8   123.1    68.9   102.0   111.2   179.9   227.7   257.7   279.5   305.5   340.2   401.8   605.8  1177.0  2574.8 117519.2   117379
read      207.8   123.3    68.9   102.8   112.0   178.5   223.7   251.9   272.2   295.7   327.0   384.9   620.8  1111.3  3379.5 119940.1   119931
read      219.8   172.7    68.9   104.6   114.7   184.9   229.5   257.1   277.4   302.2   335.9   399.8   783.3  2233.5  5154.4 132012.2   132052
read      221.6   196.8    68.9   106.1   116.5   186.3   228.5   254.3   273.6   296.9   329.0   387.5   845.5  2887.2  5319.7 143381.9   143350
read      214.9   163.4    68.9   105.7   115.9   184.3   225.6   251.1   270.3   293.1   322.7   375.4   684.3  2051.9  4625.9 143357.5   143518
read      239.9   168.9    68.9   117.0   131.0   212.3   255.6   282.2   302.1   326.6   360.3   415.0   611.1  2319.2  4798.8 173034.5   172981
read      233.1   208.7    63.8   101.9   111.3   190.5   245.5   275.4   297.7   327.1   373.2   459.1   825.2  2947.0  6516.4  93824.4    94027
read      249.4   223.0    68.9   116.6   130.7   214.1   258.3   285.3   305.5   330.7   365.8   426.3  1002.9  3322.6  7118.6 169868.1   170019
read      252.4   173.2    68.9   121.4   137.0   224.7   270.7   297.9   318.5   343.6   376.7   430.8   651.2  2226.4  4903.8 179012.8   179090
read      251.1   161.2    68.9   104.1   114.9   228.2   277.5   306.6   327.2   352.0   385.2   438.6   880.5  1760.7  2953.9  47050.2    47130
read      224.4   105.3    74.4   112.8   128.2   215.9   245.9   261.9   272.8   287.0   304.9   336.6   555.2  1334.3  2681.4  19437.0    19439
read      229.5   230.8    68.9   103.9   113.7   185.2   230.9   258.4   278.0   301.7   333.9   396.9  1344.4  3062.1  5823.2 128752.8   128963
read      232.3   124.9    74.4   111.6   125.6   221.1   255.7   273.9   287.5   303.0   324.0   368.2   593.1  1341.1  3736.4  23721.7    23787
read      269.6   225.7    68.9   103.0   113.3   230.4   291.5   327.1   353.6   384.7   423.5   496.0  1236.8  2498.1  7004.9  61697.3    61848
read      218.7   169.7    68.9   101.2   110.2   182.8   232.9   261.7   281.9   305.7   338.7   407.4   772.8  2272.3  3877.2 101877.1   101968
read      204.8   121.6    68.9   101.5   110.4   178.3   225.7   253.6   272.6   294.0   320.5   368.0   528.5  1293.0  2953.2 108748.1   108767
read      255.2   195.0    63.8   103.9   114.3   206.9   274.0   317.8   350.1   387.4   431.3   502.6  1037.5  2050.8  3508.8  97095.4    97139
read      217.0   161.7    68.9   109.9   120.8   188.0   226.0   249.4   267.4   289.2   318.2   371.5   694.7  2198.0  3561.2 158641.4   158594
read      202.9   126.9    68.9   103.8   113.4   176.7   216.0   240.6   259.6   281.4   309.4   354.2   556.1  1615.2  3030.6 141314.3   141240
read      228.7   127.7    68.9   104.0   114.8   216.6   259.6   281.9   297.0   314.9   337.7   374.1   566.0  1418.7  3471.4  41373.7    41405
read      242.9   153.5    68.9   101.6   111.6   221.4   273.7   303.3   323.4   347.2   379.2   428.9   801.5  1578.6  4104.9  58058.3    57997
read      221.2   208.5    63.8   103.2   112.9   180.4   223.0   248.7   267.7   289.9   318.7   374.8  1266.8  2786.8  4033.9 133619.6   133577
read      240.3   145.3    68.9   102.8   113.0   219.7   269.8   297.2   316.5   339.4   370.0   421.4   765.6  1561.7  3001.6  53851.4    53832
read      225.5   213.7    68.9   105.3   115.4   184.8   227.4   252.9   271.7   294.3   324.5   386.3  1285.6  2892.3  5011.5 139751.6   139832
read      218.5   144.4    68.9   113.0   125.2   194.0   230.6   253.0   270.1   291.0   318.8   369.3   582.9  2001.6  3678.5 170394.3   170515
read      207.1   133.2    68.9   103.1   112.6   178.9   221.3   248.2   268.0   291.0   319.8   372.7   596.0  1537.6  3538.4 128415.2   128494
read      211.6    97.8    74.4   110.3   124.2   204.9   231.9   246.9   257.3   270.3   288.3   318.7   461.7  1110.6  2722.5  20837.1    20789
read      250.8   176.9    68.9   101.6   111.7   222.6   279.4   311.1   333.8   361.3   395.6   455.3   905.6  1889.3  4001.9  63541.4    63647
read      250.2   177.4    68.9   101.1   111.2   221.8   278.8   311.1   333.9   361.2   395.4   453.1   903.8  1978.6  3951.1  64794.0    64802
read      244.5   145.6    68.9   101.9   112.3   223.8   276.0   305.1   325.1   348.6   380.6   431.9   784.6  1498.6  3165.6  55839.2    55719
read      240.9   208.4    63.8   116.9   131.0   209.4   248.4   271.2   288.6   309.9   339.2   393.4  1135.8  3026.1  6201.2 174211.0   174179
read      200.9   102.8    68.9   100.3   109.4   177.2   222.8   250.2   269.0   290.0   315.5   357.8   487.8  1154.5  2040.0 106517.4   106356
read      224.1   143.3    68.9   117.3   131.0   203.4   238.7   260.2   275.5   295.2   320.7   365.8   520.8  2031.7  3512.2 179006.4   178750
read      203.4   113.9    68.9   101.1   110.3   178.4   224.5   251.9   270.8   292.2   318.2   363.1   505.0  1279.2  2965.3 105852.6   105831
read      203.7   109.1    68.9   101.4   110.6   178.5   223.8   251.3   270.5   292.1   318.7   365.2   522.2  1206.7  2414.0 110761.4   110667
read      196.9    99.0    74.4   127.2   140.9   185.5   204.2   215.0   223.4   233.9   250.3   280.5   448.8  1133.4  4221.0   8788.5     8803
read      241.4   259.4    68.9   103.3   114.5   219.7   265.0   289.7   307.4   328.3   357.9   410.7   751.1  2127.0  8516.5  45523.2    45662
read      224.0   120.6    68.9   105.9   118.1   215.7   252.1   270.6   283.9   298.6   318.6   355.0   503.2  1277.5  3780.2  30831.2    30867
read      238.8   283.0    68.9   102.9   114.0   220.0   265.9   290.5   307.8   327.9   355.1   402.0   663.6  1685.1  7972.7  45589.6    45656
read      210.0   128.0    63.8   100.3   109.6   182.2   231.7   260.2   279.4   301.8   331.3   385.9   561.0  1422.9  3173.2 100827.9   100938
read      204.6   125.2    68.9   102.7   112.4   178.4   219.2   245.1   264.6   287.1   315.4   364.3   567.5  1384.9  2730.9 132390.5   132360
read      239.8   149.8    68.9   100.2   110.1   216.4   271.5   301.9   323.6   349.6   384.5   435.9   729.7  1569.0  2766.9  67421.4    67591
read      225.9   117.8    68.9   105.1   117.0   216.4   254.6   273.8   287.9   303.8   323.9   362.7   540.3  1349.9  2873.1  33878.6    33910
read      253.5   205.3    68.9   101.1   111.4   210.6   274.2   311.9   339.2   371.4   412.4   482.4  1052.6  2342.1  5057.6  85700.6    85729
read      200.1    78.9    74.4   117.9   135.7   193.6   214.6   226.3   234.4   245.8   260.1   285.6   398.6   904.1  2679.0  12896.9    12884
read      236.4   145.9    68.9   102.1   113.1   221.1   267.5   292.0   309.0   328.6   354.6   398.3   675.0  1555.5  3170.4  45707.2    45621
read      231.7   146.1    68.9   104.6   116.4   219.8   261.3   282.2   296.5   313.9   336.9   376.7   589.7  1403.3  6751.6  36876.1    36938
read      241.5   162.9    68.9   101.3   111.8   218.8   268.9   296.7   317.1   341.2   373.3   429.3   783.5  1949.4  4593.9  56882.3    56902
read      214.1   164.9    68.9   101.1   110.5   183.0   231.5   259.5   278.6   300.6   330.1   385.4   599.8  2403.9  4198.5 102236.5   102243
read      206.7    91.0    74.4   116.8   134.5   198.0   220.7   233.4   243.6   254.8   272.2   305.7   454.1  1166.8  2900.4  14083.9    14085
read      266.0   228.5    68.9   103.8   114.9   215.2   282.9   325.4   356.7   392.8   436.5   515.4  1190.8  2536.1  6351.8  94056.4    94103
read      237.0   158.4    68.9   101.6   111.8   217.2   266.5   293.4   313.3   337.1   368.7   420.0   674.4  1640.6  6019.7  58223.8    58175
read      235.0   228.5    68.9   108.6   119.9   193.9   235.0   260.1   278.2   300.4   331.4   393.3  1376.8  2913.7  6383.7 151425.6   151312
read      243.7   275.6    63.8   100.4   110.0   197.2   251.9   281.5   303.3   331.2   372.6   448.5  1185.6  4139.3  7749.8  83333.7    83333
read      234.1   248.1    68.9   111.7   124.2   198.7   237.4   260.7   277.3   297.7   326.2   377.4  1008.3  3462.2  7627.7 165228.8   165153
read      216.1   145.0    68.9   102.6   112.4   181.9   227.5   256.6   278.0   303.7   339.3   416.8   725.8  1510.9  4034.5 124211.5   123975
read      243.9   201.5    68.9   106.4   119.2   221.6   260.6   281.2   295.8   314.2   340.0   391.5   924.9  2666.7  7370.7  28416.3    28449
read      194.9    67.5    68.9   118.0   135.1   189.0   208.5   218.7   227.7   237.0   252.2   277.0   351.0   877.7  1862.1  14852.3    14903
read      199.9    84.6    68.9   109.0   120.8   199.2   221.9   233.3   242.3   252.6   267.4   291.9   385.2   765.4  2623.4  31157.8    31189
read      202.5    74.4    68.9   105.8   116.8   203.3   229.4   242.8   252.2   264.2   278.8   307.2   401.2   618.4  2153.8  40818.8    40636
read      196.1    93.0    63.8    99.0   108.1   183.9   230.5   250.9   263.7   276.9   293.9   319.5   395.1   599.5  2792.2  80523.3    80574
read      202.7    92.4    63.8   110.1   120.6   183.9   219.2   241.7   259.1   279.7   306.9   349.5   465.7   722.7  2019.6 168643.8   168820
read      201.0    93.8    63.8   108.5   118.7   181.2   217.2   240.0   257.9   278.9   306.1   347.9   467.7   767.3  2103.2 162625.5   162621
