Timestamp start: 1747051167100
Timestamp end: 1747052007398

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      216.7   241.1    74.4   128.8   142.3   186.9   204.3   215.1   223.4   233.3   249.8   291.8  1034.7  3270.0  7928.0   8202.3     8195
read      237.5   284.0    63.8   109.9   121.8   196.6   236.9   260.8   277.5   298.5   327.9   380.7  1095.4  3718.8  7817.4 158398.7   158594
read      211.1   140.3    63.8   106.1   116.9   184.1   222.2   246.0   264.4   286.7   316.6   366.5   692.6  1687.0  3424.5 149761.9   149766
read      204.6   111.0    80.4   124.1   140.1   192.2   213.1   225.1   233.5   245.3   261.0   292.2   541.8  1255.4  3334.4  10419.0    10382
read      261.0   251.1    63.8   120.5   135.9   221.5   264.0   288.3   306.6   328.8   359.9   421.1  1395.4  3384.9  7302.8 170670.0   170548
read      211.6   139.1    63.8   106.6   117.5   184.7   222.7   246.3   264.6   286.8   316.8   367.4   686.9  1675.0  3143.9 150797.0   150565
read      206.9   128.8    63.8   103.2   113.2   179.5   219.2   244.6   263.9   286.8   317.4   368.3   685.2  1398.1  3427.0 137144.2   137144
read      208.4   140.7    63.8   104.3   114.5   180.9   219.7   244.0   262.8   285.3   315.5   365.6   690.2  1595.6  3422.9 143488.4   143496
read      212.2   139.1    68.9   105.9   116.5   184.2   223.8   248.5   267.5   290.4   321.0   373.0   682.7  1751.0  3073.5 144830.6   144743
read      211.5   129.9    63.8   101.8   111.3   181.5   227.3   255.6   276.2   301.3   335.7   395.7   644.9  1331.9  3051.8 116804.4   116745
read      212.7   134.8    68.9   103.6   113.7   183.1   226.2   253.1   273.0   297.0   330.6   385.8   688.8  1536.5  2883.7 129063.6   129314
read      219.2   154.1    68.9   107.5   118.5   189.0   229.8   255.0   274.1   297.7   331.1   387.4   742.3  1874.2  3473.3 144655.8   144723
read      211.4   132.9    63.8   102.7   112.3   181.8   226.7   254.4   274.5   298.6   332.5   389.8   651.2  1410.1  3547.5 117657.3   117379
read      210.5   125.9    68.9   103.2   112.9   182.1   226.1   253.0   272.7   296.0   327.8   377.8   681.6  1328.2  2611.9 119961.6   119931
read      214.4   155.9    63.8   104.0   114.2   182.9   224.7   250.7   270.2   293.5   325.2   378.6   793.5  1905.8  4117.9 132165.6   132052
read      219.1   165.5    68.9   106.8   117.8   188.0   228.6   253.3   271.9   294.7   325.7   378.3   829.2  2090.2  3892.2 143113.0   143350
read      220.5   162.7    68.9   107.4   118.4   189.1   229.5   254.2   272.9   295.7   327.8   383.7   854.6  2027.9  3563.5 143655.4   143518
read      241.6   158.7    68.9   122.6   138.2   217.2   255.3   278.0   295.2   316.8   345.9   399.4   717.7  2109.0  4096.2 172963.2   172981
read      229.1   195.1    68.9   101.8   111.3   190.0   242.7   272.1   293.5   321.3   363.9   443.3   766.4  2640.8  6216.3  93948.0    94027
read      250.7   199.0    63.8   121.2   136.6   218.7   259.5   283.5   301.5   324.0   356.1   416.8  1067.7  2719.6  4898.6 170016.5   170019
read      249.4   165.8    68.9   127.3   143.1   225.4   263.7   286.0   302.7   323.3   352.9   405.3   740.9  2297.6  3932.3 179167.7   179090
