#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      166.1    70.5    63.8   101.4   110.5   158.5   182.1   195.2   204.2   214.7   227.7   246.9   292.6   582.2  2731.7  29958.4    30000  1747426457017  1747426467228
read      167.7    64.8    74.4   104.7   113.2   159.4   182.9   196.5   206.1   217.1   230.8   250.9   293.9   448.3  2596.8  29943.8    30005  1747426468739  1747426478863
read      165.7    68.5    68.9   103.0   112.0   157.6   180.7   194.0   203.2   214.2   227.6   247.3   291.5   461.2  2861.5  29959.5    30010  1747426480371  1747426490467
read      167.6    60.1    68.9   104.2   112.6   158.9   183.1   197.2   207.2   218.4   232.4   253.1   297.0   487.0  1827.4  29934.3    30015  1747426491977  1747426502075
read      170.0    67.3    63.8   103.6   112.3   160.9   186.6   201.0   211.4   222.7   235.5   256.2   301.9   538.6  2226.0  29955.4    30020  1747426503586  1747426513681
read      169.3    71.2    68.9   104.7   113.4   160.3   184.9   198.7   208.5   219.2   232.8   253.7   305.9   586.1  2990.0  30075.4    30025  1747426515191  1747426525288
read      168.8    63.5    68.9   102.9   112.4   161.2   185.4   199.0   208.7   219.1   232.4   252.4   295.8   452.8  2247.1  30038.8    30030  1747426526799  1747426536894
read      205.7   177.9    68.9   107.6   116.6   173.6   203.9   222.0   234.9   252.4   278.4   348.0   949.1  2143.6  5206.9  30051.8    30035  1747426538404  1747426548502
read      177.6   163.8    63.8   103.3   111.3   157.9   182.4   196.9   207.4   219.3   234.5   261.6   471.9  2559.9  6096.5  30094.4    30040  1747426550012  1747426560106
read      181.3   200.5    68.9   102.6   110.6   158.8   184.9   200.1   211.2   223.8   239.4   269.0   462.6  3415.1  6369.7  30095.0    30045  1747426561615  1747426571710
read      168.2    87.3    68.9   101.6   109.5   155.7   181.0   195.6   206.0   218.0   232.9   256.9   333.0  1251.7  3042.7  30077.6    30050  1747426573219  1747426583314
read      166.8    82.1    68.9   102.0   109.9   155.8   180.4   194.4   204.3   216.4   230.9   253.3   316.5  1007.0  2825.2  30047.8    30055  1747426584822  1747426594918
read      169.7    97.4    68.9   102.0   109.7   156.2   182.1   196.8   207.5   219.4   233.8   258.1   337.7  1676.0  2879.0  30129.7    30060  1747426596426  1747426606525
read      170.5   105.7    68.9   103.0   111.2   158.6   183.0   196.6   206.5   217.8   232.2   254.5   326.1  1505.3  4229.5  30090.9    30065  1747426608035  1747426618132
read      169.1    89.5    68.9   102.0   110.2   156.9   181.9   196.1   206.4   218.1   232.5   255.6   332.6  1310.4  2749.1  30058.1    30070  1747426619641  1747426629735
read      165.6   110.6    68.9   101.4   108.5   153.0   176.6   189.9   199.7   211.6   226.1   249.0   320.2  1592.1  4988.6  30066.4    30075  1747426631244  1747426641340
read      168.1    96.0    74.4   103.0   110.7   156.8   180.7   194.3   203.9   215.7   230.2   252.7   318.4  1237.3  4774.7  30055.8    30080  1747426642851  1747426652946
read      198.3   231.4    74.4   103.9   112.0   161.8   189.0   204.4   216.0   230.0   250.0   299.1  1071.7  3335.0  6210.5  30039.3    30085  1747426654455  1747426664549
read      167.8   104.9    68.9   102.4   110.4   157.0   181.6   195.5   205.6   217.5   231.9   253.9   315.8   858.3  5132.0  29963.8    30090  1747426666058  1747426676154
read      166.3    71.2    68.9   102.4   111.2   157.8   181.6   195.2   204.8   216.1   229.9   250.4   300.3   441.9  2876.4  30199.1    30095  1747426677665  1747426687759
read      165.2    71.4    63.8   102.5   111.2   156.8   179.6   192.6   201.9   213.5   227.3   247.7   295.5   542.4  3006.6  30133.3    30100  1747426689268  1747426699362
read      164.1    61.7    74.4   103.4   111.5   156.1   178.6   191.2   200.4   211.8   225.5   246.2   294.5   464.6  2031.1  30151.9    30105  1747426700871  1747426710966
read      164.9    61.5    68.9   101.5   110.0   156.4   180.0   193.7   203.4   215.2   229.2   250.1   298.7   494.2  2072.3  30042.1    30110  1747426712476  1747426722570
Terminated
