Timestamp start: 1747213587566
Timestamp end: 1747214427837

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      203.0   122.1    74.4   119.6   137.5   188.1   208.2   218.9   228.0   237.8   253.2   285.4   753.3  1461.4  3131.2   8073.0     8195
read      343.6   494.3    68.9   132.7   152.4   256.0   302.3   330.6   353.1   383.2   428.1   528.0  3311.2  5430.4  7974.0 158147.7   158594
read      237.3   204.1    68.9   111.9   124.7   201.6   243.7   269.6   289.4   313.7   346.3   405.6  1009.1  2846.6  4958.0 149862.3   149766
read      204.3   129.8    63.8   114.0   132.4   190.1   212.4   225.0   234.0   246.8   263.9   294.7   661.2  1695.8  4036.3  10390.0    10382
read      325.9   372.4    68.9   135.9   155.3   256.8   306.8   338.4   363.9   396.6   444.7   550.4  2170.3  4348.4  7825.6 170420.3   170548
read      217.9   135.5    68.9   109.0   120.3   191.1   230.7   255.4   274.2   297.6   329.2   381.8   677.0  1685.5  3092.8 150742.3   150565
read      212.7   122.2    63.8   105.6   116.4   185.0   225.8   251.7   271.7   296.0   328.8   382.8   670.5  1455.7  2047.0 137526.0   137144
read      224.8   171.4    68.9   108.5   119.8   192.1   233.0   259.2   279.0   303.5   336.6   394.8   854.4  2210.9  3531.5 143675.3   143496
read      220.8   129.9    68.9   109.5   120.8   193.1   233.4   259.2   278.4   302.6   335.4   392.7   740.1  1498.2  2165.6 144846.0   144743
read      208.1   110.7    68.9   102.9   112.9   182.4   227.4   255.7   276.4   301.1   332.9   383.1   541.1   894.7  1920.8 116408.7   116745
read      213.7   124.7    63.8   105.8   116.4   186.0   228.8   255.7   276.2   301.1   334.1   389.1   648.5  1231.5  4089.5 129082.0   129314
read      217.1   127.1    68.9   108.3   119.6   189.7   229.6   254.6   273.9   297.8   330.8   386.3   713.4  1517.7  2284.8 144673.0   144723
read      207.9   110.7    63.8   102.6   112.4   181.2   226.1   253.5   274.1   298.4   330.3   380.8   552.3  1226.2  1993.8 117073.7   117379
read      209.7   112.9    68.9   103.3   113.3   182.2   226.8   255.2   276.3   301.8   334.7   388.9   579.0  1025.5  2391.0 120127.3   119931
read      214.1   130.6    68.9   105.2   115.7   185.4   227.8   254.4   274.9   300.2   333.8   390.2   675.7  1355.8  3899.5 131818.0   132052
read      219.4   128.7    63.8   108.3   119.6   191.8   232.6   258.4   277.7   302.2   335.3   392.7   723.2  1466.2  2178.3 143264.3   143350
read      221.8   156.8    68.9   108.8   119.9   192.0   232.8   258.7   278.0   302.0   333.9   388.6   718.0  2252.3  3679.6 143557.0   143518
read      262.2   204.4    68.9   121.2   137.4   229.4   277.7   307.3   329.3   356.4   392.8   453.1   791.7  3064.7  5353.2 172612.3   172981
read      289.4   368.4    63.8   103.6   115.0   206.0   267.0   308.1   343.5   396.4   470.0   605.8  2060.4  4260.8  7876.7  94169.0    94027
read      281.6   264.9    68.9   123.3   140.3   236.5   286.3   316.4   340.1   370.1   412.1   486.9  1441.7  3565.8  7084.7 169806.3   170019
read      268.3   182.2    63.8   123.8   140.5   237.3   290.9   322.6   346.6   375.4   413.7   471.4   658.5  2528.0  4444.7 179103.0   179090
read      257.1   182.7    68.9   100.8   111.7   226.7   281.1   314.2   339.3   369.4   408.7   483.9   926.6  1854.5  4215.8  47048.3    47130
read      238.7   127.9    68.9   107.1   124.2   223.0   260.7   280.7   295.4   313.8   338.9   386.8   722.0  1544.5  1919.6  19614.3    19439
read      318.2   538.2    68.9   111.1   124.6   217.5   269.7   298.7   319.7   346.0   387.3   508.0  3313.9  6384.2  9351.7 128899.3   128963
read      242.3   191.0    68.9   106.3   122.5   225.2   264.8   286.3   301.6   320.1   344.9   389.0   744.4  1495.9  9778.0  23758.0    23787
read      297.0   283.8    63.8   103.2   115.1   239.0   311.6   356.4   388.1   424.4   470.5   582.5  1485.8  3047.1  7766.3  61713.7    61848
read      312.2   415.8    63.8   111.1   124.6   218.8   273.2   307.3   335.5   376.0   459.4   727.0  2475.9  4421.8  7871.8 101975.3   101968
read      227.7   154.8    68.9   108.6   120.1   196.9   242.6   271.3   292.3   317.5   350.7   406.2   705.1  2023.1  3502.8 108560.3   108767
read      344.5   457.2    63.8   113.9   129.1   232.2   296.2   344.6   393.3   460.1   559.1   857.5  2556.8  5278.7  7996.1  96782.0    97139
read      279.0   293.6    68.9   125.3   141.8   235.8   284.0   312.3   333.9   360.9   398.0   465.6  1140.6  4191.5  7637.2 158203.7   158594
read      233.6   167.8    68.9   113.2   126.6   204.7   247.7   273.7   293.7   317.9   350.0   404.3   647.6  2185.0  5246.6 140937.7   141240
read      260.0   169.3    63.8   102.0   113.8   234.1   286.7   317.0   339.0   365.1   399.6   463.1   964.5  1812.4  2483.5  41541.7    41405
read      276.4   204.0    68.9   101.3   112.5   234.8   303.6   344.5   373.0   404.7   446.4   533.5  1173.7  1981.1  2730.5  57950.0    57997
read      294.7   445.1    68.9   111.6   125.1   214.6   265.1   293.5   314.6   340.4   376.4   461.7  3102.9  5016.9  7985.4 134080.7   133577
read      277.2   243.9    63.8   103.0   114.6   231.5   292.3   329.2   357.5   390.3   431.9   518.9  1330.7  2871.6  6968.8  53631.7    53832
read      308.2   378.0    63.8   115.5   130.8   226.6   278.5   310.0   334.2   366.1   417.9   645.6  1897.1  3821.6  7787.4 139473.0   139832
read      260.4   167.7    68.9   122.9   139.0   230.9   280.0   310.0   332.8   361.2   398.7   461.2   650.0  2194.5  4317.3 170481.3   170515
read      225.8   173.8    63.8   108.1   119.3   193.6   236.5   264.3   284.6   309.5   342.4   398.1   783.6  2349.0  3641.7 128566.3   128494
read      234.8   119.3    68.9   109.9   128.1   221.5   257.4   277.1   291.7   309.0   331.3   368.7   668.3  1544.6  2826.6  20827.7    20789
read      304.3   358.1    68.9   101.9   113.1   230.9   300.5   344.9   378.4   417.9   469.8   620.0  1875.4  4188.5  8058.8  63548.7    63647
read      289.6   287.7    68.9   101.8   112.8   230.1   302.4   346.3   378.7   415.2   461.5   557.8  1541.8  3382.0  7651.6  64693.7    64802
read      283.4   236.2    63.8   101.8   113.3   235.9   304.0   344.9   373.3   405.5   450.8   547.3  1330.7  2281.1  4723.6  55554.0    55719
read      320.9   321.0    68.9   139.5   159.9   264.0   314.5   346.7   373.4   406.9   455.2   542.1  1739.8  3742.3  7622.2 173857.0   174179
read      217.4   132.5    68.9   103.7   114.1   187.9   234.6   264.3   285.7   311.1   343.0   397.4   642.2  1429.6  2644.6 106185.0   106356
read      299.6   250.6    68.9   133.0   151.8   256.5   315.0   353.5   383.2   418.1   462.2   530.9   907.4  3550.6  7304.1 178521.3   178750
read      226.8   159.9    63.8   106.2   117.2   193.8   240.4   269.2   290.3   315.5   348.8   407.2   789.0  2056.2  3515.1 105935.7   105831
read      218.0   142.7    68.9   104.6   115.1   188.7   234.1   262.6   282.7   306.9   337.8   389.2   603.4  1830.7  3081.0 110332.3   110667
read      203.6   112.2    74.4   119.3   137.5   191.4   213.5   225.9   234.6   246.8   262.9   291.3   507.8  1398.7  3324.3   8812.0     8803
read      273.4   257.7    68.9   101.9   113.6   237.2   296.4   330.8   355.5   383.7   420.9   495.3  1082.3  2256.6  9604.1  45567.3    45662
read      254.0   210.1    63.8   104.7   119.3   233.0   279.4   303.9   320.5   340.9   366.9   407.5   724.6  2976.6  7612.6  30799.7    30867
read      253.5   222.1    68.9   102.6   114.3   226.2   273.5   301.9   323.7   350.9   386.7   446.6   831.2  2885.5  7193.8  45601.0    45656
read      280.6   328.0    68.9   107.8   119.6   209.1   264.9   298.7   326.2   364.6   432.1   609.0  1618.6  4336.6  7641.6 100774.0   100938
read      234.2   211.3    68.9   109.8   121.7   198.6   242.6   270.1   290.5   315.1   347.1   403.4   849.1  3189.1  5650.7 132433.0   132360
read      276.7   263.6    68.9   103.4   114.9   225.5   290.0   329.6   361.6   398.6   445.3   525.1  1399.9  3241.3  7453.4  67424.3    67591
read      266.2   176.3    63.8   106.0   120.5   239.1   289.6   317.5   338.3   363.0   395.6   455.6  1072.2  1976.9  3097.9  33891.0    33910
read      330.7   426.0    63.8   107.7   121.0   230.9   311.2   370.2   413.3   461.3   524.7   685.5  2323.4  4985.9  7976.7  85951.7    85729
read      215.6   115.2    63.8   113.4   134.1   203.9   230.7   245.6   256.0   269.6   288.2   319.7   548.3  1281.4  4423.2  12843.0    12884
read      267.8   193.8    68.9   101.9   113.9   236.4   294.7   328.8   352.8   380.3   415.9   476.3  1070.2  2136.5  3438.0  45502.0    45621
read      259.4   172.7    68.9   103.0   116.0   236.5   289.2   318.7   339.3   363.3   393.8   443.8   854.2  1864.1  4458.9  37084.0    36938
read      275.4   214.6    68.9   102.0   113.5   234.2   300.8   340.8   369.8   402.1   443.4   518.4  1169.4  2338.7  3918.7  56712.3    56902
read      298.0   358.1    68.9   109.9   122.4   214.3   268.8   302.7   331.3   372.3   461.2   741.9  1714.8  4272.7  7655.6 102250.3   102243
read      221.1   107.8    68.9   114.4   135.8   210.2   237.8   253.5   265.5   278.8   296.8   330.7   590.9  1323.0  2000.7  14130.7    14085
read      351.6   449.9    68.9   111.5   126.6   236.5   319.0   387.1   438.1   496.1   579.3   841.6  2342.0  5203.3  7980.7  93599.3    94103
read      285.5   259.4    63.8   102.8   115.0   237.2   305.4   346.3   375.6   408.1   451.5   535.1  1367.6  3008.7  6592.1  58311.0    58175
read      267.1   269.7    63.8   117.1   132.1   219.4   265.0   292.2   313.2   339.5   377.4   455.9  1519.0  3405.9  7044.2 151308.0   151312
read      283.7   318.9    68.9   104.7   116.3   215.5   281.8   324.9   361.5   406.6   464.3   557.6  1676.0  3972.6  7874.9  83038.7    83333
read      281.9   240.0    68.9   127.5   144.7   241.9   290.3   318.9   341.6   369.5   407.6   477.8  1414.9  3267.3  5413.3 165040.7   165153
read      222.5   161.9    68.9   107.2   118.4   191.8   235.5   263.4   283.7   308.3   340.3   392.9   677.2  2055.7  4366.4 123800.0   123975
read      248.2   131.8    68.9   106.4   121.8   231.8   275.7   299.9   317.0   337.7   364.4   406.7   766.2  1442.1  2236.8  28597.7    28449
read      222.6   105.8    74.4   113.3   133.8   211.9   241.0   257.6   269.3   283.4   301.7   335.0   566.0  1298.0  2079.7  14914.0    14903
read      256.1   155.9    68.9   104.9   119.6   237.3   285.2   311.1   329.3   350.2   377.6   426.3   791.6  1844.8  4964.2  31004.7    31189
read      263.0   156.4    63.8   102.7   115.2   239.2   295.7   327.0   349.4   375.1   407.4   465.6   870.0  1606.0  2341.3  40509.0    40636
read      309.1   346.6    68.9   105.8   118.1   228.1   307.0   362.8   402.3   446.0   500.6   611.1  1983.5  3777.6  7993.2  80766.0    80574
read      305.2   279.8    68.9   133.5   152.5   259.4   311.8   343.2   367.9   397.7   438.1   511.2  1543.1  3466.0  7645.2 168639.0   168820
read      255.3   181.2    68.9   122.1   138.0   225.8   270.7   297.7   318.5   344.2   380.1   440.6   716.8  2449.0  5056.0 162431.3   162621
read      221.1   146.6    68.9   105.3   115.9   191.9   239.6   268.7   289.5   313.8   344.5   394.9   588.6  1890.5  3899.3 101904.0   101621
read      282.6   230.5    63.8   103.9   115.8   238.1   306.6   347.9   377.4   410.4   452.2   528.8  1268.7  2711.1  4053.2  58493.0    58592
read      318.3   354.9    63.8   127.1   145.2   249.6   300.3   332.0   357.3   391.0   442.7   575.5  1764.0  4228.3  7880.5 152941.3   153042
read      216.2   133.1    63.8   104.9   115.4   188.2   233.5   261.9   282.8   307.2   338.3   388.0   558.0  1752.4  3201.1 112165.3   112238
read      245.2   205.9    68.9   116.2   130.3   212.9   257.2   284.7   305.4   331.1   366.1   426.3   684.9  3041.9  6564.0 160032.7   160265
read      255.2   168.1    68.9   101.6   112.3   226.6   284.3   318.5   345.1   376.3   416.0   476.7   879.5  1741.6  3305.7  57185.0    57109
read      303.0   361.1    63.8   105.8   118.0   219.5   291.1   342.2   384.1   432.2   492.8   609.5  2006.4  4164.7  7878.3  88326.7    88551
read      200.7   120.1    68.9   118.3   135.2   189.0   211.3   224.0   233.2   245.0   260.4   289.0   434.6  1226.8  7064.3   8453.7     8385
read      254.3   148.3    63.8   103.9   117.7   234.5   284.4   312.1   331.5   354.2   383.4   430.9   770.0  1721.1  2747.8  34089.0    34088
read      303.7   394.4    68.9   110.1   123.1   214.0   265.4   295.5   318.9   351.2   406.6   912.3  1937.0  4247.3  7823.6 113421.0   113600
read      223.1   146.5    63.8   109.1   120.6   194.1   235.8   262.9   282.8   307.1   338.8   391.6   688.6  1871.2  3215.9 132041.0   131842
read      217.0   134.2    68.9   105.0   115.6   188.3   233.2   261.7   282.1   306.4   337.5   388.6   620.3  1766.6  2830.6 112348.0   112066
read      268.7   268.3    68.9   103.8   114.7   213.7   272.4   307.3   334.9   371.5   425.5   524.1  1541.2  3013.2  7195.0  72412.0    72585
read      254.3   293.8    68.9   111.5   124.1   205.3   251.5   278.7   298.9   323.6   358.9   425.2  1441.9  3955.7  7493.1 133861.0   133669
read      212.3   122.7    74.4   114.8   135.5   200.4   225.5   239.5   250.4   263.3   279.3   309.9   588.9  1417.1  6325.6  11888.0    11820
read      218.9   103.4    63.8   116.4   137.9   209.3   234.7   249.7   260.8   273.7   292.3   321.1   554.4  1190.9  3805.1  12557.7    12639
read      320.3   418.4    68.9   112.3   126.2   224.4   279.0   311.5   337.3   372.4   441.6   941.9  2238.3  4676.3  7943.6 118414.0   118548
read      249.9   155.9    63.8   121.2   136.8   222.4   267.1   294.3   315.2   340.7   374.6   433.0   654.2  2057.7  3131.2 165659.7   165754
read      269.8   285.0    63.8   105.0   116.5   210.1   270.7   309.3   339.8   379.8   434.1   525.6  1448.7  3744.1  7632.9  86760.7    86823
read      225.6    95.6    74.4   111.0   130.7   217.8   248.1   265.2   277.0   291.9   311.1   341.6   482.2  1362.3  1805.0  16855.3    16898
read      271.4   323.4    68.9   110.4   122.8   204.4   250.2   279.3   302.5   332.9   382.8   565.8  1689.6  4012.3  7780.3 123168.0   123124
read      258.5   185.0    68.9   103.5   114.9   221.2   284.3   320.4   348.2   382.0   424.4   492.8   961.9  2071.8  4098.6  72506.0    72278
read      254.6   153.2    54.7   102.3   114.2   232.4   288.0   318.6   340.1   364.6   395.2   444.8   818.1  1758.6  2510.0  47646.0    47757
read      256.6   169.7    68.9   100.0   111.0   227.8   289.3   324.6   349.7   378.4   413.5   468.6   923.5  1854.2  2526.4  60628.0    60510
read      226.7   100.9    68.9   105.1   119.5   219.4   255.8   274.3   288.2   304.2   325.2   361.7   494.4  1068.8  1644.7  25234.0    25237
read      290.8   293.8    63.8   106.6   119.3   218.6   294.4   352.9   393.8   437.5   492.8   586.3  1524.2  3248.1  7791.2  97720.7    97783
read      228.9   223.8    63.8   105.9   116.8   190.1   234.0   262.0   282.4   306.9   338.9   395.3   948.9  3125.3  6991.8 119178.7   118966
read      211.5    94.7    68.9   110.2   127.4   203.9   230.3   245.1   255.4   269.0   286.8   316.3   426.7  1344.1  2118.5  16657.7    16631
read      200.3    83.5    68.9   113.6   130.8   192.0   215.6   228.7   237.7   250.3   266.7   293.3   403.3  1045.0  1231.7  11816.0    11743
read      260.8   282.1    59.1   105.7   117.0   196.8   245.4   275.4   299.3   332.0   387.9   581.1  1492.0  3146.6  7031.2 114919.3   115026
read      209.9   124.6    63.8   103.5   113.5   182.3   226.2   254.0   274.3   298.7   330.1   379.3   553.0  1578.6  3045.3 122349.3   122371
read      188.8   117.9    68.9   115.0   128.8   177.4   196.6   207.8   216.0   226.2   238.6   263.6   384.4  1611.7  4907.8   7215.3     7198
read      236.3   292.3    68.9   104.1   118.4   218.3   254.0   273.2   287.4   304.1   326.7   365.6   624.2  3225.8 11802.9  25089.3    25022
read      271.5   309.2    68.9   116.3   131.0   217.6   259.2   283.4   301.5   324.6   360.4   440.4  1603.6  3488.3  7120.0 157287.0   157513
read      230.7   137.3    68.9   119.5   133.7   209.8   247.4   270.2   287.4   308.4   336.7   383.8   528.9  1895.2  3393.4 171881.0   171975
read      214.9   123.8    63.8   110.9   122.6   191.8   229.5   253.3   271.3   293.5   322.0   370.3   533.7  1491.5  2562.9 154727.3   154918
read      213.9   158.5    68.9   106.5   117.4   185.6   226.1   251.4   270.7   293.9   323.3   371.9   558.5  2012.8  4320.1 139429.3   139185
read      222.1   164.7    68.9   111.9   123.9   195.4   234.6   259.3   277.4   299.4   328.7   374.3   524.2  2593.6  3877.4 152470.7   152724
read      218.1   101.1    59.1   107.3   123.1   210.5   240.1   256.2   267.9   281.9   301.6   334.8   470.0  1275.7  2458.7  20844.7    20845
read      306.7   409.8    68.9   114.0   128.6   223.0   270.3   296.9   317.6   344.5   390.6   680.4  2176.7  4587.2  7768.3 140474.0   140348
read      251.2   200.1    68.9   101.9   112.2   203.2   268.3   309.3   340.2   377.5   425.0   498.2  1005.1  2348.7  3682.4  88830.7    88725
read      237.7   246.8    63.8   106.6   117.6   191.9   235.8   262.8   282.2   306.4   339.8   404.1  1402.8  3096.3  7271.8 134037.3   134088
read      249.5   168.5    63.8   100.5   110.9   218.4   276.5   310.8   336.3   367.1   405.5   467.6   893.3  1862.0  3039.7  66146.0    66126
read      269.6   348.0    63.8   100.8   111.6   216.3   286.6   329.9   360.8   395.1   436.7   506.9  1299.4  2637.2 20278.9  78093.3    78214
read      251.8   156.3    68.9    99.7   110.7   226.7   284.8   318.2   341.9   368.8   402.1   457.0   803.7  1725.2  2539.2  55198.0    55191
read      252.4   182.7    63.8   100.1   111.0   227.5   285.3   318.1   341.4   367.4   398.6   451.7   844.6  1738.8  4333.2  53989.7    54081
read      266.6   300.9    68.9   105.6   116.7   198.9   250.2   281.5   306.9   341.5   402.0   594.2  1539.5  3635.8  7514.3 112362.7   112478
read      242.3   160.3    63.8   123.7   139.1   219.9   259.3   282.6   299.9   320.9   350.3   399.1   560.7  2451.3  4418.2 179570.3   179666
read      205.4   107.7    68.9   101.3   110.6   180.8   228.8   257.0   276.2   298.9   326.2   368.7   486.2  1121.7  2430.7 100367.3   100584
read      214.7   148.9    68.9   104.8   115.3   183.9   226.1   252.8   273.2   297.6   330.0   385.0   763.9  1552.7  3247.4 127847.0   127920
