Timestamp start: 1747215349295
Timestamp end: 1747216189567

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      196.4   104.1    68.9   113.1   130.2   183.8   204.2   215.6   224.3   234.1   249.0   274.5   684.1  1265.1  1973.2   8073.0     8195
read      307.1   465.1    68.9   121.0   137.5   234.0   273.6   295.4   312.2   333.2   364.3   435.9  3257.7  5334.5  7961.4 157963.7   158594
read      219.8   156.8    68.9   108.9   120.2   188.9   226.8   250.4   268.3   290.4   319.7   373.6   904.4  1968.4  3176.0 149587.3   149766
read      193.4    90.3    68.9   110.7   127.0   183.2   204.6   217.0   226.4   236.3   252.2   280.2   482.3  1183.1  1869.8  10384.3    10382
read      303.8   365.9    68.9   129.5   148.0   247.6   286.9   309.1   325.6   346.4   379.3   459.3  2052.6  4184.7  8113.2 170483.0   170548
read      213.2   133.0    63.8   108.3   119.4   186.9   224.9   248.4   266.6   288.9   317.8   366.5   713.5  1629.4  3129.0 150615.3   150565
read      205.5   120.6    63.8   104.0   114.3   179.5   218.1   243.4   263.1   286.7   317.2   367.4   621.9  1245.7  3832.6 137103.3   137144
read      208.8   139.8    63.8   105.1   115.7   181.6   219.5   243.8   262.6   285.3   314.6   362.7   673.0  1857.3  3431.3 143506.0   143496
read      209.7   132.3    63.8   106.1   116.7   183.0   221.3   245.8   264.7   287.4   316.8   365.5   643.0  1681.3  2948.5 144590.7   144743
read      204.2   109.1    59.1   100.7   110.3   176.8   221.3   249.4   270.0   294.2   325.2   376.3   557.8  1191.8  1993.7 116684.3   116745
read      208.3   144.6    59.1   103.8   114.0   180.7   221.6   247.7   267.3   291.0   320.5   369.5   645.5  1467.8  2847.4 129560.0   129314
read      211.6   133.0    68.9   107.5   118.5   185.4   223.7   247.8   266.5   289.1   318.2   366.9   649.2  1622.8  3187.8 144706.0   144723
read      209.2   127.5    63.8   103.0   112.9   181.6   225.7   252.7   272.7   296.0   324.7   370.8   582.8  1670.8  2365.1 117741.3   117379
read      213.5   132.8    68.9   104.3   114.6   184.6   228.3   255.4   275.6   299.5   330.3   379.6   668.1  1707.8  3250.0 120119.7   119931
read      220.1   155.8    63.8   107.7   118.8   189.7   231.6   257.8   277.4   301.0   331.7   381.8   740.1  2031.6  3579.4 132473.7   132052
read      223.4   163.2    68.9   110.3   121.9   193.8   233.9   259.7   278.4   301.3   331.9   382.0   755.6  2298.2  3562.1 143578.3   143350
read      222.6   157.5    68.9   110.3   122.3   195.3   234.9   259.8   278.1   300.7   330.7   379.7   646.2  2007.3  4320.4 143505.7   143518
read      243.4   162.9    68.9   122.6   138.4   220.0   259.2   282.3   299.2   320.0   348.7   398.7   682.5  2071.3  5003.8 173152.7   172981
read      313.7   508.5    68.9   107.5   119.8   214.5   276.2   318.0   356.4   409.0   484.0   660.5  2376.2  5330.4 22659.8  94095.3    94027
read      254.5   193.8    68.9   123.6   139.6   224.5   265.0   288.4   306.2   328.1   358.6   413.0  1189.3  2634.8  4659.9 170047.7   170019
read      261.4   172.8    68.9   130.9   148.1   236.0   278.3   303.4   321.6   345.2   377.5   432.9   636.3  2584.3  4582.5 179306.0   179090
read      260.0   189.6    63.8   101.9   113.4   227.1   280.4   312.0   335.7   364.9   402.6   475.1  1069.7  2017.7  3306.9  47031.3    47130
read      236.7   119.1    63.8   110.2   128.6   223.1   259.9   279.8   294.1   311.4   333.7   372.3   708.4  1438.1  2391.8  19435.7    19439
read      320.8   521.8    68.9   114.2   128.9   225.0   274.5   301.1   319.8   344.2   381.5   507.8  3296.5  6305.6  9151.5 128882.7   128963
read      238.9   126.2    68.9   107.6   124.2   224.6   263.5   285.1   300.6   319.2   344.5   388.9   696.2  1446.9  2371.1  23859.7    23787
read      304.2   344.2    68.9   103.2   115.1   232.1   305.1   350.3   382.5   418.9   466.6   593.1  1856.3  4126.7  7783.8  61858.7    61848
read      276.0   355.4    68.9   106.5   117.8   203.7   257.3   290.7   316.5   353.9   419.4   562.8  1814.3  4729.4  7743.2 101835.0   101968
read      215.4   124.6    68.9   104.8   115.2   187.4   233.8   262.5   282.9   307.1   338.4   390.3   605.5  1456.7  3058.7 108980.0   108767
read      320.7   411.3    63.8   110.2   123.0   221.2   286.7   334.7   378.5   437.4   521.5   749.2  2195.8  4664.9  7989.6  97094.7    97139
read      256.1   230.0    68.9   118.7   133.4   217.6   260.9   286.0   304.6   327.1   358.9   418.2  1424.8  3001.1  5354.7 158344.7   158594
read      218.0   133.1    63.8   110.3   121.8   192.2   231.1   255.4   274.0   296.5   326.8   375.4   652.6  1804.9  2764.9 141407.3   141240
read      256.3   161.8    68.9   103.7   116.2   231.0   283.4   313.8   336.4   362.5   395.6   452.3   897.2  1744.7  2942.2  41519.7    41405
read      282.2   244.5    68.9   103.3   115.1   232.8   303.7   344.8   374.3   407.0   451.6   545.1  1237.1  2651.4  7311.5  58050.7    57997
read      301.9   454.3    63.8   113.2   127.8   220.0   268.7   295.0   314.5   338.9   374.5   491.6  3016.8  5439.6  8313.4 133896.3   133577
