Timestamp start: 1747214468358
Timestamp end: 1747215308632

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      210.8   114.9    68.9   101.5   110.9   182.2   231.6   262.0   283.1   308.0   339.9   394.0   563.5  1119.6  2300.8 106110.7   106356
read      267.6   217.6    63.8   128.7   145.5   235.7   281.3   308.4   328.3   353.1   386.6   442.6   883.4  3009.5  7913.4 178719.3   178750
read      214.7   132.9    68.9   102.6   112.3   184.2   231.9   261.1   281.7   306.2   337.8   393.8   685.2  1452.0  3101.1 105998.0   105831
read      217.6   139.5    68.9   103.3   113.2   184.8   231.8   261.1   282.5   308.0   341.2   403.7   734.9  1450.3  3190.6 110722.3   110667
read      205.2   240.2    68.9   114.4   130.1   183.1   204.3   216.6   225.7   235.5   251.7   280.1   741.6  4555.7  8010.6   8799.7     8803
read      268.1   265.6    59.1   101.2   112.6   233.3   292.5   325.7   348.5   374.6   408.0   470.5  1022.4  2631.1 11148.9  45727.7    45662
read      246.2   148.4    59.1   102.5   115.8   226.2   271.6   296.8   314.3   334.9   361.7   409.7   851.1  1663.4  2531.8  30845.7    30867
read      261.4   211.1    68.9   100.5   111.8   231.1   288.9   320.8   343.5   369.0   401.4   464.4  1034.3  1862.0  8890.7  45715.0    45656
read      294.6   415.2    68.9   104.9   116.2   205.2   262.4   296.7   324.7   367.5   448.3   647.9  2171.5  5087.1  7953.4 100877.3   100938
read      211.4   148.5    63.8   104.9   115.4   183.5   225.7   252.1   271.6   294.0   322.1   367.4   536.4  1851.8  4286.8 132262.3   132360
read      260.2   207.3    68.9   100.5   110.8   216.7   281.1   320.0   350.5   386.3   430.8   503.7  1138.0  2163.4  3663.3  67643.3    67591
read      247.2   221.6    68.9   101.8   114.3   224.2   268.4   293.4   311.9   333.4   361.5   408.7   902.1  2111.3 11199.8  33809.3    33910
read      318.2   441.3    68.9   103.7   115.5   217.5   292.8   347.3   390.7   438.1   500.6   658.9  2317.8  5096.1  8124.8  85857.3    85729
read      208.1   100.9    68.9   112.8   130.8   198.2   224.1   237.9   248.8   261.5   277.8   309.0   465.2  1430.0  1971.3  12896.0    12884
read      260.4   192.1    68.9   100.3   111.6   230.0   287.0   319.9   343.0   369.0   401.3   459.5  1025.2  2081.4  4489.0  45657.3    45621
read      250.5   163.1    63.8   101.8   114.3   230.0   281.0   308.3   327.0   348.6   377.1   424.9   803.4  1860.0  3966.7  36955.3    36938
read      266.9   208.2    63.8   100.0   111.0   229.0   292.7   330.9   357.5   387.3   425.0   494.4  1120.2  2456.7  4604.1  56700.7    56902
read      266.2   298.9    68.9   104.8   115.6   199.4   254.1   287.6   313.3   347.3   410.1   575.6  1565.1  3767.0  7641.1 102471.3   102243
read      211.0   124.8    68.9   110.2   128.6   200.2   226.5   240.8   251.5   264.8   281.9   311.3   502.1  1559.4  4265.8  14038.0    14085
read      329.2   419.5    59.1   107.6   120.3   222.6   297.9   361.3   409.5   464.6   537.0   738.3  2282.8  4780.2  7901.8  94209.0    94103
read      264.9   206.4    68.9    99.0   109.7   227.2   290.9   328.8   355.3   385.8   423.4   489.8  1130.7  2263.8  4510.2  58233.3    58175
read      270.1   312.1    68.9   113.3   127.4   214.5   262.2   288.7   308.0   331.4   364.7   435.0  1609.2  3614.0  7568.7 151384.7   151312
read      261.1   240.4    63.8   101.3   111.8   203.7   268.9   310.1   343.5   387.1   441.7   525.9  1363.7  2735.2  5117.6  83534.7    83333
read      254.4   226.1    63.8   118.3   132.7   215.9   259.1   283.9   302.0   323.7   354.2   409.1  1426.7  3231.4  3878.0 164835.7   165153
read      210.1   139.8    63.8   103.0   113.1   180.8   223.7   250.7   270.7   294.1   323.4   372.2   660.3  1734.9  3230.4 123976.0   123975
read      234.8   127.6    68.9   103.0   116.4   220.4   261.3   283.8   299.3   318.0   342.6   383.2   657.8  1569.8  2019.0  28638.3    28449
read      212.9   113.9    74.4   109.7   128.4   202.3   229.7   244.8   255.5   269.4   287.6   317.0   528.0  1337.8  3926.7  14672.0    14903
read      244.3   142.7    63.8   102.2   115.7   227.2   273.2   297.2   314.3   333.9   359.4   402.6   780.1  1635.5  3070.0  31182.3    31189
read      251.9   162.6    63.8    99.9   111.7   228.5   282.1   311.0   331.3   354.8   385.3   436.6   871.3  1775.0  2924.3  40533.0    40636
read      287.7   318.5    63.8   101.2   112.0   215.0   290.8   341.6   378.7   419.9   470.1   564.3  1703.1  3693.5  7870.1  80279.0    80574
read      258.7   244.3    68.9   121.0   136.5   221.0   263.8   288.3   306.5   328.5   359.3   415.6  1383.0  3305.3  7281.9 168226.3   168820
read      226.9   215.7    68.9   113.6   126.8   199.1   237.2   261.3   278.9   300.2   328.6   374.1   668.5  2377.5  6104.2 162374.0   162621
read      206.1   116.5    63.8   100.2   109.7   179.4   228.4   257.1   276.7   298.7   326.6   369.3   506.3  1378.6  2462.4 101711.3   101621
read      260.2   184.2    59.1    99.4   110.1   226.2   289.8   327.0   353.8   384.3   422.6   487.6  1017.1  1948.0  2983.1  58547.0    58592
read      282.0   319.8    68.9   115.4   130.1   222.0   269.5   295.9   315.3   339.9   376.2   479.6  1608.8  3454.4  7729.2 152663.3   153042
read      208.8   126.3    68.9   102.3   112.1   181.4   227.0   254.7   274.7   298.3   327.6   373.0   538.4  1544.1  2972.0 112496.7   112238
read      227.0   186.5    68.9   114.6   128.1   201.7   241.1   265.4   283.2   304.7   333.1   378.0   560.7  1961.5  9736.9 160128.3   160265
read      260.7   220.5    59.1   100.7   111.1   224.2   281.8   317.5   344.7   377.7   419.7   485.9  1040.8  2550.6  7207.4  57078.3    57109
read      312.9   351.6    68.9   106.2   118.6   221.2   304.7   368.5   413.5   462.7   524.8   654.7  1941.0  3951.6  7783.8  88595.7    88551
read      200.9   131.6    63.8   116.3   133.6   187.6   209.4   221.2   230.3   241.5   256.8   286.1   536.8  1507.3  7184.0   8412.3     8385
read      247.3   143.7    59.1   102.4   115.0   229.9   278.8   304.6   321.9   343.0   370.4   418.1   745.2  1485.3  2080.5  33985.7    34088
read      303.1   385.2    68.9   107.6   119.6   210.5   262.9   293.2   317.1   350.2   419.8   972.5  1868.1  4298.3  7711.4 113522.3   113600
read      211.8   126.9    63.8   105.5   116.1   185.0   227.1   253.3   272.9   296.0   325.4   371.8   560.7  1664.1  2158.0 131600.3   131842
read      209.3   115.3    59.1   102.7   112.5   183.0   229.4   257.6   277.5   300.8   330.4   375.2   528.4  1465.1  2165.2 111829.7   112066
read      277.1   292.4    63.8   101.4   112.1   216.4   283.9   326.6   360.4   399.4   448.2   533.4  1555.7  3470.4  7698.5  72702.0    72585
read      262.6   347.8    63.8   107.9   119.6   200.2   248.8   276.2   296.3   320.2   353.4   424.0  1935.2  4074.9  7714.8 133851.7   133669
read      202.4   113.5    68.9   112.4   130.2   191.9   215.9   229.4   238.9   251.1   267.3   293.9   433.7  1280.5  3418.6  11861.0    11820
read      207.3   110.3    68.9   112.0   130.6   197.4   223.2   236.1   247.2   259.6   274.8   304.0   461.9  1371.0  4815.2  12753.3    12639
read      295.6   376.1    68.9   107.9   119.9   208.0   258.8   288.7   312.0   343.3   403.8   873.2  1808.3  4449.0  7673.1 118365.0   118548
read      223.3   155.0    68.9   115.9   129.2   200.7   237.5   260.4   276.7   296.8   323.5   367.8   539.6  1967.5  3488.2 166004.0   165754
read      260.1   281.3    59.1   100.3   110.6   201.2   262.3   299.7   329.5   367.5   417.9   502.9  1494.1  3388.6  7579.7  87087.7    86823
read      210.7   136.1    63.8   106.5   123.5   200.4   227.0   241.0   251.4   264.5   281.4   312.2   516.8  1585.0  6098.4  16772.7    16898
read      286.9   348.5    68.9   106.3   118.0   202.7   248.0   274.7   296.4   325.5   379.4   994.8  1673.9  3741.9  7397.8 123153.3   123124
read      244.5   179.1    63.8    99.3   109.3   210.6   272.5   309.4   336.3   368.0   406.2   465.8   810.0  1713.3  3175.2  72221.0    72278
read      240.3   141.5    59.1    98.7   109.5   220.9   273.5   302.6   322.0   344.8   372.5   417.6   727.3  1513.1  3124.2  47843.3    47757
read      247.3   164.9    63.8    98.2   108.2   218.7   277.6   312.6   337.2   364.8   397.7   451.2   858.4  1790.5  3164.3  60446.3    60510
read      219.2   106.0    68.9   102.9   116.5   211.4   245.5   264.1   276.6   291.9   311.4   342.2   478.3  1302.2  3592.9  25124.7    25237
read      295.7   352.0    68.9   104.2   115.8   211.3   282.1   338.9   381.1   426.0   481.5   586.8  2011.6  3974.1  7731.8  97830.0    97783
read      221.5   188.8    68.9   103.2   113.3   183.6   228.9   256.7   276.7   300.8   333.1   392.4   991.6  2529.5  4302.2 118935.0   118966
read      202.3    80.1    68.9   107.2   123.4   196.1   222.1   235.1   246.0   258.4   274.7   304.9   402.6  1044.7  1235.8  16709.7    16631
read      209.2   364.2    63.8   112.0   128.9   187.7   209.6   221.8   231.0   242.3   257.1   284.2   472.3  7512.1 11920.9  11724.3    11743
read      257.4   315.2    68.9   104.2   115.0   193.2   243.1   274.9   299.5   334.0   393.3   543.9  1448.5  4232.7  7702.0 114511.7   115026
read      202.6   112.3    63.8   101.9   111.5   176.7   219.3   245.9   265.4   287.8   316.0   359.6   538.1  1395.9  2158.0 122837.3   122371
read      181.4   105.7    68.9   110.3   123.5   172.2   190.2   200.3   208.3   217.2   231.0   253.9   375.5  1246.4  4689.7   7229.7     7198
read      220.0   117.3    68.9   103.4   117.2   211.1   245.5   264.1   276.8   292.0   311.7   344.1   509.6  1246.6  3701.3  24972.7    25022
read      311.4   346.1    68.9   121.2   138.1   238.4   281.1   305.9   325.0   351.5   397.2   880.5  1699.0  3568.4  7585.3 157248.0   157513
read      225.8   138.3    68.9   118.0   131.7   204.5   240.7   262.9   279.0   298.9   325.6   369.1   533.5  1997.3  3166.6 171811.3   171975
read      214.9   138.8    68.9   110.5   122.1   190.9   228.5   251.5   269.2   290.4   317.6   362.7   530.8  1902.7  3918.4 155027.0   154918
read      212.7   141.4    63.8   106.2   117.2   186.3   226.6   251.3   270.0   292.1   320.5   367.2   572.7  1934.7  3880.7 139073.3   139185
read      214.2   126.4    68.9   109.6   121.4   192.6   230.5   253.2   270.5   291.4   318.1   363.0   497.9  1820.9  2797.2 152721.0   152724
read      208.1   108.8    68.9   105.0   119.4   200.3   229.1   244.4   254.9   268.5   285.9   314.6   431.5  1539.3  3946.2  20826.0    20845
read      284.9   343.0    68.9   110.2   122.6   210.0   255.1   280.4   299.2   323.9   365.5   739.3  1727.5  3443.1  7431.0 139859.7   140348
read      250.7   228.6    68.9    99.8   110.1   199.1   263.0   302.9   333.3   369.6   415.8   492.2  1167.4  2563.1  5791.2  88634.0    88725
