#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      176.3   163.4    68.9    98.5   105.9   152.2   178.2   193.5   204.5   217.8   235.7   275.3   587.3  2450.6  5694.8  29947.4    30000  1745696483445  1745696493614
read      164.0   105.1    68.9    98.4   105.2   148.5   172.6   186.4   197.0   209.7   226.4   254.2   388.6  1662.0  3299.6  30045.4    30005  1745696495126  1745696505256
read      162.6   100.0    68.9    99.1   105.7   148.3   172.6   187.1   198.0   210.7   226.3   251.0   336.2  1771.5  3157.0  30023.7    30010  1745696506765  1745696516874
read      162.3    98.0    68.9    99.4   106.2   149.5   172.3   185.6   195.8   207.8   223.7   249.8   344.7  1527.0  3204.3  29975.4    30015  1745696518384  1745696528492
read      159.5    87.3    68.9    98.3   104.8   147.6   171.5   184.8   194.7   206.1   221.0   244.6   316.1  1319.5  3014.5  29998.9    30020  1745696530001  1745696540112
read      161.6    96.1    68.9    99.4   106.3   149.7   171.7   184.7   194.6   206.0   220.5   245.1   328.2  1504.7  3028.8  29946.6    30025  1745696541623  1745696551733
read      162.0    93.5    63.8    98.8   105.3   147.9   172.2   186.8   198.1   211.3   227.9   253.7   340.1  1440.1  2874.8  30042.4    30030  1745696553242  1745696563354
read      164.1    95.3    68.9    98.5   105.5   150.5   175.3   190.4   201.4   214.5   230.3   254.3   338.5  1506.2  3023.3  30086.6    30035  1745696564865  1745696574976
read      163.5   103.3    68.9    97.5   104.4   148.9   173.8   189.6   201.0   214.5   231.0   256.6   342.7  1528.5  3427.4  29979.6    30040  1745696576487  1745696586598
read      160.6    81.2    68.9    99.2   106.0   149.9   172.4   185.4   195.7   207.7   222.6   246.2   318.9   975.2  2644.5  30083.8    30045  1745696588108  1745696598219
read      162.1    95.2    68.9    99.3   106.0   149.5   173.9   187.7   198.0   210.2   225.5   249.6   323.3  1300.4  3256.5  30059.0    30050  1745696599728  1745696609838
read      158.6    83.0    68.9    98.9   105.5   147.8   170.2   183.2   192.8   203.7   218.2   241.1   310.4  1131.4  2722.3  29950.0    30055  1745696611348  1745696621461
read      159.0    88.5    68.9    99.2   105.9   147.6   169.1   181.8   191.3   202.1   216.4   237.9   314.1  1485.1  2678.2  30144.8    30060  1745696622970  1745696633083
read      158.8    76.4    63.8    99.2   106.2   148.5   170.2   182.9   192.3   203.0   217.7   241.1   310.0  1079.1  2363.8  30061.9    30065  1745696634592  1745696644701
read      160.2    68.6    63.8    97.4   105.4   150.9   173.7   187.1   197.2   209.0   224.0   247.5   309.2   471.4  2536.4  30083.9    30070  1745696646211  1745696656320
read      159.3    71.5    63.8    97.4   105.3   149.1   172.2   185.7   195.9   207.7   222.8   247.8   313.9   470.6  2591.6  30121.0    30075  1745696657829  1745696667941
read      160.1    63.7    68.9    98.0   105.6   151.1   173.9   187.2   197.2   208.7   223.2   246.3   304.0   510.5  2398.9  30050.3    30080  1745696669451  1745696679563
read      162.8    62.5    68.9   102.1   109.6   153.3   176.6   190.3   200.7   212.7   227.2   249.5   302.6   450.8  2327.2  30035.8    30085  1745696681073  1745696691184
read      162.6    70.6    68.9   100.4   108.5   153.5   176.1   189.3   199.0   210.7   225.2   248.1   305.3   511.0  3066.2  30169.0    30090  1745696692694  1745696702805
read      164.0    74.6    63.8    97.5   105.8   152.5   177.4   192.8   203.7   216.4   232.5   258.8   333.0   565.3  3071.4  30014.5    30095  1745696704315  1745696714435
read      160.1    79.7    68.9    99.6   107.3   150.7   173.1   186.7   196.6   207.9   221.9   243.8   294.8   433.7  2945.9  30057.0    30100  1745696715945  1745696726055
read      162.9    91.9    68.9   101.2   108.7   152.8   175.5   188.9   198.6   210.1   224.4   247.0   302.4   569.9  3374.3  30051.7    30105  1745696727565  1745696737676
read      161.5    76.4    63.8    99.4   107.4   152.0   175.3   188.8   198.7   210.3   224.7   247.6   302.2   468.2  3214.4  30041.6    30110  1745696739185  1745696749296
read      158.1    68.1    63.8    98.7   106.5   148.9   171.6   185.1   194.7   205.3   218.2   238.6   290.5   436.3  2895.9  30183.3    30115  1745696750804  1745696760913
