#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      174.8   179.9    63.8    99.5   106.4   149.8   173.1   186.6   196.9   209.3   226.1   257.9   701.3  2778.6  6059.2  30033.4    30000  1746029952883  1746029963030
read      153.8    85.0    63.8    96.6   103.0   143.7   164.2   175.1   183.3   193.2   206.0   227.0   302.6  1515.6  2610.6  30036.9    30005  1746029964540  1746029974664
read      155.2    97.1    68.9    98.3   104.4   145.0   165.9   177.0   184.9   194.9   207.5   227.1   279.8  1571.4  3439.1  29991.4    30010  1746029976173  1746029986272
read      154.8    89.5    68.9    98.3   104.7   145.2   165.3   176.6   184.8   195.1   208.1   228.0   281.5  1541.8  2961.1  30000.5    30015  1746029987781  1746029997879
read      156.9    93.1    68.9    97.7   104.4   147.0   168.4   180.3   188.7   199.6   213.3   232.8   284.4  1444.2  3163.7  30005.3    30020  1746029999388  1746030009487
read      159.8    79.1    63.8    99.7   106.6   150.1   172.4   185.0   194.4   205.2   218.6   238.0   291.2  1209.0  2771.5  29993.0    30025  1746030010999  1746030021098
read      154.7    82.1    68.9    98.6   105.1   146.3   166.6   177.7   185.5   195.4   207.7   226.6   272.9  1204.1  3102.8  30023.9    30030  1746030022608  1746030032707
read      152.9    93.0    68.9    96.4   102.9   143.0   163.1   174.3   182.7   192.5   204.9   225.3   279.6  1552.9  3160.0  30015.0    30035  1746030034218  1746030044318
read      156.8    81.2    68.9    98.7   105.5   147.8   168.8   180.7   189.2   199.7   213.1   232.8   284.4  1084.0  2659.0  30005.2    30040  1746030045827  1746030055926
read      161.3    80.1    68.9   100.2   107.0   151.2   173.8   187.1   197.4   209.2   223.5   245.1   294.5  1069.1  2805.4  30214.4    30045  1746030057434  1746030067535
read      154.9    77.2    68.9    98.1   104.6   146.4   166.9   178.3   186.4   197.2   210.6   229.9   277.6   967.6  3021.0  30057.7    30050  1746030069046  1746030079145
read      152.3    88.4    68.9    96.8   102.9   143.6   163.6   174.3   182.5   192.0   204.3   224.1   273.6  1214.3  3758.9  30238.6    30055  1746030080655  1746030090753
read      155.9    97.8    68.9    98.0   104.3   146.4   166.8   177.7   185.6   195.6   208.3   227.9   288.4  1565.7  3279.0  30093.7    30060  1746030092264  1746030102363
read      150.8    80.7    63.8    94.7   102.4   145.0   164.3   174.3   181.9   190.3   201.2   218.0   257.8   582.0  3226.1  30127.6    30065  1746030103872  1746030113971
read      152.3    60.4    63.8    96.0   103.8   147.7   167.2   177.6   184.8   193.6   203.8   220.1   256.6   368.7  2863.4  30085.9    30070  1746030115480  1746030125579
read      155.3    63.7    63.8    97.2   105.2   150.1   169.9   180.9   188.3   197.7   209.5   227.1   267.2   409.3  2848.7  30149.0    30075  1746030127088  1746030137187
read      148.7    71.6    63.8    94.9   102.1   143.6   162.0   171.9   179.2   186.9   198.2   215.1   255.3   371.3  3088.5  29999.2    30080  1746030138698  1746030148801
read      152.7    65.9    63.8    97.5   105.6   147.9   166.3   176.0   183.1   191.4   201.5   217.9   254.8   437.2  3039.7  30074.8    30085  1746030150310  1746030160409
read      155.0    60.0    63.8    98.0   105.9   149.7   169.3   180.1   187.4   197.0   208.7   226.6   266.1   403.6  2729.1  30046.8    30090  1746030161918  1746030172016
read      149.7    56.7    63.8    94.5   102.1   145.3   164.3   174.2   181.6   189.7   200.1   216.2   253.5   383.3  2249.9  30145.8    30095  1746030173525  1746030183623
read      154.5    67.5    68.9    99.1   106.3   149.5   168.6   178.8   185.8   195.0   206.0   223.6   261.7   403.1  2825.2  30095.7    30100  1746030185132  1746030195232
read      154.9    65.5    63.8    98.7   106.0   149.7   169.2   179.8   187.1   196.4   207.6   224.4   263.0   395.7  2687.6  30065.7    30105  1746030196741  1746030206843
read      150.0    62.9    63.8    97.1   104.4   145.7   164.1   173.2   180.5   187.9   198.5   214.0   248.1   372.3  2836.6  30154.7    30110  1746030208352  1746030218452
read      150.7    60.2    63.8    98.8   105.6   146.3   164.1   173.2   180.4   187.9   198.6   214.2   248.3   409.2  2788.0  30158.9    30115  1746030219961  1746030230059
read      149.1    65.0    63.8    94.9   102.2   143.9   163.1   173.2   180.9   189.2   199.9   216.1   251.2   365.6  2729.9  30009.8    30120  1746030231569  1746030241668
