#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      187.6   187.8    68.9   102.6   110.5   162.8   187.6   201.5   212.3   225.1   243.2   282.9   821.1  2772.2  5378.9  29955.4    30000  1746027242975  1746027253133
read      177.4   114.3    63.8   102.4   110.0   164.4   190.7   205.0   215.1   227.1   242.1   267.7   399.2  1823.3  3305.1  30024.7    30005  1746027254645  1746027264774
read      174.5   116.9    63.8   101.9   109.5   163.2   187.7   200.5   210.0   220.4   234.1   259.2   384.6  2042.7  3581.6  30047.5    30010  1746027266285  1746027276387
read      172.4    99.8    68.9   102.7   110.3   160.4   184.6   197.7   207.3   218.4   234.0   263.3   389.8  1538.6  2875.4  29881.5    30015  1746027277899  1746027288003
read      170.6    90.8    68.9   100.9   108.7   162.0   186.5   199.5   209.2   220.0   234.3   257.7   322.0  1278.8  3177.0  29984.5    30020  1746027289515  1746027299618
read      168.2    94.1    68.9   102.5   110.0   158.0   180.9   193.3   201.8   213.1   227.3   250.4   326.0  1564.4  3102.7  29983.0    30025  1746027301129  1746027311233
read      165.7    91.3    68.9   100.5   107.8   156.5   179.8   192.4   201.1   212.2   225.8   247.7   312.2  1169.5  4072.6  29961.8    30030  1746027312749  1746027322856
read      172.3    97.7    68.9   104.0   111.7   162.1   186.4   199.9   209.8   220.7   234.4   256.9   324.0  1461.6  3081.8  30026.0    30035  1746027324368  1746027334470
read      161.7    79.6    68.9   100.4   107.5   153.9   174.7   186.4   195.1   204.8   217.5   237.7   301.5  1101.7  2732.2  30026.5    30040  1746027335982  1746027346087
read      163.7    84.8    68.9   100.5   107.8   155.6   177.6   189.5   198.1   208.4   221.3   242.7   304.6  1138.5  2749.1  30069.2    30045  1746027347601  1746027357707
read      164.8    93.7    63.8   100.5   108.0   155.7   178.1   190.2   198.8   209.3   222.5   245.0   313.0  1295.7  3189.1  30080.2    30050  1746027359220  1746027369327
read      167.1    95.8    68.9   101.4   108.9   157.9   180.8   193.1   201.5   212.6   226.6   249.2   316.3  1416.6  3363.0  29916.9    30055  1746027370839  1746027380940
read      170.1    89.4    68.9   102.6   110.2   160.8   184.4   197.1   206.1   216.6   230.4   252.1   323.0  1554.2  2543.9  30039.8    30060  1746027382451  1746027392555
read      171.6    67.9    68.9   105.5   114.2   166.0   187.5   198.8   207.1   216.7   230.3   252.4   316.0   636.7  2301.5  30062.8    30065  1746027394069  1746027404173
read      166.7    70.2    68.9   104.0   112.4   161.5   182.1   193.1   200.6   210.7   223.4   244.4   296.6   473.5  2470.3  30019.3    30070  1746027405685  1746027415790
read      170.1    75.3    68.9   103.1   111.7   163.4   185.7   198.1   207.3   217.8   232.6   256.0   313.0   547.5  3056.8  30112.1    30075  1746027417302  1746027427410
read      170.0    85.1    68.9   106.2   114.5   164.0   184.9   196.4   204.4   214.6   228.0   249.4   304.8   473.9  4934.4  30049.8    30080  1746027428922  1746027439024
read      168.0    75.7    68.9   102.7   111.1   161.4   183.7   195.7   203.9   214.5   228.2   250.0   306.8   580.4  2938.0  30211.1    30085  1746027440536  1746027450642
read      169.2    63.8    63.8   103.8   112.7   163.8   185.0   196.6   204.7   215.1   228.9   251.3   310.2   506.0  2100.4  30050.1    30090  1746027452154  1746027462257
read      166.6    76.8    68.9   103.2   111.4   160.6   181.6   193.0   200.8   211.2   224.2   245.2   296.5   524.0  3056.2  30085.5    30095  1746027463769  1746027473871
read      171.7    68.8    68.9   102.4   111.3   165.1   188.0   200.6   210.2   221.2   235.4   260.6   318.9   638.5  2481.7  30082.6    30100  1746027475382  1746027485487
read      164.7    73.1    68.9   102.8   111.0   158.7   179.7   191.1   199.4   209.9   223.0   243.7   292.5   434.7  2991.7  30043.3    30105  1746027486999  1746027497101
read      166.2    69.7    63.8   101.0   109.8   160.3   181.9   193.6   201.5   212.3   225.8   248.2   302.4   581.9  2945.2  30143.5    30110  1746027498613  1746027508717
read      177.1   188.0    68.9   105.8   114.6   166.5   188.3   199.9   208.8   218.5   233.0   258.9   343.8  1521.5  8011.7  30113.5    30115  1746027510231  1746027520338
