#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      418.1   419.7    80.4   147.1   167.2   303.6   393.9   454.1   503.7   576.6   712.7  1073.6  2385.6  4925.2  6432.1  29976.3    30000  1746033645932  1746033656074
read      302.4   304.1    86.8   135.3   150.0   235.7   292.6   328.8   358.5   398.6   465.2   619.5  1460.3  3656.8 10694.4  29923.7    30005  1746033657584  1746033667715
read      338.1   430.9    86.8   140.3   155.9   251.3   314.4   356.6   392.9   443.4   518.4   689.4  1829.1  6248.2 10011.7  29943.4    30010  1746033669225  1746033679336
read      286.8   347.7    86.8   135.2   148.8   231.7   277.5   306.8   329.1   358.0   401.4   504.1  1178.9  5898.4  9008.6  29891.6    30015  1746033680846  1746033690956
read      269.7   235.5    86.8   134.4   148.2   240.7   281.6   304.6   321.0   343.0   374.4   445.9   817.8  4468.5  6329.1  30075.9    30020  1746033692468  1746033702579
read      276.9   270.9    86.8   133.2   147.4   243.8   285.4   309.4   327.6   351.1   388.2   465.9   861.0  4958.6  7276.9  30079.5    30025  1746033704089  1746033714200
read      245.1   222.1    80.4   128.6   140.0   218.4   255.7   277.2   293.8   314.3   341.2   391.6   679.9  4181.2  6286.4  30016.0    30030  1746033715709  1746033725823
read      263.6   241.6    86.8   132.8   145.6   233.8   273.5   296.6   314.4   336.0   366.3   428.0   793.1  4551.2  6619.3  30045.8    30035  1746033727333  1746033737444
read      250.7   188.3    86.8   130.8   143.3   228.7   266.9   288.4   304.4   323.3   350.2   400.0   654.8  3300.3  6120.8  30045.9    30040  1746033738954  1746033749064
read      243.9   197.8    86.8   129.7   141.9   223.0   259.3   279.2   294.4   313.3   338.0   381.6   614.6  3505.7  6493.3  30066.0    30045  1746033750575  1746033760685
read      260.8   239.1    86.8   134.4   148.1   234.5   272.5   294.0   310.5   330.4   358.0   410.4   718.3  4560.7  6697.8  30095.7    30050  1746033762197  1746033772307
read      252.2   253.8    86.8   131.4   144.1   222.1   258.7   279.6   295.4   315.8   343.6   400.6   742.7  4870.6  6958.3  30018.9    30055  1746033773817  1746033783926
read      234.0   194.3    80.4   128.1   139.9   210.3   244.3   264.3   278.6   296.3   321.3   367.0   607.6  3143.9  6605.9  30195.7    30060  1746033785437  1746033795550
read      241.1   172.9    86.8   132.8   145.2   219.8   254.9   274.4   289.7   308.2   333.3   377.1   589.3  2934.0  5683.4  30075.3    30065  1746033797062  1746033807175
read      252.4   252.4    80.4   131.0   143.8   221.0   258.0   279.6   295.5   316.0   344.4   405.5   776.4  4634.0  7200.1  30063.1    30070  1746033808685  1746033818796
read      248.7   231.7    86.8   131.9   144.2   220.7   256.9   277.7   293.4   313.4   340.6   393.4   701.0  3977.9  6786.9  30121.7    30075  1746033820306  1746033830418
read      234.5   192.1    86.8   129.3   141.2   212.7   246.7   266.1   280.1   297.1   320.9   363.9   578.4  3493.6  6233.6  30066.2    30080  1746033831929  1746033842040
read      243.3   216.7    86.8   131.2   143.4   218.4   253.8   273.5   288.9   307.5   333.2   380.0   641.1  3908.5  6841.8  29960.9    30085  1746033843550  1746033853674
read      270.3   259.5    86.8   139.0   152.7   239.1   278.3   300.9   318.3   340.6   372.9   441.9   800.7  4753.1  7790.0  30059.2    30090  1746033855184  1746033865297
read      253.6   256.7    86.8   132.8   144.7   217.4   254.6   276.1   293.6   315.5   346.0   412.7   851.2  4559.2  7302.1  30137.9    30095  1746033866808  1746033876919
read     1222.0  1433.9    93.8   164.8   192.1   509.4  1174.7  1730.4  2128.9  2629.1  3300.3  4490.7  6282.6  7724.9 10710.2  19426.0    30100  1746033878429  1746033888540
read     1717.9  1537.5   127.6   348.6   395.1  1178.0  1992.0  2433.8  2802.9  3323.6  4013.2  5097.4  6361.8  7880.9 10795.9  16410.5    30105  1746033890051  1746033900163
read     1676.8  1549.6   101.3   339.6   383.9  1027.4  1934.8  2390.8  2763.1  3285.6  4044.2  5068.9  6375.9  7979.7 10172.7  16748.0    30110  1746033901674  1746033911793
read     1728.1  1617.2   137.8   345.7   394.2   990.2  2006.9  2496.9  2910.2  3536.5  4272.7  5223.7  6419.6  8220.2 11891.9  16303.4    30115  1746033913304  1746033923416
read      722.6   875.5    93.8   175.9   209.6   431.7   606.8   745.9   845.9  1097.4  1551.7  2291.0  5012.1  7243.7 10397.6  30179.0    30120  1746033924925  1746033935039
read      241.6   100.9    86.8   138.9   154.1   230.9   264.0   281.9   294.8   311.8   334.6   370.9   471.0   988.7  3147.6  30059.2    30125  1746033936549  1746033946660
read      232.5   106.6    86.8   138.2   152.0   220.9   250.4   267.4   279.4   294.1   315.3   350.4   455.1  1579.2  3230.1  30139.5    30130  1746033948171  1746033958283
read      237.0   112.8    86.8   139.9   154.2   225.4   255.7   272.6   285.6   300.3   320.3   358.5   466.0  1331.2  4025.7  30129.7    30135  1746033959793  1746033969904
read      231.6    95.7    86.8   137.8   151.5   222.1   252.4   269.3   281.6   295.9   316.1   349.9   439.1   791.0  2970.9  30196.9    30140  1746033971415  1746033981526
read      233.9    97.4    86.8   137.8   152.6   224.3   254.4   271.3   284.0   298.2   318.3   352.6   435.8   956.6  3696.6  30103.9    30145  1746033983037  1746033993148
read      231.9   103.8    93.8   139.0   152.6   220.6   249.8   266.3   277.7   292.4   312.8   347.2   453.3  1421.7  3419.7  30123.9    30150  1746033994658  1746034004769
read      236.8   101.5    86.8   138.5   152.2   226.2   258.7   275.8   289.1   304.5   324.6   360.6   450.8  1371.5  3077.5  30230.0    30155  1746034006279  1746034016390
read      241.0   111.7    86.8   139.3   153.7   228.2   260.9   278.3   291.6   307.9   329.9   368.4   489.7  1861.9  3369.1  30117.0    30160  1746034017901  1746034028013
